WAVE_INDEX	NODE_ID	HPG_STATUS	HAPG_STATUS	DECISION	TERMINAL_REASON
5	U02-0000000002_S03-0000000003	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000002_S03-0000000004	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000002_S03-0000000005	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000002_S03-0000000006	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000002_S03-0000000007	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000003_S03-0000000000	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000003_S03-0000000001	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000003_S03-0000000002	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000003_S03-0000000003	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000003_S03-0000000004	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000003_S03-0000000005	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000003_S03-0000000006	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_U	-
5	U02-0000000003_S03-0000000007	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_U	-
6	U03-0000000000_S03-0000000000	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000000_S03-0000000001	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000000_S03-0000000002	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000000_S03-0000000003	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000000_S03-0000000004	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000000_S03-0000000005	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000000_S03-0000000006	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000000_S03-0000000007	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000001_S03-0000000000	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000001_S03-0000000001	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000001_S03-0000000002	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000001_S03-0000000003	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000001_S03-0000000004	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000001_S03-0000000005	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000001_S03-0000000006	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000001_S03-0000000007	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000002_S03-0000000000	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
