model	seed	site	subjects	accuracy_pct	balanced_accuracy_pct	macro_f1_pct	auroc_pct	brier	ece_pct	assoc_mean
H-SSM	99001	PITT	56	48.214286	50.0	32.53012	0.0	0.29874964	18.579986	0.0
H-SSM	99887	OHSU	10	20.0	50.0	16.666667	0.0	0.25621597	31.0187	0.0
H-SSM	99887	OLIN	34	44.117647	50.0	30.612245	0.0	0.31119024	13.661747	0.0
H-SSM	99887	PITT	56	51.785714	50.0	34.117647	0.0	0.25224998	5.068386	0.0
O-SSM	11111	OHSU	10	60.0	37.5	37.5	56.25	0.19548211	56.37444	1.346916
O-SSM	11111	OLIN	34	44.117647	50.0	30.612245	32.280702	0.3472945	17.880688	0.778403
O-SSM	11111	PITT	56	51.785714	52.93742	46.891465	49.936143	0.30980589	22.796407	1.093001
O-SSM	11223	OHSU	10	20.0	50.0	16.666667	56.25	0.37982513	47.19212	1.234226
O-SSM	11223	OLIN	34	38.235294	40.526316	36.870027	34.736842	0.26927379	9.332388	0.742756
O-SSM	11223	PITT	56	48.214286	47.06258	41.477477	46.104725	0.29937947	16.928957	1.128542
O-SSM	12321	OHSU	10	70.0	62.5	60.0	68.75	0.24817064	52.13474	1.121276
O-SSM	12321	OLIN	34	64.705882	64.912281	64.583333	68.77193	0.23159392	15.423318	0.695627
O-SSM	12321	PITT	56	55.357143	56.51341	50.82543	47.89272	0.31528793	25.42607	1.21041
O-SSM	13579	OHSU	10	20.0	50.0	16.666667	68.75	0.31540112	39.7396	1.064231
O-SSM	13579	OLIN	34	44.117647	50.0	30.612245	36.491228	0.28813675	6.518765	0.757199
O-SSM	13579	PITT	56	51.785714	53.448276	39.784946	52.362708	0.33525838	28.195727	1.107897
O-SSM	22222	OHSU	10	50.0	31.25	33.333333	56.25	0.26676828	44.02993	1.091471
O-SSM	22222	OLIN	34	44.117647	50.0	30.612245	66.315789	0.265707	3.100091	0.82188
O-SSM	22222	PITT	56	51.785714	53.065134	45.513514	60.153257	0.27641893	21.759295	1.164672
O-SSM	24680	OHSU	10	20.0	50.0	16.666667	68.75	0.42430548	51.51401	1.142727
O-SSM	24680	OLIN	34	44.117647	50.0	30.612245	67.719298	0.28256714	25.217521	0.70493
O-SSM	24680	PITT	56	53.571429	54.533844	50.47619	54.022989	0.29920571	23.192593	1.225428
O-SSM	27182	OHSU	10	60.0	37.5	37.5	75.0	0.20668498	61.1282	1.264825
O-SSM	27182	OLIN	34	44.117647	50.0	30.612245	68.77193	0.3489883	24.033565	0.72818
O-SSM	27182	PITT	56	53.571429	54.533844	50.47619	49.808429	0.31559753	22.876234	1.09353
O-SSM	31415	OHSU	10	20.0	50.0	16.666667	25.0	0.46664488	55.35678	1.1869
O-SSM	31415	OLIN	34	44.117647	49.298246	34.549139	31.929825	0.36004493	19.323856	0.741933
O-SSM	31415	PITT	56	53.571429	54.916986	46.783626	49.425287	0.33608434	27.626902	1.207077
O-SSM	33333	OHSU	10	60.0	37.5	37.5	50.0	0.2190563	40.17448	1.188355
