model	site	seed_count	subjects_mean	accuracy_pct_mean	accuracy_pct_std	balanced_accuracy_pct_mean	balanced_accuracy_pct_std	macro_f1_pct_mean	macro_f1_pct_std	auroc_pct_mean	auroc_pct_std	brier_mean	brier_std	ece_pct_mean	ece_pct_std	assoc_mean_mean	assoc_mean_std
H-SSM	OHSU	20	10.0	35.0	25.980762	50.0	0.0	23.611111	12.02813	0.0	0.0	0.317474	0.084825	42.13977	8.116966	0.0	0.0
H-SSM	OLIN	20	34.0	47.058824	5.094267	50.0	0.0	31.921448	2.267606	0.0	0.0	0.27745	0.031792	6.788299	6.101016	0.0	0.0
H-SSM	PITT	20	56.0	49.642857	1.749635	50.0	0.0	33.165131	0.777726	0.0	0.0	0.267265	0.018903	9.206841	6.149029	0.0	0.0
O-SSM	OHSU	20	10.0	43.0	21.0	48.4375	8.81117	32.850851	15.617869	59.375	12.732218	0.307624	0.109574	52.504341	8.527779	1.158468	0.120511
O-SSM	OLIN	20	34.0	48.823529	9.131867	51.859649	7.451991	40.327702	13.282248	53.052632	16.467919	0.283007	0.038491	14.582304	5.643818	0.782149	0.041047
O-SSM	PITT	20	56.0	51.607143	2.642616	52.490421	3.006978	46.062389	2.853386	49.802043	4.059711	0.316343	0.025447	23.971872	5.20065	1.147711	0.061368
