model	seed_count	site_count	subjects	accuracy_pct_mean	accuracy_pct_std	balanced_accuracy_pct_mean	balanced_accuracy_pct_std	macro_f1_pct_mean	macro_f1_pct_std	auroc_pct_mean	auroc_pct_std	brier_mean	brier_std	ece_pct_mean	ece_pct_std	assoc_mean_mean	assoc_mean_std
H-SSM	20	3	100	47.3	3.421988	47.3	3.421988	41.388336	7.731198	24.52	4.268208	0.275749	0.015477	11.566425	4.220314	0.0	0.0
O-SSM	20	3	100	49.8	4.214262	49.8	4.214262	45.258203	5.818299	49.2	4.97763	0.304137	0.021648	21.549132	4.052697	1.024496	0.034528
