source,target,weight
koncert,glasba,0.3333333333333333
koncert,oder,0.1111111111111111
konferenca,sestanek,0.12
konferenca,znanost,0.12
konkurenca,podjetje,0.1428571428571428
konkurenca,tekma,0.1428571428571428
konkurenca,tekmovanje,0.3333333333333333
končan,konec,0.1111111111111111
končno,konec,0.1111111111111111
korak,napredek,0.074074074074074
korist,denar,0.1666666666666666
košarkar,športnik,0.2
košarkar,žoga,0.15
kri,življenje,0.1052631578947368
kriv,zapor,0.0769230769230769
kriv,zločin,0.1538461538461538
kriza,življenje,0.1052631578947368
kupiti,denar,0.2352941176470588
kupiti,hrano,0.1176470588235294
kupiti,trgovina,0.1176470588235294
kvalifikacija,uvrstitev,0.1052631578947368
kvalifikacija,šport,0.1052631578947368
ladja,morje,0.3157894736842105
lepo,sonce,0.1052631578947368
letališče,letalo,0.3684210526315789
letališče,potovanje,0.1578947368421052
letalo,nebo,0.1111111111111111
letalo,potovanje,0.1666666666666666
lev,kralj,0.1111111111111111
lev,moč,0.1111111111111111
lev,žival,0.2777777777777778
list,drevo,0.3
list,papir,0.35
liter,voda,0.15
ljubezen,srce,0.238095238095238
ljudski,ples,0.1052631578947368
ljudski,človek,0.1052631578947368
ljudski,človeški,0.1052631578947368
mama,ljubezen,0.35
manjkati,šola,0.1052631578947368
material,snov,0.1
mati,ljubezen,0.2222222222222222
mati,mama,0.1666666666666666
meso,hrana,0.2272727272727272
meso,krava,0.0909090909090909
minulo,delo,0.1052631578947368
minulo,preteklost,0.1052631578947368
mir,vojna,0.2631578947368421
miza,hrana,0.1111111111111111
množica,ljudje,0.2105263157894736
množica,matematika,0.1052631578947368
mobilen,avto,0.0952380952380952
mobilen,telefon,0.3809523809523809
morje,sonce,0.15
moški,moč,0.15
moški,spol,0.15
nafta,olje,0.1578947368421052
napoved,prihodnost,0.1052631578947368
napoved,vreme,0.2631578947368421
naprava,računalnik,0.1052631578947368
naprava,stroj,0.2631578947368421
naprava,telefon,0.2105263157894736
narava,zelena,0.1052631578947368
narodni,dom,0.25
naselje,hiša,0.1153846153846153
naselje,ljudje,0.0769230769230769
naselje,mesto,0.1153846153846153
naselje,vas,0.3076923076923077
