LAYER	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	DEPTH4_U_OFFSET	DEPTH4_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET
D4	U07-0000000102_S08-0000000168	105	6	8	NA	NA
D4	U07-0000000102_S08-0000000169	106	6	9	NA	NA
D4	U07-0000000102_S08-0000000170	107	6	10	NA	NA
D4	U07-0000000102_S08-0000000171	108	6	11	NA	NA
D4	U07-0000000102_S08-0000000172	109	6	12	NA	NA
D4	U07-0000000102_S08-0000000173	110	6	13	NA	NA
D4	U07-0000000102_S08-0000000174	111	6	14	NA	NA
D4	U07-0000000102_S08-0000000175	112	6	15	NA	NA
D4	U07-0000000103_S08-0000000161	114	7	1	NA	NA
D4	U07-0000000103_S08-0000000162	115	7	2	NA	NA
D4	U07-0000000103_S08-0000000163	116	7	3	NA	NA
D4	U07-0000000103_S08-0000000164	117	7	4	NA	NA
D4	U07-0000000103_S08-0000000165	118	7	5	NA	NA
D4	U07-0000000103_S08-0000000166	119	7	6	NA	NA
D4	U07-0000000103_S08-0000000167	120	7	7	NA	NA
D4	U07-0000000103_S08-0000000168	121	7	8	NA	NA
D4	U07-0000000103_S08-0000000169	122	7	9	NA	NA
D4	U07-0000000103_S08-0000000170	123	7	10	NA	NA
D4	U07-0000000103_S08-0000000171	124	7	11	NA	NA
D4	U07-0000000103_S08-0000000172	125	7	12	NA	NA
D4	U07-0000000103_S08-0000000173	126	7	13	NA	NA
D4	U07-0000000103_S08-0000000174	127	7	14	NA	NA
D4	U07-0000000103_S08-0000000175	128	7	15	NA	NA
D4	U07-0000000104_S08-0000000162	131	8	2	NA	NA
D4	U07-0000000104_S08-0000000163	132	8	3	NA	NA
D4	U07-0000000104_S08-0000000164	133	8	4	NA	NA
D4	U07-0000000104_S08-0000000165	134	8	5	NA	NA
D4	U07-0000000104_S08-0000000166	135	8	6	NA	NA
D4	U07-0000000104_S08-0000000167	136	8	7	NA	NA
D4	U07-0000000104_S08-0000000168	137	8	8	NA	NA
D4	U07-0000000104_S08-0000000169	138	8	9	NA	NA
D4	U07-0000000104_S08-0000000170	139	8	10	NA	NA
D4	U07-0000000104_S08-0000000171	140	8	11	NA	NA
D4	U07-0000000104_S08-0000000172	141	8	12	NA	NA
D4	U07-0000000104_S08-0000000173	142	8	13	NA	NA
D4	U07-0000000104_S08-0000000174	143	8	14	NA	NA
D4	U07-0000000104_S08-0000000175	144	8	15	NA	NA
D4	U07-0000000105_S08-0000000162	147	9	2	NA	NA
D4	U07-0000000105_S08-0000000163	148	9	3	NA	NA
D4	U07-0000000105_S08-0000000164	149	9	4	NA	NA
D4	U07-0000000105_S08-0000000165	150	9	5	NA	NA
D4	U07-0000000105_S08-0000000166	151	9	6	NA	NA
D4	U07-0000000105_S08-0000000167	152	9	7	NA	NA
D4	U07-0000000105_S08-0000000168	153	9	8	NA	NA
D4	U07-0000000105_S08-0000000169	154	9	9	NA	NA
D4	U07-0000000105_S08-0000000170	155	9	10	NA	NA
D4	U07-0000000105_S08-0000000171	156	9	11	NA	NA
D4	U07-0000000105_S08-0000000172	157	9	12	NA	NA
D4	U07-0000000105_S08-0000000173	158	9	13	NA	NA
D4	U07-0000000105_S08-0000000174	159	9	14	NA	NA
