CELL_INDEX	CHILD_U_OFFSET	CHILD_S_OFFSET	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256
188	11	11	U07-0000000107_S08-0000000171	7	107	8	171	1a68247af521b779792c23290383e2baf53b3e990660c25df0b64a150e59d0f1
189	11	12	U07-0000000107_S08-0000000172	7	107	8	172	925bb793f6cf69d6fb03bcddf04e5c6cfb4558e407e7e0ef107308fe2d05aef8
190	11	13	U07-0000000107_S08-0000000173	7	107	8	173	7a9f8a152594fbaf76c97a05f9b28b58ad626f6489e5144e1cad66011680e971
191	11	14	U07-0000000107_S08-0000000174	7	107	8	174	d035657dbb262604fe4de5ae30711e532dec2df8f2a2cb5fac0fa6c2d6d0af98
192	11	15	U07-0000000107_S08-0000000175	7	107	8	175	2f500e9865ea6578fa2a19a57134159f646bfea7b717791a723e9992b32f1325
193	12	0	U07-0000000108_S08-0000000160	7	108	8	160	8eae21373401f72881882d77d97ea129ff00321b4cfcb740a640fb6debd11b1c
194	12	1	U07-0000000108_S08-0000000161	7	108	8	161	4ad9717754a541e4c5140add9995ea1989f71664109b7d2129ed95a7f6071727
195	12	2	U07-0000000108_S08-0000000162	7	108	8	162	28df83998bffc5dcd254d2bbece149f437d7e0e09d1c11a71840dcb1a985f98b
196	12	3	U07-0000000108_S08-0000000163	7	108	8	163	6d282c597771915d14e021a035cc979c4fdf04259194b0e7645448fc5050ef13
197	12	4	U07-0000000108_S08-0000000164	7	108	8	164	2741780d7df93e4edfa571cf447037d3120528cdda66eb7a372f7baaee03e839
198	12	5	U07-0000000108_S08-0000000165	7	108	8	165	8ab18c4e1c1d59cfdffc2fa0b0e568a561a1b22e193b15ff3053954ddeb58f57
199	12	6	U07-0000000108_S08-0000000166	7	108	8	166	6a2ac61889ca3c93545556ae1c00a1235e64a22ada758b6fa1cf21b7d16c8175
200	12	7	U07-0000000108_S08-0000000167	7	108	8	167	477f8965801a636ce0d7d730ff429e8e32854853935ba6d5cc1a489b2b651e77
201	12	8	U07-0000000108_S08-0000000168	7	108	8	168	72cc84c97be3d59eaac958c7c734ca618d71f25d4af8cf3061a84c746512e58c
202	12	9	U07-0000000108_S08-0000000169	7	108	8	169	77050219add7870059d4d8713acc7dcb11852e3f22ee8a134874e788805956c6
203	12	10	U07-0000000108_S08-0000000170	7	108	8	170	5889cae2a9684cb2d230602d791e6b4c22f33557c61fae6a046810ef900c5d04
204	12	11	U07-0000000108_S08-0000000171	7	108	8	171	3dfdccd6c46bff11517adeec00e5d269bc33c4e7c88c8478827b878b58c0390c
205	12	12	U07-0000000108_S08-0000000172	7	108	8	172	a1c68b0183f2ef5e1be20bc19448108e39bd871a0385eef435e5639a22b2be14
206	12	13	U07-0000000108_S08-0000000173	7	108	8	173	aad480a71f14c3b59e5562758b555661aec9a22390beb517e02aaa7630ca46c2
207	12	14	U07-0000000108_S08-0000000174	7	108	8	174	9f1b9763c808ea7f064c9d34d888fd9bdf53e77b1cf179282d424bb381e12417
208	12	15	U07-0000000108_S08-0000000175	7	108	8	175	01633428719205325c20d96224490eb87b839114f03d1e8f9d283c0ddd308cbf
209	13	0	U07-0000000109_S08-0000000160	7	109	8	160	2a2c8dcce82120d8f4e7b7bfe4ad91344b58f5012625cd29ce54ce538e3f02a5
210	13	1	U07-0000000109_S08-0000000161	7	109	8	161	d0c6342b1d61f270147ebcd8a057b8cb35e6dbf57b4a98aa635346c2b8852aa2
211	13	2	U07-0000000109_S08-0000000162	7	109	8	162	32f76de558da5b07fcd2d0bbfdcbc193d33fdfd07ad2cf4646f503a2cd621b73
212	13	3	U07-0000000109_S08-0000000163	7	109	8	163	9cfd4d075ab11fe131b859bb6f410e90a90865d48c095d923fee74d614d7a341
213	13	4	U07-0000000109_S08-0000000164	7	109	8	164	3161332cf863be79864632a7a40900b3f651698a619415808118ca3bc9f61564
214	13	5	U07-0000000109_S08-0000000165	7	109	8	165	c4bae485d4d5e590c1cbe3f94e0c128c3a690e83de0dd14cf2441eca08e713ec
215	13	6	U07-0000000109_S08-0000000166	7	109	8	166	2f10338da50eb4824ff5f09e4131da44a8f38f0a0d8b1d2744ec84b2620a50d4
216	13	7	U07-0000000109_S08-0000000167	7	109	8	167	9d2b89bc55c284c9cde85f64108f619a67721441c32315b4ce3545156a89e3a7
217	13	8	U07-0000000109_S08-0000000168	7	109	8	168	0de7b1db7cf005f97388b8056bd3d0318dbc8160f33a344d0562a6932dcfe505
218	13	9	U07-0000000109_S08-0000000169	7	109	8	169	fdd6e8d3998bb7bda827cbe9b290dc50ea6af0868be9028d4d39e9241fbe4928
219	13	10	U07-0000000109_S08-0000000170	7	109	8	170	685ebd874ffbbbf3f39c7aa2dca3e9edb295c2653050e712be0265629732b449
220	13	11	U07-0000000109_S08-0000000171	7	109	8	171	9ea1740d676ccba2a5b3a8c033efc60fbc07f658168343127be14e93f860f6f3
221	13	12	U07-0000000109_S08-0000000172	7	109	8	172	293c0162400a22b8ffd5eb3fe9e5cf0cdd41ef3a203244799bd64b0b1b6195a1
222	13	13	U07-0000000109_S08-0000000173	7	109	8	173	4728794a2f6b25c5b602a4f5551ba8633e7fd9e59b49f2daf11798e9074efcc0
223	13	14	U07-0000000109_S08-0000000174	7	109	8	174	4b885dc1e37c827977a50284e3e2b2113624305d939fe3c01c0596f627285582
224	13	15	U07-0000000109_S08-0000000175	7	109	8	175	5915d28d661a8d1c2ad6eece499a410e05f5c9261eac5371359c835f4ec5fa17
225	14	0	U07-0000000110_S08-0000000160	7	110	8	160	c665c7bcf94fca9856509027c656a16ad57479f2d7d8ce8f72d976b6827cda41
226	14	1	U07-0000000110_S08-0000000161	7	110	8	161	61fabed3bd26a756b2b82409cc424d42aa24a917acbe1e66cadb4443b9763a23
227	14	2	U07-0000000110_S08-0000000162	7	110	8	162	46c3457c3cbcd3c3863e634fb12f6dfd79631c2a447bf168435f10163acdf111
228	14	3	U07-0000000110_S08-0000000163	7	110	8	163	6d98e17f32e56b0cd0f027b80af4bceafadd156c2442a598d53f35dbe51db759
229	14	4	U07-0000000110_S08-0000000164	7	110	8	164	1990397ec1483f668f5ee926b4ee4b80d5b1c3572247aba6061d9720ff33d8b2
230	14	5	U07-0000000110_S08-0000000165	7	110	8	165	10463aaa545ed5fc73fac1dd0293aa8d3391f6c203bad4a02271cc467203d877
231	14	6	U07-0000000110_S08-0000000166	7	110	8	166	e1d903679e6c0205ac830702bc28d67f773450827d34b3263e01e4584d14802c
232	14	7	U07-0000000110_S08-0000000167	7	110	8	167	18ae4792bd7704d96cb7ee49f6176acb4a00f825180c2a550c2be986eff2e6bf
233	14	8	U07-0000000110_S08-0000000168	7	110	8	168	17e2c0419bc2b99536eac5578d577bebb8e489fb38730c6f77a20001ac0e6bae
234	14	9	U07-0000000110_S08-0000000169	7	110	8	169	62731f6cb106706d264d2b51934213dc0b5f352556afff26195f5e04bb5cad67
235	14	10	U07-0000000110_S08-0000000170	7	110	8	170	4f35520195b537d21d910d4cefb17810c3664f439bdeebdd51caee8f2f0cd050
236	14	11	U07-0000000110_S08-0000000171	7	110	8	171	64741bceb6b864186f66a3f91eacdb363f111cdbb6b405a9ac5271c213f205db
237	14	12	U07-0000000110_S08-0000000172	7	110	8	172	f88b7062498e635aaf62696cc9b5ceb582e1a44314dbbac433e8c4ea63134a22
238	14	13	U07-0000000110_S08-0000000173	7	110	8	173	47b62fec77825583f4161100dffa855242f9045f2f32c14959855e8240e130fa
239	14	14	U07-0000000110_S08-0000000174	7	110	8	174	2c4ca9e9b5a1ea24d5adcffc05a01b8310257fd1e2c69a038cbb280e5a4b8914
240	14	15	U07-0000000110_S08-0000000175	7	110	8	175	4473544b11776a52b89358dd609565c20478fb2b2c7b7a4ff6469e0d30f18ce9
241	15	0	U07-0000000111_S08-0000000160	7	111	8	160	f99cd855157c8c6233c8db4ee10689bd0d7ab9220fd83a2ae04fb5bf0fb57655
242	15	1	U07-0000000111_S08-0000000161	7	111	8	161	b12c6e337440ba4ce06fd057a1b92b3888ede206857f4e1a9682cc546b0f43c6
243	15	2	U07-0000000111_S08-0000000162	7	111	8	162	fc647e44b6ffce71d41125a6f40de6897c17a45fdfd3692c62d7c3deb7f5f070
244	15	3	U07-0000000111_S08-0000000163	7	111	8	163	379c2a42f1ca3c6b4479d771a3e86a9456959df63c286f330f019f120c719d66
245	15	4	U07-0000000111_S08-0000000164	7	111	8	164	06fe34a8680c7c5580decae367ef2e0e6c8894f6bba51c88c789b2880ab9ab5f
246	15	5	U07-0000000111_S08-0000000165	7	111	8	165	132bebe3dc3879472968c2ca04384db54218058f99f05636230e14c8654d3d4a
247	15	6	U07-0000000111_S08-0000000166	7	111	8	166	b6f4e399a56a977c26b677b763b555d7ef865e767d1291e0bc0b785220a4bd49
248	15	7	U07-0000000111_S08-0000000167	7	111	8	167	2be9b909124b698cca2f18ceef4a1fb0972a40375e5f728e0b7b2751a6129377
249	15	8	U07-0000000111_S08-0000000168	7	111	8	168	3cc8945b9a35d3e82df26d6fe89b9df0301dd753e39e5bfb5bfd7ec90d7c5b47
250	15	9	U07-0000000111_S08-0000000169	7	111	8	169	49af4db625b356b569df465d0919f7825d3e4666a052ef6ba0c3177b1ba061cb
251	15	10	U07-0000000111_S08-0000000170	7	111	8	170	403a3e42fc036c1c9d85e196371a368c9706a9591ccd6f76a756515fc9394585
252	15	11	U07-0000000111_S08-0000000171	7	111	8	171	9bba1ffc4b2ced104e2080ebe06c568d2c86bc221d013273aa5bea9ee4f49e2e
253	15	12	U07-0000000111_S08-0000000172	7	111	8	172	60478ffe8e67aefb21ccf16052ca9e61944d25a2e20d5dfc924772a5a99d92f9
254	15	13	U07-0000000111_S08-0000000173	7	111	8	173	dd2a4cd0d32a7838fe742bfb7e9203444ee547e533c59c9ccc2d53a8ea067162
255	15	14	U07-0000000111_S08-0000000174	7	111	8	174	733b22ee6dae9b5dbfe998cbd6e67be9c9880ebd3a8fa0e7c8039ee7d434e50b
256	15	15	U07-0000000111_S08-0000000175	7	111	8	175	aee182a7ea0f2ccb4056eb677c4c03f29ccbfc91842bfcb46f68068cbc2d8c66
