ATTEMPT_INDEX	PARENT_V7_ORDINAL	CHECKPOINT_ROLE	DEPTH_DELTA	CHILD_U_OFFSET	CHILD_S_OFFSET	NODE_ID	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	C1_ORIENTATION_UNRESOLVED	C2_HULL_ORIENTATION_UNRESOLVED	EVENT1_CHARTS_CERTIFIED	EVENT2_CHARTS_CERTIFIED	HOMOGENEOUS_COMPUTATION_VALID	CERTIFICATE_PASS	PROBE_PASS
11	23	MASKED_TARGET	4	0	5	U07-0000000096_S08-0000000165	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17404	3ba4f893bdf8b31e860d1f8cd06db9c7e68fefee1ee4c0fb66332cdb9f7df0c0	c8e7f8844ddc7f59c41ca7f11f98dcbf012e4645977d113ba2568e6ce7c107ea	5e30377f4e53960fef553e1e726a11594e4e819fc263ab4765ebd3b1986bbb9b	6bfa9080bb24b90eae696109d5b977caba77882dc554a021aea14a60fd4677ec	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
12	23	MASKED_TARGET	4	0	5	U07-0000000096_S08-0000000165	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16712	3ba4f893bdf8b31e860d1f8cd06db9c7e68fefee1ee4c0fb66332cdb9f7df0c0	c8e7f8844ddc7f59c41ca7f11f98dcbf012e4645977d113ba2568e6ce7c107ea	97f7ea98b347b9fa20e93a85b414373c8407c386c19c8f4710ea5dadbffe350c	fae5453f9780d58af9f5e5a56883554cd1fffd55a142d77a9f3374ae84ee2b46	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
13	23	MASKED_TARGET	4	0	6	U07-0000000096_S08-0000000166	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17452	404f5f8e96592aa19981fd1c044b7b7e3783bc3c9fa5e715ba25b5a72f681b6e	e7db5e9b295599342d65a3219aebb65f2a93d5057a756c95ab7520083864f883	72e55cc155728e6e7f0c9e28cc52532e4a19b355b85f3160952ac0268aa979e9	7f661cffba694ae3956335afa5efadd322e7efabb058759f2ed4b9e5e0f4e0d9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
14	23	MASKED_TARGET	4	0	6	U07-0000000096_S08-0000000166	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16710	404f5f8e96592aa19981fd1c044b7b7e3783bc3c9fa5e715ba25b5a72f681b6e	e7db5e9b295599342d65a3219aebb65f2a93d5057a756c95ab7520083864f883	7fdf3b060da04c413a1c38f38f8fe819eaf9571ed834d6559e300dd5c93957df	ce8a41398a59abb06b730cb7afcc88a45ea77e9821f27a7a90943d47c8614e37	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
15	23	MASKED_TARGET	4	0	7	U07-0000000096_S08-0000000167	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17443	6a1ce978ba7ac7c806dde196c31b9ea30c3ee655378532b2ff72579c78ab3b39	093f32d2104d16e6715bd1e76302aab677480b6ccbd6ecd1fff78d38c3863d79	6b16d709333d27f4262874b8c9cbe2f649af593d7a2c7978f2d956064fdb587f	d7d0a6ba1ada898114a9f8d984fec2b571918401f8e8edca581b45f443cacccc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
16	23	MASKED_TARGET	4	0	7	U07-0000000096_S08-0000000167	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16726	6a1ce978ba7ac7c806dde196c31b9ea30c3ee655378532b2ff72579c78ab3b39	093f32d2104d16e6715bd1e76302aab677480b6ccbd6ecd1fff78d38c3863d79	34afb1b6d043f44fe2103b6d08d937c767d1d6d2e2ee7194d026258386bb1fad	9f33d7ae1b2ee67047bee09c717a2e6ce0ac56d1e29467f1ea31410372bec0bd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
17	23	MASKED_TARGET	4	0	8	U07-0000000096_S08-0000000168	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17891	af91626caa1486fb162f5f05ef97bf71b7bea08b0751648de308a60567b98296	df7a40cc2fc45bbd0912e29b671487da34e3018175e8c76012c20e92f6dbe240	3a2ecc0b71d207d7070f2c775a57cda568d4eda03f84a220a9f3e691f7ef3f67	ea0c4632905e5fc9ac6df0c36f7a2e64eba94080aebbdeb13fa559b3f1864de0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
18	23	MASKED_TARGET	4	0	8	U07-0000000096_S08-0000000168	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16693	af91626caa1486fb162f5f05ef97bf71b7bea08b0751648de308a60567b98296	df7a40cc2fc45bbd0912e29b671487da34e3018175e8c76012c20e92f6dbe240	7f7453b862ec9a03e90f8c26e0826de3d8df18e51288b9560a754f5dc3de6f9a	080f2c8e41111c80e91c6854e96c1f1a351bf6d1fd78df2616dd9126831a6458	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
19	23	MASKED_TARGET	4	0	9	U07-0000000096_S08-0000000169	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17480	50dc2c6e570a950d4933c2f2e89fdbb8d7e111800c3258b56eddde95d7524b4c	844973e3510398b796b1636b3decb5977f3d5825036a724cfacbc212eeca5683	d835dcd88129741fd0a934981611f2b78cf0191aa6eabdc6019d6466e9ee17b4	7846a97e0362845d2ac825f912810dc8ce4def2494587f425ffa5c2de5b82fd5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
20	23	MASKED_TARGET	4	0	9	U07-0000000096_S08-0000000169	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16740	50dc2c6e570a950d4933c2f2e89fdbb8d7e111800c3258b56eddde95d7524b4c	844973e3510398b796b1636b3decb5977f3d5825036a724cfacbc212eeca5683	5e125454379a25eb06aefd1750da445dad1cf7d92aff99c1387a6537cd9b4717	c7645dce771982ca05e6e706999b9c3f3ff58eaebd1826cdd390a524f876c90f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
21	23	MASKED_TARGET	4	0	10	U07-0000000096_S08-0000000170	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17439	4fa9cb21e3cc709acdca228fb8f5c16af4caf4c07fecd55b84b30f52aa1e7339	c66152fdcfdca92c5267ed5eb20a8349fb8c8473029f206ebd085a8c86fae320	d9704c18473cce9208e88ca16204c219a8440b2b9d996e27805ab236bd255463	bdf1acd8ecfb02547f59748c438fc159a3032f9099147235f2abf73ee92c2f83	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
22	23	MASKED_TARGET	4	0	10	U07-0000000096_S08-0000000170	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16718	4fa9cb21e3cc709acdca228fb8f5c16af4caf4c07fecd55b84b30f52aa1e7339	c66152fdcfdca92c5267ed5eb20a8349fb8c8473029f206ebd085a8c86fae320	fcbcfc9794590cd84b77033f7793a5a71f5f9652d386aa6916ea5c25a261c931	dadfad187220157d8abe308a656bcab72c8e7a3c98dfeb9f2a0655a93c6795b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
23	23	MASKED_TARGET	4	0	11	U07-0000000096_S08-0000000171	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17412	c5c2a84e13e009ffcd1107a88bd2f9fe281c7d134bfe615b8cb31b1891957d3c	f74f77747935e50994cb65b4dbfc95fca2e34596a72816a02e88718b58c127e5	139b538c74175e9531554e0deb125d9495a9eb674fdca90d4e0bd1985c4d5a8e	7fcc18f97421c37bcdb5f99a9927ffe798cfc4ce074005a0f64f3dec40bdcb91	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
24	23	MASKED_TARGET	4	0	11	U07-0000000096_S08-0000000171	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16671	c5c2a84e13e009ffcd1107a88bd2f9fe281c7d134bfe615b8cb31b1891957d3c	f74f77747935e50994cb65b4dbfc95fca2e34596a72816a02e88718b58c127e5	f8fbaffaf42901d390f1e4a5fba69e83957bec6db8295a6e60f0957ef9d7231c	b0433e55eb3ba8f13046a828e4ce7c13a4fb2bf8b0d300bd213433c695f782b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
25	23	MASKED_TARGET	4	0	12	U07-0000000096_S08-0000000172	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17411	d1b206c1d6f45a0d3a89d2229bc401f392b1d274c8fdda950be12d7fea8fba93	68f00020e4508a68220665c3c2e6c4947062da1c4613e957c6b1b92814d72a96	8e00661e16773165b29757a47d4536be7de06b84bc5a9f29868f6bb3270831e3	bbbe9038176259e71b93a4aecd85ce0c35ce7809301581e23723f98861c2642e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
26	23	MASKED_TARGET	4	0	12	U07-0000000096_S08-0000000172	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16680	d1b206c1d6f45a0d3a89d2229bc401f392b1d274c8fdda950be12d7fea8fba93	68f00020e4508a68220665c3c2e6c4947062da1c4613e957c6b1b92814d72a96	72686a1a983edaa2b20c47bd14cb0cae56d13120ff007320c75b43e221c08644	73d82e24cf76fce531a88dcf8b912538962c44a07765eaf50981bf5e949ad855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
27	23	MASKED_TARGET	4	0	13	U07-0000000096_S08-0000000173	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17409	a1606b44e5b68c5d43f0e59032b18dabcdd9d2085b5279794df41507f7879a0d	fa45a45597290ef92d399074ded0e78aae3bccf86575bdac55382a18085449fb	41c716588f9f28d258e2d3c307168d6758817ee13cb9b3ce6ded57409d0aaade	0a53bad801baf675e968216ab16920e013f2d8db068c05ab761b9fd413d95688	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
28	23	MASKED_TARGET	4	0	13	U07-0000000096_S08-0000000173	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16668	a1606b44e5b68c5d43f0e59032b18dabcdd9d2085b5279794df41507f7879a0d	fa45a45597290ef92d399074ded0e78aae3bccf86575bdac55382a18085449fb	53e2722835a378b51a9a918d8523cd65f9f6d315a7a49dd298075ab75c30c097	c4f6908ed3788221e0b0b5b1cbf8baab4552847780d9be3aacff58af58c6bd06	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
