null	N	n_dip_sig_p05	p_combined_dip	n_spike_sig_p05	p_combined_spike	chi2_dip	chi2_spike	df
iid	24	1	0.3162479082684811	2	0.02111410714156706	52.136031802462995	69.91408802275132	48
circular	24	1	0.12466883300999373	5	0.0015365167995234532	59.43086012585203	82.21477096788453	48
block	24	1	0.3600597378823453	3	0.026098207809993675	50.90310763205775	68.79305320711893	48
