file	rc	class	elapsed_s
tests/run-pass/solver_portfolio_lorenz_i256_step1_taylor2_point_time_slab_containment_v129_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step1_taylor2_proof_trace_skeleton_v135_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step1_taylor2_radius_artifact_v132_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step1_taylor2_remainder_obligation_v133_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step1_taylor2_replay_executor_v137_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step1_taylor2_replay_preflight_v136_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step1_taylor2_response_envelope_v130_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step1_taylor2_time_slab_containment_v140_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step2_step3_local_flowpipe_bridge_v144_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_center_artifact_v116_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_completed_candidate_bundle_v119_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_enclosure_validator_guard_v123_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_flowpipe_obligation_v126_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_local_containment_obligation_v124_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_local_flowpipe_proof_v127_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_local_flowpipe_seed_v113_imported.sio	0	PASS	9
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_point_time_slab_containment_v114_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_proof_trace_skeleton_v120_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_radius_artifact_v117_imported.sio	0	PASS	10
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_remainder_obligation_v118_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_replay_executor_v122_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_replay_preflight_v121_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_response_envelope_v115_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step2_taylor2_time_slab_containment_v125_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step3_step4_local_flowpipe_bridge_v145_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_center_artifact_v101_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_completed_candidate_bundle_v104_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_enclosure_validator_guard_v108_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_flowpipe_obligation_v111_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_local_containment_obligation_v109_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_local_flowpipe_proof_v112_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_local_flowpipe_seed_v98_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_point_time_slab_containment_v99_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_proof_trace_skeleton_v105_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_radius_artifact_v102_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_remainder_obligation_v103_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_replay_executor_v107_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_replay_preflight_v106_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_response_envelope_v100_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step3_taylor2_time_slab_containment_v110_imported.sio	0	PASS	8
tests/run-pass/solver_portfolio_lorenz_i256_step4_step5_local_flowpipe_bridge_v146_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_center_artifact_v86_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_completed_candidate_bundle_v89_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_enclosure_validator_guard_v93_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_flowpipe_obligation_v96_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_local_containment_obligation_v94_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_local_flowpipe_proof_v97_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_local_flowpipe_seed_v83_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_point_time_slab_containment_v84_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_proof_trace_skeleton_v90_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_radius_artifact_v87_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_remainder_obligation_v88_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_replay_executor_v92_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_replay_preflight_v91_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_response_envelope_v85_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step4_taylor2_time_slab_containment_v95_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_center_artifact_v71_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_completed_candidate_bundle_v74_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_enclosure_validator_guard_v78_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_flowpipe_obligation_v81_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_local_containment_obligation_v79_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_local_flowpipe_proof_v82_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_local_flowpipe_seed_v68_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_point_time_slab_containment_v69_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_proof_trace_skeleton_v75_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_radius_artifact_v72_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_remainder_obligation_v73_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_replay_executor_v77_imported.sio	0	PASS	6
