path	rc	class	elapsed_s
tests/run-pass/lorenz_i256_projection_inclusion_imported.sio	1	FAIL1	0
tests/run-pass/lorenz_i256_rho_x_minus_y_bridge_imported.sio	0	PASS	1
tests/run-pass/lorenz_i256_scaled_product_bridge_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_sigma_x_term_bridge_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_signed_delta_bridge_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_step5_certificate_imported.sio	1	FAIL1	0
tests/run-pass/lorenz_i256_step_certificate_imported.sio	1	FAIL1	0
tests/run-pass/lorenz_i256_trajectory2_acceptance_bounded_bridge_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_trajectory2_bounded_bridge_imported.sio	0	PASS	1
tests/run-pass/lorenz_i256_trajectory2_certificate_bounded_bridge_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_trajectory2_manifest_bounded_bridge_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_trajectory2_portfolio_local_guard_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_trajectory2_readiness_dispatch_envelope_imported.sio	0	PASS	1
tests/run-pass/lorenz_i256_trajectory2_replay_bounded_bridge_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_trajectory5_certificate_imported.sio	1	FAIL1	0
tests/run-pass/lorenz_i256_trajectory5_manifest_imported.sio	1	FAIL1	1
tests/run-pass/lorenz_i256_x_step_bridge_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_y_derivative_bounded_bridge_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_y_step_z0_bridge_imported.sio	0	PASS	1
tests/run-pass/lorenz_i256_z_derivative_bounded_bridge_imported.sio	0	PASS	0
tests/run-pass/lorenz_i256_z_step_bounded_bridge_imported.sio	0	PASS	0
tests/run-pass/lrat_binary_resolution_imported.sio	0	PASS	1
tests/run-pass/lrat_chain_imported.sio	0	PASS	0
tests/run-pass/lrat_deletion_lifecycle_receipt_imported.sio	0	PASS	0
tests/run-pass/lrat_frat_elaboration_imported.sio	0	PASS	0
tests/run-pass/pb_cardinality_bridge_imported.sio	0	PASS	1
tests/run-pass/pb_highwidth_microkernel_imported.sio	0	PASS	0
tests/run-pass/pb_row_chain_imported.sio	0	PASS	0
tests/run-pass/private_evidence_envelope_imported.sio	1	FAIL1	1
tests/run-pass/proof_checker_family_matrix_imported.sio	1	FAIL1	0
tests/run-pass/proof_checker_microkernel_suite_imported.sio	0	PASS	0
tests/run-pass/runtime_abi_gate_blocker_imported.sio	1	FAIL1	0
tests/run-pass/runtime_abi_gate_blocker_query_envelope_imported.sio	0	PASS	1
tests/run-pass/sat_rup_microkernel_imported.sio	0	PASS	0
tests/run-pass/smt_alethe_micro_reconstruction_imported.sio	0	PASS	0
tests/run-pass/smt_assumption_core_imported.sio	0	PASS	1
tests/run-pass/smt_farkas_microkernel_imported.sio	0	PASS	0
tests/run-pass/solver_proof_profile_imported.sio	0	PASS	0
tests/run-pass/test_qflra_exact.sio	0	PASS	0
