async_stress_slot_size.sio	1	error[E012] in run-pass/async_stress_slot_size::main at 257..300: this type has no field named
audit_trail_basic.sio	1	error[E175] in run-pass/audit_trail_basic::main at 173..197: function is private in its defining module
associator_field_octonion.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
associator_field_pentagon.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
basic_math.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bayesian_observe.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
autodiff_forward_basic.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
autodiff_tape_basic.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bdf_stiff.sio	1	error[E008] in run-pass/bdf_stiff::test_exponential_decay at 21962..22028: return value does not match function's declared return type
autodiff_forward.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
beta10_product_cancel_variance.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
beta10_fano_associator_var_fo.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
autodiff_reverse.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bdf64_test.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bignat_selftest_divmod_rem.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bignat_selftest.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bignat_selftest_eq_false.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bignat_selftest_eq_true.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
beta_confidence_rule.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bignat_selftest_iszero_false.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bitwise_not_bootstrap_regression.sio	1	error[E005] in run-pass/bitwise_not_bootstrap_regression::effect_violation_shape at 248..260: this unary operation is not defined for the type
borrow_call_explicit_release.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
borrow_reborrow.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bignat_selftest_iszero_true.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
borrow_match_scope_ok.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
box_all_read_forms.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
bignat_selftest_signed.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
brain_ossm_sigmoid_polarity.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
budget64_test.sio	1	  lowering-error record: total=1 hard=1
cardinality_at_most_two_tiny.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cardinality_colouring_lrat_header_tiny.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cardinality_colouring_ids_tiny.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
budget64_dof_sentinel_print.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cardinality_colouring_graph_instance_tiny.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cardinality_colouring_manifest_fingerprint_tiny.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cardinality_colouring_manifest_scalar.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
