# engine	madaros-linux-x86_64@ff69dae4
# trees	stdlib examples tests/run-pass
file	rc	first_error_code	error_count	parse_errors	first_error_line	all_error_codes
examples/compiler/parser/mod_demo.sio	0	none	0	0		
examples/compiler/parser/stmt_parse_demo.sio	1	PARSE	0	2		PARSEx2
examples/compiler/types/unify_demo.sio	0	none	0	0		
examples/computational_psychiatry_demo.sio	0	none	0	0		
examples/conjecture3_weak_values.sio	0	none	0	0		
examples/conjecture5_bridge_test.sio	0	none	0	0		
examples/conjecture5_pbpk_test.sio	0	none	0	0		
examples/connectivity/network_metrics_demo.sio	1	PARSE	0	2		PARSEx2
examples/connectivity/phase_demo.sio	1	PARSE	0	2		PARSEx2
examples/connectome_abide_associator.sio	0	none	0	0	343	
examples/contest_seizure_detection.sio	0	none	0	0		
examples/conversational_ossm/agent_cli.sio	0	none	0	0		
examples/conversational_ossm/associator_telemetry.sio	1	E008	1	0		E008x1
examples/conversational_ossm/bidirectional_ossm_v0.sio	0	none	0	0		
examples/conversational_ossm/o_ssm_conflict.sio	0	none	0	0		
examples/conversational_ossm/o_ssm_core.sio	0	none	0	0		
examples/conversational_ossm/o_ssm_memory.sio	0	none	0	0		
examples/conversational_ossm/o_ssm_router.sio	0	none	0	0		
examples/conversational_ossm/test_syntax.sio	0	none	0	0		
examples/copy_task_benchmark.sio	0	none	0	0	322	
examples/cosine_theorem_proof.sio	0	none	0	0		
examples/cross_compilation.sio	0	none	0	0		
examples/csv/mod_demo.sio	1	E137	21	0		E011x19,E137x2
examples/csv_stats.sio	0	none	0	0		
examples/cybernetic_demo.sio	1	E174	4	0		E137x3,E174x1
examples/cyp450_168_demo.sio	0	none	0	0		
examples/darwin_atlas/approx_metric.sio	0	none	0	0		
examples/darwin_atlas/exact_symmetry.sio	0	none	0	0		
examples/darwin_atlas/ffi.sio	0	none	0	0		
examples/darwin_atlas/lib.sio	1	E019	3	0		E019x3
examples/darwin_atlas/operators.sio	0	none	0	0		
examples/darwin_atlas/quaternion.sio	0	none	0	0		
examples/darwin_atlas/test_runner.sio	0	none	0	0		
examples/darwin_atlas/verify_knowledge.sio	1	PARSE	0	8	22	PARSEx8
examples/darwin_atlas_operators.sio	0	none	0	0		
examples/darwin_compat_test.sio	0	none	0	0		
examples/darwin_pbpk/rodgers_rowland_demo.sio	1	E137	4	0		E137x4
examples/darwin_pbpk/simulation_demo.sio	1	PARSE	0	12	80	PARSEx12
examples/darwin_pbpk/tsit5_pbpk14_demo.sio	1	E137	4	0		E137x4
examples/data/biodiversity_inequality_showcase.sio	0	none	0	0		
examples/data/clinical_lab_qc_showcase.sio	0	none	0	0		
examples/data/dataframe_groupby_workflow.sio	1	PARSE	0	17	41	PARSEx17
examples/data/dataframe_workflow.sio	1	PARSE	0	17	41	PARSEx17
