biomarker	T1_dip_iid_p	T2_spike_iid_p	T2_spike_circ_p	T2_spike_block_p	auc_LOO	cluster_ci_low	cluster_ci_hi	cluster_p	rejects_AUC_05
sedenion	0.5971474260502332	0.013739102402591127	9.99827980936925e-05	0.03353466316902666	0.6458333333333334	0.4721180555555555	0.7548784722222222	0.03796203796203796	False
permuted	0.4465496369567184	0.01222682498113912	5.563534597138397e-05	0.017312655367422082	0.6586805555555556	0.48881076388888894	0.7594184027777777	0.03196803196803197	False
rand_tri	0.470167125120518	0.006766553436536436	2.5264212342423197e-05	0.009943213427543379	0.6402777777777777	0.4621440972222222	0.7434201388888888	0.04595404595404595	False
bispec	0.3162479082684811	0.02111410714156706	0.0015365167995234532	0.026098207809993675	0.6017361111111111	0.41978298611111114	0.6975868055555555	0.22277722277722278	False
