null	N	n_dip_sig_p05	p_combined_dip	n_spike_sig_p05	p_combined_spike	chi2_dip	chi2_spike	df
iid	24	1	0.5971474260502332	3	0.013739102402591127	44.98468661032165	72.11304645548155	48
circular	24	1	0.35163630191167083	4	9.99827980936925e-05	51.13404871999622	93.22156194301385	48
block	24	1	0.7063637272211448	3	0.03353466316902666	42.25427388429886	67.43139413914358	48
