SCHEMA=sounio.cs6.affine-projective-cocycle-full53-coordinates.v1
PARENT_COORDINATE_SET=CS6_PLUCKER_COCYCLE_RETAINED_53_V1
LEAF_COUNT=53
PAIRED_ELIGIBLE_COUNT=52
PARENT_AFFINE_PASS_COUNT=28
SELECTION=ALL_PARENT_COORDINATES_NO_POSTHOC_FILTER
PREDECLARED_IN_COMMIT=9dcf1fca964d7e54e1109f9210689809666b2a54
PREDECLARATION_REPORT_SHA256=74d8f596c9258eab49775192e8b244e032dfb5e3481a23804075c66ff316618c
PARENT_RUN_MANIFEST_SHA256=21f0ca224fc79d1cfc815f203100e091bf27dbb070cb3a2c69f6056b7a6fee27
PARENT_FILES_INDEX_SHA256=740ae39070ff90604048c37d25e2f0de954be9ea55e020a529e094699a82802d
PARENT_COORDINATES_SHA256=6169dd7705ca4f01180f65d13d620320845684f0a9fc28411c881cfae7e4f2d8
PARENT_LEAVES_SHA256=98c639a616ac640f1983209530f8fe30d769a0e4b0136665201c9bc57320e37f
PARENT_AFFINE_OBLIGATION_CANONICALIZATION=SORTED_LEAF_ID_UTF8_LF_WITH_FINAL_LF
PARENT_AFFINE_OBLIGATION_SHA256=9f36931e672aba1b9735c45eef286fbca97da67b911c64daa0b3b8c8affecd6c
CHART_PROVENANCE=PARENT_H_PG_SELECTED_CHART
CHART_POLICY=FIXED_PER_LEAF_NO_RUNTIME_RESELECTION
ROOT_POLICY=ATTEMPT_AND_REQUIRE_SAME_UNRESOLVED_CLASS
AFFINE_LOSS_POLICY=ANY_CHILD_UNRESOLVED_INVALID_OR_UNCERTIFIED_ON_PARENT_AFFINE_PASS_LEAF
ACCEPTANCE=53_ATTEMPTED_52_PAIRED_VALID_NO_NEW_UNRESOLVED_ZERO_AFFINE_LOSS_AT_LEAST_ONE_RESCUE_EXACT_REPLAY_ALL_MUTATIONS_REJECTED
LEAF_CHALLENGE_BINDING=PARENT_INPUT_SHA256_PARENT_RECEIPT_SHA256_CHART_SIGN_TUPLE_MANIFEST_SHA256
PROMOTION_REQUIRES_INDEPENDENT_ATTESTATION=true
LEAF_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	PARENT_INPUT_SHA256	PARENT_STATUS	PARENT_RECEIPT_SHA256	E1_R0_CHART	E1_R0_SIGN	E1_R1_CHART	E1_R1_SIGN	E2_R0_CHART	E2_R0_SIGN	E2_R1_CHART	E2_R1_SIGN
U00-0000000000_S00-0000000000	0	0	0	0	835b9776707d5d8c7b263b84632301dd3db5ccc635968cf18f4560a4de851df6	COMPUTATION_UNRESOLVED_INTERVAL_DOMAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	NONE	0	NONE	0	NONE	0	NONE	0
U08-0000000064_S08-0000000064	8	64	8	64	51024385260754ebcea722867ecf95e3b6aeaa19660c162aa54af5ddc49dbb7d	PROBE_VALID_UNCERTIFIED	bde00f05031c888d5e8ee80b2c8aca0e48246a1229b3e5daec64bea237dfa13b	X	-1	X	-1	PLUS	-1	PLUS	-1
U08-0000000064_S08-0000000192	8	64	8	192	8402247afc91796acc0194ceb0de7514075bf461223adf96bbe0798332a9d6a7	PROBE_VALID_UNCERTIFIED	44816cef541228b637ac20369540c10c4f291d4dc233d882bcb1273a42175b26	X	-1	Y	1	PLUS	-1	PLUS	-1
U08-0000000192_S08-0000000064	8	192	8	64	9a543f3f06ee060f579ef47f808ebdbba9d237cd1cb6d692046057ff84856d7f	PROBE_VALID_UNCERTIFIED	e3b91ca9d0b0a5a95441294885d733c050d52ee05d61dd1ff0d2565f6dacdea7	X	-1	X	-1	PLUS	-1	PLUS	-1
U08-0000000192_S08-0000000192	8	192	8	192	1da8d07d88864eee425c0fd28d9bd38b78fe17d3aa5bb9ad03bb4a38b48f95ed	PROBE_VALID_UNCERTIFIED	f1f26ea715426ff88a610dda81376bf8acbea3cabae3e69a7b4906610d8b187a	X	-1	Y	1	PLUS	-1	PLUS	-1
U12-0000001024_S12-0000001024	12	1024	12	1024	3c1b1668641d08132620ab82b37ad1cc5e90b37d0de97f90a10f28f01fffd5e1	PROBE_VALID_UNCERTIFIED	b40b75347dfd1932aa2587dee9afcbbb52f7c2e0a240c39b2493658223336bbc	X	-1	X	-1	PLUS	-1	PLUS	-1
U12-0000001024_S12-0000003072	12	1024	12	3072	98fef771a9d5723f13fe9e38e4e80c59640721df3b5dac4af5f0889d784f380f	PROBE_VALID_UNCERTIFIED	856d02f58d31702caeb396a4f67329929a7314cbc567d6322873bfcf9a166533	X	-1	PLUS	1	PLUS	-1	PLUS	-1
U12-0000001024_S16-0000016384	12	1024	16	16384	b6e21153739269ef598aa5e99bc40a0710f94c135d4c82701ef9ceb3dc1c32cc	PROBE_VALID_UNCERTIFIED	cecf889f5e51d934d1991723aa9365d1430ba03b1cd27423831352fe5089cf79	X	-1	X	-1	PLUS	-1	PLUS	-1
U12-0000001024_S16-0000049152	12	1024	16	49152	e3c598a6368d4abcb0cb08e90f6c513c1e5e4668e963a4fa474cb3f8e1f4fbdf	PROBE_VALID_UNCERTIFIED	5bc5d68ebbbd4e2ce80c473fe68360ac79dc2f901024dc7bec1f5813f864902b	X	-1	PLUS	1	PLUS	-1	PLUS	-1
U12-0000003072_S12-0000001024	12	3072	12	1024	c1a27a6b515e8c98373fbd34cd6122fb97351dc053e235eff6ceefa9f8f65412	PROBE_VALID_UNCERTIFIED	b0cd40418e44388c70a7592c748b6b17f3313f58399b822c8ae71d8a0aa5a981	X	-1	X	-1	PLUS	-1	PLUS	-1
U12-0000003072_S12-0000003072	12	3072	12	3072	c0b804a283bac1742c43cec4d07ca058e6371198fd39ba8585b208da70cdaeb8	PROBE_VALID_UNCERTIFIED	613ed82ba706abaf65c2ee4204beeefd7cb28823ff78563671d38f25f3c2693e	X	-1	Y	1	PLUS	-1	PLUS	-1
U12-0000003072_S16-0000016384	12	3072	16	16384	490df889010a08974fcaa6b30e28d0b6931a2c89660cceb33e8e628af24e7d4b	PROBE_VALID_UNCERTIFIED	c3c3770841e1b42085b45a9680bb75e4e06e8f58de0fb4491e7fb718737c6830	X	-1	X	-1	PLUS	-1	PLUS	-1
U12-0000003072_S16-0000049152	12	3072	16	49152	e9237e572f3a9a6595d83421a950e2e19c2a4685ab310506f78de821b2a5d538	PROBE_VALID_UNCERTIFIED	e5fa8b53afd5958b47ff3c356db9049d2f3c4f82384f0531b0ca6e8c73fef3ba	X	-1	Y	1	PLUS	-1	PLUS	-1
U13-0000001024_S14-0000002048	13	1024	14	2048	74c728b34c5ba03dab2841cdae56f6e6c0b6fe26bc26981d87a50307ef60ecbd	PROBE_VALID_CERTIFIED	01b07924ea838290ecee28062396e87f41bd4c94d9b6f7ed1ee567bcd6183207	X	-1	X	-1	PLUS	-1	PLUS	-1
U13-0000001024_S14-0000006144	13	1024	14	6144	87fceb383f74c299a0af0397c4b8d38de97d9d50700dc6671a0dab1dab8e72f5	PROBE_VALID_CERTIFIED	c8506a05dfe721b485e5cdaed7d70f82452752e10342dc3bc5cb358d400232b9	X	-1	MINUS	-1	PLUS	-1	PLUS	-1
U13-0000001024_S14-0000010240	13	1024	14	10240	283624848af18ba5047322e86b4be033a1025806aab8782e2a751e46ebab8805	PROBE_VALID_CERTIFIED	d3785e79d5a6a86f0b83b01064aca9b304507128f8cb0ee3700f5bb73147b00d	X	-1	Y	1	PLUS	-1	PLUS	-1
U13-0000001024_S14-0000014336	13	1024	14	14336	8d89b39f48c533aeacec395942c695be1d3979513f0dfde0ccbfdbd19d7097d8	PROBE_VALID_CERTIFIED	fba22c9d246048371feb5acc4bd7a1aebbc3a74ed76db189345e1ebf7be0d341	X	-1	PLUS	1	PLUS	-1	PLUS	-1
