model	seed_count	site_count	subjects	accuracy_pct_mean	accuracy_pct_std	balanced_accuracy_pct_mean	balanced_accuracy_pct_std	macro_f1_pct_mean	macro_f1_pct_std	auroc_pct_mean	auroc_pct_std	brier_mean	brier_std	ece_pct_mean	ece_pct_std	assoc_mean_mean	assoc_mean_std
H-SSM	20	20	200	50.0	0.0	50.0	0.0	49.152795	1.506223	47.5	0.0	0.263329	0.002731	9.360423	1.177998	0.0	0.0
O-SSM	20	20	200	48.35	1.613227	48.35	1.613227	47.864263	1.72398	48.806	1.154939	0.283267	0.006383	14.697317	1.406183	0.976418	0.019141
