LEAF_INDEX	LEAF_ID	X0_Q	Y0_Q	STEPS	EVENT1_TIME_Q	EVENT2_TIME_Q	X2_Q	Y2_Q	ELL2_Q	FLAGS	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD	REFERENCE_PASS
25	U07-0000000097_S08-0000000168	16597838684701	12027483684733	6744	2646936476352	7240286659392	12533175214318	7392095648380	-20281587442143	7	-2.837387144022241e-11	-2.8373869749680283e-11	1.6905421277173447e-18	true	true
26	U07-0000000097_S08-0000000169	16595411930766	12028350687159	6744	2646939501184	7240289636608	12533174050061	7392094343765	-20281736680423	7	-2.8367599224288945e-11	-2.8367597818176768e-11	1.4061121772948191e-18	true	true
27	U07-0000000097_S08-0000000170	16592985176831	12029217689584	6744	2646942525184	7240292613056	12533172837120	7392092985069	-20281885914878	7	-2.8361328041912615e-11	-2.83613265784831e-11	1.4634295155731417e-18	true	true
28	U07-0000000097_S08-0000000171	16590558422896	12030084692010	6744	2646945547456	7240295587968	12533171586596	7392091584045	-20282035151802	7	-2.8355057631440498e-11	-2.8355056030532511e-11	1.6009079867422661e-18	true	true
29	U07-0000000097_S08-0000000172	16588131668961	12030951694435	6744	2646948567872	7240298561344	12533170299880	7392090142058	-20282184392877	7	-2.8348787937560898e-11	-2.8348786174258222e-11	1.7633026760004393e-18	true	true
30	U07-0000000097_S08-0000000173	16585704915026	12031818696860	6744	2646951585472	7240301532160	12533168988211	7392088672592	-20282333644348	7	-2.8342518690400814e-11	-2.8342517009593448e-11	1.6808073654368091e-18	true	true
31	U07-0000000097_S08-0000000174	16583278161091	12032685699286	6744	2646954600768	7240304501056	12533167646043	7392087168475	-20282482902535	7	-2.8336250041395568e-11	-2.83362485364714e-11	1.5049241682783348e-18	true	true
32	U07-0000000097_S08-0000000175	16580851407156	12033552701711	6744	2646957615552	7240307469504	12533166249915	7392085604409	-20282632154409	7	-2.8329982537895755e-11	-2.8329980754825278e-11	1.7830704767205182e-18	true	true
33	U07-0000000098_S08-0000000160	16617206378420	12020496919114	6744	2646925115456	7240274300736	12533380654069	7392325837662	-20280344734215	7	-2.8423277887362392e-11	-2.8423276141088263e-11	1.7462741291152695e-18	true	true
34	U07-0000000098_S08-0000000161	16614779624485	12021363921540	6744	2646928157184	7240277292608	12533379769422	7392324846573	-20280493930670	7	-2.8417000434446147e-11	-2.8416998800680446e-11	1.6337657009361465e-18	true	true
35	U07-0000000098_S08-0000000162	16612352870550	12022230923965	6744	2646931196672	7240280282560	12533378853436	7392323820338	-20280643134223	7	-2.841072357563986e-11	-2.8410722152616579e-11	1.4230232806888777e-18	true	true
36	U07-0000000098_S08-0000000163	16609926116615	12023097926390	6744	2646934235200	7240283271616	12533377890013	7392322741031	-20280792334233	7	-2.8404447734525338e-11	-2.8404446196829948e-11	1.537695390399415e-18	true	true
37	U07-0000000098_S08-0000000164	16607499362680	12023964928816	6744	2646937270912	7240286258304	12533376902842	7392321634147	-20280941545517	7	-2.8398172314192444e-11	-2.8398170933253821e-11	1.3809386220247355e-18	true	true
38	U07-0000000098_S08-0000000165	16605072608745	12024831931241	6744	2646940305664	7240289244032	12533375868364	7392320475413	-20281090754144	7	-2.8391897881345883e-11	-2.839189636182147e-11	1.5195244133842558e-18	true	true
39	U07-0000000098_S08-0000000166	16602645854810	12025698933667	6744	2646943338176	7240292227904	12533374800641	7392319279442	-20281239968238	7	-2.8385624101882258e-11	-2.8385622482466163e-11	1.6194160947870033e-18	true	true
40	U07-0000000098_S08-0000000167	16600219100875	12026565936092	6744	2646946368128	7240295209536	12533373706803	7392318053568	-20281389191875	7	-2.8379350808045789e-11	-2.8379349295121146e-11	1.5129246430070763e-18	true	true
41	U07-0000000098_S08-0000000168	16597792346940	12027432938517	6744	2646949397184	7240298190400	12533372564055	7392316773054	-20281538411747	7	-2.8373078550126768e-11	-2.8373076799719673e-11	1.7504070950406253e-18	true	true
42	U07-0000000098_S08-0000000169	16595365593005	12028299940943	6744	2646952423552	7240301168896	12533371396395	7392315464296	-20281687641819	7	-2.8366806747976811e-11	-2.8366804996194984e-11	1.7517818272134229e-18	true	true
43	U07-0000000098_S08-0000000170	16592938839070	12029166943368	6744	2646955446656	7240304144640	12533370207124	7392314132260	-20281836885293	7	-2.8360535281671618e-11	-2.8360533884480315e-11	1.397191302575899e-18	true	true
44	U07-0000000098_S08-0000000171	16590512085135	12030033945794	6744	2646958469696	7240307120256	12533368962238	7392312736872	-20281986119952	7	-2.8354265049778651e-11	-2.8354263464508892e-11	1.5852697592145618e-18	true	true
45	U07-0000000098_S08-0000000172	16588085331200	12030900948219	6744	2646961489344	7240310092864	12533367697445	7392311320431	-20282135368210	7	-2.8347995131129162e-11	-2.8347993736213938e-11	1.3949152246475798e-18	true	true
46	U07-0000000098_S08-0000000173	16585658577265	12031767950644	6744	2646964508096	7240313064896	12533366385418	7392309849685	-20282284614131	7	-2.8341726203789102e-11	-2.8341724699528662e-11	1.5042604398472919e-18	true	true
47	U07-0000000098_S08-0000000174	16583231823330	12032634953070	6744	2646967524928	7240316035072	12533365038451	7392308340470	-20282433864182	7	-2.8335457975966714e-11	-2.8335456354386275e-11	1.6215804387091425e-18	true	true
48	U07-0000000098_S08-0000000175	16580805069395	12033501955495	6744	2646970539648	7240319003392	12533363657223	7392306793258	-20282583118920	7	-2.8329190428522698e-11	-2.8329188700719981e-11	1.7278027175166916e-18	true	true
49	U07-0000000099_S08-0000000161	16614733286724	12021313175324	6744	2646941074176	7240288821248	12533577067371	7392545912105	-20280444922375	7	-2.8416206378896721e-11	-2.8416204942763232e-11	1.4361334891682551e-18	true	true
50	U07-0000000099_S08-0000000162	16612306532789	12022180177749	6744	2646944114944	7240291812288	12533576149479	7392544883880	-20280594119116	7	-2.8409929881969237e-11	-2.8409928422679382e-11	1.4592898546547031e-18	true	true
51	U07-0000000099_S08-0000000163	16609879778854	12023047180174	6744	2646947154240	7240294802048	12533575191290	7392543809858	-20280743316874	7	-2.8403654222523908e-11	-2.8403652594872946e-11	1.6276509621283043e-18	true	true
52	U07-0000000099_S08-0000000164	16607453024919	12023914182600	6744	2646950190528	7240297789184	12533574209928	7392542710831	-20280892526463	7	-2.8397378953663616e-11	-2.8397377459277199e-11	1.4943864171869891e-18	true	true
53	U07-0000000099_S08-0000000165	16605026270985	12024781185025	6744	2646953226432	7240300775936	12533573175676	7392541551461	-20281041728759	7	-2.8391104855828717e-11	-2.8391103015825411e-11	1.8400033052609742e-18	true	true
54	U07-0000000099_S08-0000000166	16602599517050	12025648187451	6744	2646956258944	7240303759872	12533572121678	7392540370877	-20281190946091	7	-2.8384831034282294e-11	-2.838482926445084e-11	1.7698314542477812e-18	true	true
55	U07-0000000099_S08-0000000167	16600172763115	12026515189876	6744	2646959288832	7240306741504	12533571042272	7392539160891	-20281340172422	7	-2.8378557707496086e-11	-2.8378556205086738e-11	1.5024093485768918e-18	true	true
56	U07-0000000099_S08-0000000168	16597746009180	12027382192301	6744	2646962317504	7240309721984	12533569917420	7392537901163	-20281489397296	7	-2.8372285319516508e-11	-2.8372283837666356e-11	1.4818501524992756e-18	true	true
57	U07-0000000099_S08-0000000169	16595319255245	12028249194727	6744	2646965345024	7240312701504	12533568749813	7392536592333	-20281638622234	7	-2.8366013818824564e-11	-2.8366012162122928e-11	1.6567016357140461e-18	true	true
