model	seed_count	site_count	subjects	accuracy_pct_mean	accuracy_pct_std	balanced_accuracy_pct_mean	balanced_accuracy_pct_std	macro_f1_pct_mean	macro_f1_pct_std	auroc_pct_mean	auroc_pct_std	brier_mean	brier_std	ece_pct_mean	ece_pct_std	assoc_mean_mean	assoc_mean_std
H-SSM	20	20	100	50.0	0.0	50.0	0.0	49.464009	0.574	47.4	0.0	0.264882	0.004309	10.111333	1.983526	0.0	0.0
O-SSM	20	20	100	48.55	2.819131	48.55	2.819131	47.813285	2.717916	47.66	2.633644	0.288713	0.010357	16.020038	2.0972	1.020917	0.023699
