full_tree_import_external (login, complete self-hosted)
parser	94	7
check	49	6
ir	50	21
native	21	36
wasm	17	8
hlir	2	1
gpu	2	21
enir	0	10
mli	0	16
llvm	0	0
vm	0	0
effects	0	0
