id	iri	label
93	http://purl.obolibrary.org/obo/GO_0022016	pallium glioblast division
94	http://purl.obolibrary.org/obo/GO_0022017	neuroblast division in pallium
95	http://purl.obolibrary.org/obo/GO_0022402	cell cycle process
96	http://purl.obolibrary.org/obo/GO_0022412	cellular process involved in reproduction in multicellular organism
97	http://purl.obolibrary.org/obo/GO_0022413	reproductive process in single-celled organism
98	http://purl.obolibrary.org/obo/GO_0022414	reproductive process
99	http://purl.obolibrary.org/obo/GO_0023052	signaling
100	http://purl.obolibrary.org/obo/GO_0023061	signal release
101	http://purl.obolibrary.org/obo/GO_0030010	establishment of cell polarity
102	http://purl.obolibrary.org/obo/GO_0030154	cell differentiation
103	http://purl.obolibrary.org/obo/GO_0030312	external encapsulating structure
104	http://purl.obolibrary.org/obo/GO_0030727	germarium-derived female germ-line cyst formation
105	http://purl.obolibrary.org/obo/GO_0030900	forebrain development
106	http://purl.obolibrary.org/obo/GO_0031012	extracellular matrix
107	http://purl.obolibrary.org/obo/GO_0032501	multicellular organismal process
108	http://purl.obolibrary.org/obo/GO_0032502	developmental process
109	http://purl.obolibrary.org/obo/GO_0032940	secretion by cell
110	http://purl.obolibrary.org/obo/GO_0032991	protein-containing complex
111	http://purl.obolibrary.org/obo/GO_0035265	organ growth
112	http://purl.obolibrary.org/obo/GO_0036445	neuronal stem cell division
113	http://purl.obolibrary.org/obo/GO_0040007	growth
114	http://purl.obolibrary.org/obo/GO_0040011	locomotion
115	http://purl.obolibrary.org/obo/GO_0040016	embryonic cleavage
116	http://purl.obolibrary.org/obo/GO_0042078	germ-line stem cell division
117	http://purl.obolibrary.org/obo/GO_0043226	organelle
118	http://purl.obolibrary.org/obo/GO_0043227	membrane-bounded organelle
119	http://purl.obolibrary.org/obo/GO_0043228	membraneless organelle
120	http://purl.obolibrary.org/obo/GO_0043229	intracellular organelle
121	http://purl.obolibrary.org/obo/GO_0043230	extracellular organelle
122	http://purl.obolibrary.org/obo/GO_0043231	intracellular membrane-bounded organelle
123	http://purl.obolibrary.org/obo/GO_0044423	virion component
124	http://purl.obolibrary.org/obo/GO_0044848	biological phase
125	http://purl.obolibrary.org/obo/GO_0045035	sensory organ precursor cell division
126	http://purl.obolibrary.org/obo/GO_0045165	cell fate commitment
127	http://purl.obolibrary.org/obo/GO_0046879	hormone secretion
128	http://purl.obolibrary.org/obo/GO_0046903	secretion
129	http://purl.obolibrary.org/obo/GO_0048103	somatic stem cell division
130	http://purl.obolibrary.org/obo/GO_0048132	female germ-line stem cell asymmetric division
131	http://purl.obolibrary.org/obo/GO_0048133	male germ-line stem cell asymmetric division
132	http://purl.obolibrary.org/obo/GO_0048134	germ-line cyst formation
133	http://purl.obolibrary.org/obo/GO_0048135	female germ-line cyst formation
134	http://purl.obolibrary.org/obo/GO_0048137	spermatocyte division
135	http://purl.obolibrary.org/obo/GO_0048142	germarium-derived cystoblast division
136	http://purl.obolibrary.org/obo/GO_0048232	male gamete generation
137	http://purl.obolibrary.org/obo/GO_0048285	organelle fission
138	http://purl.obolibrary.org/obo/GO_0048316	seed development
139	http://purl.obolibrary.org/obo/GO_0048468	cell development
140	http://purl.obolibrary.org/obo/GO_0048477	oogenesis
141	http://purl.obolibrary.org/obo/GO_0048511	rhythmic process
142	http://purl.obolibrary.org/obo/GO_0048513	animal organ development
143	http://purl.obolibrary.org/obo/GO_0048589	developmental growth
144	http://purl.obolibrary.org/obo/GO_0048608	reproductive structure development
145	http://purl.obolibrary.org/obo/GO_0048609	multicellular organismal reproductive process
146	http://purl.obolibrary.org/obo/GO_0048646	anatomical structure formation involved in morphogenesis
147	http://purl.obolibrary.org/obo/GO_0048699	generation of neurons
148	http://purl.obolibrary.org/obo/GO_0048705	skeletal system morphogenesis
149	http://purl.obolibrary.org/obo/GO_0048731	system development
150	http://purl.obolibrary.org/obo/GO_0048856	anatomical structure development
151	http://purl.obolibrary.org/obo/GO_0048860	glioblast division
