id	iri	label
83	http://purl.obolibrary.org/obo/GO_0000132	establishment of mitotic spindle orientation
84	http://purl.obolibrary.org/obo/GO_0000133	polarisome
85	http://purl.obolibrary.org/obo/GO_0000136	mannan polymerase complex
86	http://purl.obolibrary.org/obo/GO_0000137	Golgi cis cisterna
87	http://purl.obolibrary.org/obo/GO_0000138	Golgi trans cisterna
88	http://purl.obolibrary.org/obo/GO_0000139	Golgi membrane
89	http://purl.obolibrary.org/obo/GO_0000140	acylglycerone-phosphate reductase (NADP+) activity
90	http://purl.obolibrary.org/obo/GO_0000142	cellular bud neck contractile ring
91	http://purl.obolibrary.org/obo/GO_0000144	cellular bud neck septin ring
92	http://purl.obolibrary.org/obo/GO_0000145	exocyst
93	http://purl.obolibrary.org/obo/GO_0000146	microfilament motor activity
94	http://purl.obolibrary.org/obo/GO_0000147	actin cortical patch assembly
95	http://purl.obolibrary.org/obo/GO_0000148	1,3-beta-D-glucan synthase complex
96	http://purl.obolibrary.org/obo/GO_0000149	SNARE binding
97	http://purl.obolibrary.org/obo/GO_0000150	DNA strand exchange activity
98	http://purl.obolibrary.org/obo/GO_0000151	ubiquitin ligase complex
99	http://purl.obolibrary.org/obo/GO_0000152	nuclear ubiquitin ligase complex
100	http://purl.obolibrary.org/obo/GO_0000153	cytoplasmic ubiquitin ligase complex
101	http://purl.obolibrary.org/obo/GO_0000154	rRNA modification
102	http://purl.obolibrary.org/obo/GO_0000155	phosphorelay sensor kinase activity
103	http://purl.obolibrary.org/obo/GO_0000156	phosphorelay response regulator activity
104	http://purl.obolibrary.org/obo/GO_0000159	protein phosphatase type 2A complex
105	http://purl.obolibrary.org/obo/GO_0000160	phosphorelay signal transduction system
106	http://purl.obolibrary.org/obo/GO_0000162	L-tryptophan biosynthetic process
107	http://purl.obolibrary.org/obo/GO_0000164	protein phosphatase type 1 complex
108	http://purl.obolibrary.org/obo/GO_0000165	MAPK cascade
109	http://purl.obolibrary.org/obo/GO_0000166	nucleotide binding
110	http://purl.obolibrary.org/obo/GO_0000171	ribonuclease MRP activity
111	http://purl.obolibrary.org/obo/GO_0000172	ribonuclease MRP complex
112	http://purl.obolibrary.org/obo/GO_0000175	3'-5'-RNA exonuclease activity
113	http://purl.obolibrary.org/obo/GO_0000176	nuclear exosome (RNase complex)
114	http://purl.obolibrary.org/obo/GO_0000177	cytoplasmic exosome (RNase complex)
115	http://purl.obolibrary.org/obo/GO_0000178	exosome (RNase complex)
116	http://purl.obolibrary.org/obo/GO_0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
117	http://purl.obolibrary.org/obo/GO_0000182	rDNA binding
118	http://purl.obolibrary.org/obo/GO_0000183	rDNA heterochromatin formation
119	http://purl.obolibrary.org/obo/GO_0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
120	http://purl.obolibrary.org/obo/GO_0000196	cell integrity MAPK cascade
121	http://purl.obolibrary.org/obo/GO_0000209	protein polyubiquitination
122	http://purl.obolibrary.org/obo/GO_0000210	NAD+ diphosphatase activity
123	http://purl.obolibrary.org/obo/GO_0000212	meiotic spindle organization
124	http://purl.obolibrary.org/obo/GO_0000213	tRNA-intron lyase activity
125	http://purl.obolibrary.org/obo/GO_0000214	tRNA-intron endonuclease complex
126	http://purl.obolibrary.org/obo/GO_0000215	tRNA 2'-phosphotransferase activity
127	http://purl.obolibrary.org/obo/GO_0000217	DNA secondary structure binding
128	http://purl.obolibrary.org/obo/GO_0000220	vacuolar proton-transporting V-type ATPase, V0 domain
129	http://purl.obolibrary.org/obo/GO_0000221	vacuolar proton-transporting V-type ATPase, V1 domain
130	http://purl.obolibrary.org/obo/GO_0000222	plasma membrane proton-transporting V-type ATPase, V0 domain
131	http://purl.obolibrary.org/obo/GO_0000223	plasma membrane proton-transporting V-type ATPase, V1 domain
132	http://purl.obolibrary.org/obo/GO_0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
133	http://purl.obolibrary.org/obo/GO_0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity
134	http://purl.obolibrary.org/obo/GO_0000226	microtubule cytoskeleton organization
135	http://purl.obolibrary.org/obo/GO_0000228	nuclear chromosome
136	http://purl.obolibrary.org/obo/GO_0000234	phosphoethanolamine N-methyltransferase activity
137	http://purl.obolibrary.org/obo/GO_0000235	astral microtubule
138	http://purl.obolibrary.org/obo/GO_0000236	mitotic prometaphase
139	http://purl.obolibrary.org/obo/GO_0000237	leptotene
140	http://purl.obolibrary.org/obo/GO_0000238	zygotene
141	http://purl.obolibrary.org/obo/GO_0000239	pachytene
142	http://purl.obolibrary.org/obo/GO_0000240	diplotene
143	http://purl.obolibrary.org/obo/GO_0000241	diakinesis
144	http://purl.obolibrary.org/obo/GO_0000242	pericentriolar material
145	http://purl.obolibrary.org/obo/GO_0000243	commitment complex
146	http://purl.obolibrary.org/obo/GO_0000244	spliceosomal tri-snRNP complex assembly
147	http://purl.obolibrary.org/obo/GO_0000245	spliceosomal complex assembly
148	http://purl.obolibrary.org/obo/GO_0000246	Delta24(24-1) sterol reductase activity
149	http://purl.obolibrary.org/obo/GO_0000247	C-8 sterol isomerase activity
150	http://purl.obolibrary.org/obo/GO_0000248	C-5 sterol desaturase activity
151	http://purl.obolibrary.org/obo/GO_0000249	C-22 sterol desaturase (NADPH) activity
152	http://purl.obolibrary.org/obo/GO_0000250	lanosterol synthase activity
153	http://purl.obolibrary.org/obo/GO_0000252	3-beta-hydroxysteroid dehydrogenase [NAD(P)+]/C4-decarboxylase activity
154	http://purl.obolibrary.org/obo/GO_0000253	3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity
155	http://purl.obolibrary.org/obo/GO_0000254	C-4 methylsterol oxidase activity
156	http://purl.obolibrary.org/obo/GO_0000255	allantoin metabolic process
157	http://purl.obolibrary.org/obo/GO_0000256	allantoin catabolic process
158	http://purl.obolibrary.org/obo/GO_0000257	nitrilase activity
159	http://purl.obolibrary.org/obo/GO_0000262	mitochondrial chromosome
160	http://purl.obolibrary.org/obo/GO_0000266	mitochondrial fission
161	http://purl.obolibrary.org/obo/GO_0000268	peroxisome signal sequence receptor activity
162	http://purl.obolibrary.org/obo/GO_0000269	toxin export channel activity
163	http://purl.obolibrary.org/obo/GO_0000270	peptidoglycan metabolic process
164	http://purl.obolibrary.org/obo/GO_0000271	polysaccharide biosynthetic process
165	http://purl.obolibrary.org/obo/GO_0000272	polysaccharide catabolic process
166	http://purl.obolibrary.org/obo/GO_0000277	[cytochrome c]-lysine N-methyltransferase activity
167	http://purl.obolibrary.org/obo/GO_0000278	mitotic cell cycle
168	http://purl.obolibrary.org/obo/GO_0000279	M phase
169	http://purl.obolibrary.org/obo/GO_0000280	nuclear division
170	http://purl.obolibrary.org/obo/GO_0000281	mitotic cytokinesis
171	http://purl.obolibrary.org/obo/GO_0000282	cellular bud site selection
172	http://purl.obolibrary.org/obo/GO_0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
173	http://purl.obolibrary.org/obo/GO_0000286	L-alanine dehydrogenase (NAD+) activity
174	http://purl.obolibrary.org/obo/GO_0000287	magnesium ion binding
175	http://purl.obolibrary.org/obo/GO_0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
176	http://purl.obolibrary.org/obo/GO_0000289	nuclear-transcribed mRNA poly(A) tail shortening
177	http://purl.obolibrary.org/obo/GO_0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
178	http://purl.obolibrary.org/obo/GO_0000292	RNA fragment catabolic process
179	http://purl.obolibrary.org/obo/GO_0000293	ferric-chelate reductase activity
180	http://purl.obolibrary.org/obo/GO_0000294	nuclear-transcribed mRNA catabolic process, RNase MRP-dependent
181	http://purl.obolibrary.org/obo/GO_0000295	adenine nucleotide transmembrane transporter activity
182	http://purl.obolibrary.org/obo/GO_0000296	spermine transport
183	http://purl.obolibrary.org/obo/GO_0000297	spermine transmembrane transporter activity
184	http://purl.obolibrary.org/obo/GO_0000298	endopolyphosphatase activity
185	http://purl.obolibrary.org/obo/GO_0000301	retrograde transport, vesicle recycling within Golgi
186	http://purl.obolibrary.org/obo/GO_0000302	response to reactive oxygen species
187	http://purl.obolibrary.org/obo/GO_0000303	response to superoxide
188	http://purl.obolibrary.org/obo/GO_0000304	response to singlet oxygen
189	http://purl.obolibrary.org/obo/GO_0000305	response to oxygen radical
190	http://purl.obolibrary.org/obo/GO_0000307	cyclin-dependent protein kinase holoenzyme complex
191	http://purl.obolibrary.org/obo/GO_0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
192	http://purl.obolibrary.org/obo/GO_0000309	nicotinamide-nucleotide adenylyltransferase activity
193	http://purl.obolibrary.org/obo/GO_0000310	xanthine phosphoribosyltransferase activity
194	http://purl.obolibrary.org/obo/GO_0000311	plastid large ribosomal subunit
195	http://purl.obolibrary.org/obo/GO_0000312	plastid small ribosomal subunit
196	http://purl.obolibrary.org/obo/GO_0000313	organellar ribosome
197	http://purl.obolibrary.org/obo/GO_0000314	organellar small ribosomal subunit
