Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,EOG,ECG
0.685089,0.656708,0.721568,0.702983,0.741242,0.788028,0.782991,0.922524,0.864665,0.924143,0.714430,0.733227,0.771442,0.819434,0.770021,0.817516,0.696423,0.689644,0.724181,1.000000,0.701781,0.660455,0.745458,0.878607,0.710791,0.704532,0.756122,0.902061,0.742857,0.690102,0.696229,0.576161
0.780749,0.774372,0.872979,0.791440,0.918744,0.769927,0.820137,0.720748,0.643351,0.646345,0.873575,0.783502,0.689653,0.649578,0.857652,0.632871,0.814048,0.840258,0.747270,0.701781,1.000000,0.751319,0.882394,0.737950,0.896827,0.657668,0.854906,0.685766,0.604879,0.704776,0.792012,0.728342
0.709792,0.728015,0.773056,0.800690,0.727707,0.835032,0.732391,0.704168,0.580437,0.619806,0.746893,0.760411,0.590263,0.638949,0.778924,0.629454,0.802076,0.799136,0.751763,0.660455,0.751319,1.000000,0.786617,0.763290,0.740779,0.665020,0.780559,0.683777,0.595780,0.734936,0.736250,0.685063
0.740274,0.764359,0.830159,0.764244,0.924811,0.753824,0.926993,0.735352,0.708459,0.697630,0.845613,0.756000,0.726348,0.637667,0.969038,0.655466,0.770072,0.878617,0.928886,0.745458,0.882394,0.786617,1.000000,0.759076,0.891037,0.621921,0.970610,0.689273,0.665098,0.802024,0.808314,0.677508
0.727400,0.676512,0.740433,0.734786,0.746208,0.892364,0.753729,0.933337,0.756343,0.816001,0.732580,0.750371,0.688455,0.800860,0.760185,0.776130,0.726763,0.787924,0.692432,0.878607,0.737950,0.763290,0.759076,1.000000,0.721747,0.716373,0.751616,0.891038,0.660949,0.680810,0.703962,0.630344
0.828970,0.768077,0.895092,0.810622,0.935774,0.782417,0.862599,0.728932,0.663662,0.661226,0.970805,0.814964,0.758528,0.671200,0.906790,0.647606,0.806979,0.762346,0.800374,0.710791,0.896827,0.740779,0.891037,0.721747,1.000000,0.683721,0.912477,0.690620,0.658834,0.754612,0.891321,0.683911
0.672134,0.636435,0.718142,0.769496,0.657472,0.791404,0.633171,0.720836,0.596435,0.649211,0.703265,0.837900,0.604605,0.761031,0.648365,0.644792,0.675305,0.577517,0.581778,0.704532,0.657668,0.665020,0.621921,0.716373,0.683721,1.000000,0.650454,0.772036,0.614535,0.659550,0.685593,0.541063
0.781116,0.783730,0.856603,0.798984,0.900714,0.773414,0.934934,0.745472,0.717034,0.700175,0.881684,0.796060,0.739397,0.650933,0.993830,0.661241,0.798231,0.819839,0.926902,0.756122,0.854906,0.780559,0.970610,0.751616,0.912477,0.650454,1.000000,0.699794,0.708998,0.826083,0.851127,0.690889
0.702298,0.657943,0.729012,0.719778,0.697074,0.849897,0.709353,0.944108,0.751868,0.821185,0.713799,0.759723,0.695383,0.906807,0.708743,0.854075,0.696238,0.672260,0.644761,0.902061,0.685766,0.683777,0.689273,0.891038,0.690620,0.772036,0.699794,1.000000,0.678803,0.741587,0.705809,0.585835
0.615668,0.593807,0.618606,0.602059,0.631799,0.611757,0.663401,0.662456,0.690827,0.675469,0.641845,0.634897,0.789471,0.647013,0.700735,0.589362,0.629229,0.546616,0.700331,0.742857,0.604879,0.595780,0.665098,0.660949,0.658834,0.614535,0.708998,0.678803,1.000000,0.613956,0.670463,0.503327
0.701913,0.728514,0.778586,0.740727,0.735585,0.728768,0.791291,0.706942,0.618854,0.660091,0.756728,0.739892,0.626157,0.714190,0.825344,0.714130,0.732530,0.714284,0.822703,0.690102,0.704776,0.734936,0.802024,0.680810,0.754612,0.659550,0.826083,0.741587,0.613956,1.000000,0.759125,0.617217
0.836948,0.767887,0.826180,0.807748,0.816144,0.781477,0.789528,0.729874,0.617665,0.632452,0.897055,0.827959,0.701470,0.702703,0.844556,0.639670,0.790504,0.712807,0.751889,0.696229,0.792012,0.736250,0.808314,0.703962,0.891321,0.685593,0.851127,0.705809,0.670463,0.759125,1.000000,0.661912
0.718768,0.758456,0.723858,0.745818,0.643977,0.686419,0.605465,0.620750,0.464059,0.485878,0.710959,0.707516,0.485032,0.526658,0.681176,0.487583,0.788532,0.697957,0.598519,0.576161,0.728342,0.685063,0.677508,0.630344,0.683911,0.541063,0.690889,0.585835,0.503327,0.617217,0.661912,1.000000
