Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,EOG,ECG
1.000000,0.845259,0.837989,0.798800,0.755651,0.758389,0.676634,0.709759,0.527822,0.550668,0.870706,0.791032,0.604078,0.597336,0.746107,0.543249,0.817872,0.675875,0.629483,0.643625,0.779045,0.677614,0.724059,0.701168,0.817797,0.638330,0.755797,0.660923,0.586091,0.656652,0.830577,0.694680
0.845259,1.000000,0.787761,0.829854,0.715741,0.695886,0.662695,0.641341,0.480579,0.503372,0.774576,0.787790,0.538669,0.540925,0.747303,0.505274,0.885021,0.717442,0.651963,0.591601,0.775357,0.704704,0.754072,0.624453,0.750979,0.596498,0.761587,0.596208,0.548310,0.693897,0.745460,0.743586
0.837989,0.787761,1.000000,0.863492,0.857668,0.783619,0.775165,0.711824,0.585621,0.604093,0.936562,0.831325,0.659191,0.625479,0.845395,0.604513,0.846820,0.738762,0.716967,0.679874,0.883088,0.747554,0.823998,0.705171,0.910727,0.677314,0.847348,0.679661,0.589718,0.750439,0.824577,0.707313
0.798800,0.829854,0.863492,1.000000,0.755738,0.821408,0.691098,0.698069,0.532375,0.568377,0.830955,0.913854,0.577803,0.631136,0.764901,0.571033,0.887661,0.703342,0.646292,0.645184,0.801997,0.767162,0.749545,0.681123,0.806916,0.733562,0.774729,0.662570,0.546147,0.698283,0.793348,0.736325
0.755651,0.715741,0.857668,0.755738,1.000000,0.755855,0.908362,0.728749,0.686146,0.684036,0.884121,0.741764,0.762134,0.651902,0.909439,0.661576,0.749682,0.794447,0.811751,0.721457,0.908892,0.709454,0.917867,0.729354,0.935519,0.632580,0.895746,0.677368,0.604849,0.733345,0.797903,0.626911
0.758389,0.695886,0.783619,0.821408,0.755855,1.000000,0.712135,0.863057,0.633881,0.694125,0.788780,0.831246,0.615014,0.773250,0.744494,0.708411,0.749366,0.714754,0.638595,0.753362,0.748301,0.798564,0.728394,0.876203,0.769844,0.757266,0.743000,0.820279,0.562022,0.683708,0.764283,0.650700
0.676634,0.662695,0.775165,0.691098,0.908362,0.712135,1.000000,0.724976,0.768178,0.742673,0.806743,0.676968,0.783425,0.660364,0.951719,0.723986,0.692738,0.768302,0.913970,0.754072,0.791341,0.704881,0.914697,0.719934,0.847660,0.589643,0.924510,0.680310,0.632607,0.790936,0.752188,0.581273
0.709759,0.641341,0.711824,0.698069,0.728749,0.863057,0.724976,1.000000,0.760818,0.831278,0.715249,0.737555,0.683394,0.847523,0.717559,0.821723,0.674458,0.672947,0.649941,0.916964,0.691979,0.654544,0.703205,0.917978,0.702315,0.699459,0.705975,0.946161,0.627364,0.675696,0.702672,0.575606
0.527822,0.480579,0.585621,0.532375,0.686146,0.633881,0.768178,0.760818,1.000000,0.944984,0.603582,0.544605,0.825034,0.768094,0.698985,0.836695,0.525130,0.555023,0.687836,0.850636,0.591019,0.525776,0.664404,0.721706,0.624319,0.554663,0.672423,0.731830,0.655410,0.599852,0.568140,0.414309
0.550668,0.503372,0.604093,0.568377,0.684036,0.694125,0.742673,0.831278,0.944984,1.000000,0.614825,0.579275,0.788473,0.822160,0.681172,0.864124,0.545041,0.576712,0.669914,0.911817,0.596725,0.558961,0.656109,0.775607,0.629723,0.609681,0.658555,0.799839,0.643764,0.634247,0.590645,0.434711
