Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,EOG,ECG
1.000000,0.832757,0.815884,0.743339,0.725331,0.727905,0.655267,0.678013,0.509611,0.519886,0.857800,0.735256,0.555908,0.560749,0.721170,0.502114,0.754727,0.675613,0.605799,0.617692,0.730417,0.649921,0.695723,0.685344,0.799038,0.596144,0.728980,0.629375,0.548212,0.617025,0.783631,0.683886
0.832757,1.000000,0.758236,0.788151,0.677634,0.671737,0.635605,0.631792,0.463458,0.491027,0.736245,0.751811,0.484992,0.513502,0.717478,0.477446,0.828531,0.715463,0.622461,0.585509,0.748316,0.662324,0.717009,0.615420,0.705008,0.564207,0.725422,0.582153,0.516009,0.656460,0.693032,0.722924
0.815884,0.758236,1.000000,0.837622,0.843287,0.761525,0.763642,0.705116,0.568366,0.581339,0.933130,0.817555,0.613866,0.603187,0.834138,0.570094,0.829183,0.699385,0.691193,0.665282,0.829006,0.730996,0.805346,0.697295,0.903145,0.670417,0.836175,0.666888,0.556002,0.712721,0.780002,0.691382
0.743339,0.788151,0.837622,1.000000,0.737172,0.821361,0.672046,0.694174,0.513163,0.554027,0.806865,0.903589,0.532078,0.622468,0.745059,0.545640,0.871090,0.677745,0.614563,0.636444,0.772400,0.765665,0.724463,0.684925,0.781127,0.738996,0.754229,0.661689,0.509757,0.665861,0.746205,0.728284
0.725331,0.677634,0.843287,0.737172,1.000000,0.716994,0.887579,0.704305,0.659302,0.640192,0.864283,0.733068,0.717820,0.616454,0.888285,0.612733,0.740369,0.742205,0.775407,0.689576,0.883676,0.672823,0.902670,0.703085,0.920885,0.622137,0.875833,0.649237,0.574781,0.681850,0.784638,0.620555
0.727905,0.671737,0.761525,0.821361,0.716994,1.000000,0.673188,0.851877,0.597412,0.671006,0.760776,0.824522,0.549546,0.759312,0.707734,0.685752,0.734410,0.687649,0.598574,0.734998,0.722406,0.789750,0.692651,0.874970,0.740031,0.743404,0.708064,0.819318,0.510516,0.664743,0.730475,0.658591
0.655267,0.635605,0.763642,0.672046,0.887579,0.673188,1.000000,0.712014,0.768159,0.716792,0.785062,0.672548,0.746806,0.617060,0.951182,0.674097,0.690390,0.719216,0.904119,0.739717,0.749358,0.668234,0.909101,0.700122,0.825323,0.569015,0.924823,0.652322,0.620396,0.738457,0.744448,0.577355
0.678013,0.631792,0.705116,0.694174,0.704305,0.851877,0.712014,1.000000,0.750506,0.835691,0.698652,0.734126,0.628806,0.830520,0.711844,0.817683,0.678480,0.643666,0.637521,0.919923,0.675454,0.627207,0.692290,0.914689,0.686606,0.674326,0.702863,0.940333,0.586882,0.669257,0.681896,0.584226
0.509611,0.463458,0.568366,0.513163,0.659302,0.597412,0.768159,0.750506,1.000000,0.926171,0.575374,0.536035,0.784866,0.715567,0.701124,0.794654,0.522899,0.515956,0.682262,0.843288,0.552267,0.489359,0.660926,0.702743,0.596336,0.521807,0.676270,0.697409,0.634223,0.554095,0.551434,0.418523
0.519886,0.491027,0.581339,0.554027,0.640192,0.671006,0.716792,0.835691,0.926171,1.000000,0.575046,0.577275,0.713467,0.789681,0.658746,0.846726,0.538917,0.539873,0.646902,0.911715,0.561347,0.527267,0.633731,0.766329,0.588573,0.585850,0.638288,0.784719,0.591187,0.597349,0.567000,0.434308
