Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,EOG,ECG
0.669611,0.634063,0.693521,0.677991,0.741403,0.778836,0.755553,0.915763,0.858912,0.918329,0.699229,0.692406,0.710463,0.671311,0.738856,0.805884,0.667063,0.650296,0.692824,1.000000,0.676506,0.619858,0.724223,0.863391,0.704150,0.652439,0.724739,0.894009,0.684281,0.673537,0.665931,0.548332
0.790446,0.803618,0.897363,0.811411,0.922156,0.762393,0.807822,0.708994,0.624512,0.611117,0.879104,0.791504,0.667556,0.510473,0.850822,0.603258,0.834887,0.824549,0.724339,0.676506,1.000000,0.741062,0.871456,0.728364,0.902796,0.617832,0.848014,0.672906,0.593328,0.700045,0.784272,0.720818
0.683112,0.725408,0.762517,0.782265,0.724896,0.802331,0.730196,0.662589,0.565107,0.588359,0.749834,0.725792,0.566795,0.495520,0.769898,0.591125,0.788218,0.775688,0.741915,0.619858,0.741062,1.000000,0.778921,0.739410,0.739708,0.609019,0.771691,0.636975,0.563903,0.736123,0.683500,0.664532
0.740041,0.786884,0.841615,0.761015,0.923180,0.747659,0.927808,0.726600,0.707323,0.674518,0.849502,0.744736,0.696957,0.519455,0.971844,0.640101,0.774451,0.861702,0.918421,0.724223,0.871456,0.778921,1.000000,0.746803,0.891700,0.577229,0.973357,0.677983,0.644721,0.811415,0.782087,0.665368
0.745880,0.669745,0.728594,0.723668,0.755720,0.890125,0.735438,0.923626,0.741628,0.795311,0.735665,0.721937,0.652928,0.648461,0.742555,0.757979,0.710561,0.760251,0.674209,0.863391,0.728364,0.739410,0.746803,1.000000,0.727349,0.660498,0.732692,0.882845,0.624080,0.676212,0.690140,0.603744
0.814211,0.775086,0.913929,0.820242,0.940117,0.785597,0.855171,0.729072,0.661861,0.645731,0.964885,0.819245,0.734325,0.544200,0.903096,0.629729,0.811916,0.754820,0.775065,0.704150,0.902796,0.739708,0.891700,0.727349,1.000000,0.654807,0.909936,0.691470,0.652780,0.742352,0.848648,0.670103
0.616385,0.583138,0.685113,0.729856,0.633446,0.739109,0.588046,0.661814,0.553143,0.582409,0.676313,0.786706,0.554734,0.545959,0.596705,0.579598,0.629800,0.511029,0.518455,0.652439,0.617832,0.609019,0.577229,0.660498,0.654807,1.000000,0.597074,0.720040,0.549749,0.587836,0.628125,0.486970
0.762272,0.795426,0.861152,0.785594,0.905732,0.760338,0.932976,0.725549,0.709252,0.668758,0.876184,0.774545,0.707347,0.518747,0.993666,0.633082,0.793741,0.800260,0.913148,0.724739,0.848014,0.771691,0.973357,0.732692,0.909936,0.597074,1.000000,0.677775,0.680905,0.825633,0.800226,0.681098
0.684927,0.632373,0.703260,0.694163,0.709072,0.835789,0.690494,0.942773,0.740041,0.803426,0.705618,0.721358,0.648156,0.768760,0.687280,0.840325,0.669441,0.632350,0.618144,0.894009,0.672906,0.636975,0.677983,0.882845,0.691470,0.720040,0.677775,1.000000,0.635478,0.716609,0.678061,0.550193
0.589026,0.578366,0.600669,0.560240,0.631154,0.574769,0.637329,0.620320,0.641990,0.608473,0.626704,0.596045,0.732762,0.481236,0.673304,0.529943,0.599098,0.507467,0.672483,0.684281,0.593328,0.563903,0.644721,0.624080,0.652780,0.549749,0.680905,0.635478,1.000000,0.582544,0.608936,0.479079
0.671325,0.726830,0.760011,0.714176,0.740637,0.710386,0.785238,0.695793,0.620433,0.645825,0.742401,0.693911,0.589115,0.590123,0.824114,0.692943,0.724629,0.704372,0.815967,0.673537,0.700045,0.736123,0.811415,0.676212,0.742352,0.587836,0.825633,0.716609,0.582544,1.000000,0.709298,0.608395
0.793897,0.742594,0.794096,0.764024,0.799615,0.746011,0.750656,0.704140,0.594384,0.602264,0.844337,0.786665,0.644952,0.553967,0.794192,0.603035,0.740249,0.698206,0.693271,0.665931,0.784272,0.683500,0.782087,0.690140,0.848648,0.628125,0.800226,0.678061,0.608936,0.709298,1.000000,0.619062
0.697780,0.744373,0.713024,0.734279,0.640811,0.664023,0.596317,0.591412,0.452321,0.456420,0.688748,0.686113,0.449833,0.375187,0.674311,0.449904,0.772017,0.684061,0.584025,0.548332,0.720818,0.664532,0.665368,0.603744,0.670103,0.486970,0.681098,0.550193,0.479079,0.608395,0.619062,1.000000
