Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,EOG,ECG
1.000000,0.803768,0.795068,0.745380,0.736071,0.753529,0.675113,0.697665,0.535772,0.539643,0.845266,0.726168,0.545506,0.563486,0.730456,0.529683,0.744076,0.669574,0.621535,0.635895,0.739752,0.671154,0.702234,0.700585,0.794623,0.612454,0.734478,0.656841,0.524564,0.614407,0.772066,0.707237
0.803768,1.000000,0.740259,0.793335,0.672500,0.700317,0.644499,0.656931,0.505338,0.527504,0.715689,0.732868,0.484948,0.506385,0.717992,0.494971,0.840941,0.709219,0.639430,0.621321,0.741670,0.681457,0.715927,0.649423,0.689329,0.565344,0.724059,0.607339,0.518432,0.660867,0.673969,0.751711
0.795068,0.740259,1.000000,0.849220,0.846369,0.776018,0.773885,0.705436,0.588585,0.585861,0.929927,0.823664,0.605529,0.591420,0.836259,0.573267,0.819617,0.708764,0.704554,0.671906,0.837489,0.748880,0.810178,0.707051,0.898775,0.686112,0.838224,0.681474,0.545445,0.710087,0.761189,0.708414
0.745380,0.793335,0.849220,1.000000,0.738921,0.832290,0.684377,0.704293,0.530517,0.563118,0.810667,0.889537,0.514868,0.605370,0.751582,0.556341,0.864043,0.681471,0.636831,0.647236,0.775591,0.780689,0.733190,0.702878,0.782062,0.744852,0.759250,0.680404,0.502574,0.671440,0.720543,0.728408
0.736071,0.672500,0.846369,0.738921,1.000000,0.731685,0.902604,0.719832,0.689907,0.650646,0.880479,0.729048,0.714331,0.608855,0.898374,0.617573,0.724283,0.751528,0.793575,0.710147,0.892534,0.681212,0.903762,0.724744,0.929118,0.640037,0.884997,0.676035,0.582034,0.665284,0.780625,0.633071
0.753529,0.700317,0.776018,0.832290,0.731685,1.000000,0.694441,0.860978,0.615954,0.692688,0.778845,0.829784,0.533739,0.746733,0.730592,0.706793,0.742882,0.700144,0.634894,0.752991,0.731176,0.802145,0.714370,0.884328,0.754433,0.759637,0.731112,0.838040,0.512462,0.697634,0.730149,0.668921
0.675113,0.644499,0.773885,0.684377,0.902604,0.694441,1.000000,0.732870,0.782355,0.717123,0.818461,0.672222,0.738610,0.603437,0.957386,0.661553,0.690397,0.736609,0.914778,0.756975,0.774713,0.670536,0.921994,0.728440,0.856949,0.586816,0.933888,0.681968,0.613062,0.717996,0.746408,0.597380
0.697665,0.656931,0.705436,0.704293,0.719832,0.860978,0.732870,1.000000,0.756909,0.844482,0.711634,0.726881,0.591119,0.812531,0.738230,0.823223,0.672248,0.657808,0.672833,0.924607,0.673032,0.640434,0.716693,0.922035,0.700218,0.674000,0.730349,0.947983,0.568181,0.709596,0.679292,0.605735
0.535772,0.505338,0.588585,0.530517,0.689907,0.615954,0.782355,0.756909,1.000000,0.908601,0.614138,0.531069,0.786475,0.652988,0.730940,0.745552,0.545374,0.548894,0.701720,0.843398,0.580114,0.504656,0.696240,0.726760,0.635491,0.508371,0.708906,0.698923,0.648954,0.588456,0.553636,0.454468
0.539643,0.527504,0.585861,0.563118,0.650646,0.692688,0.717123,0.844482,0.908601,1.000000,0.595904,0.567273,0.663795,0.754722,0.677298,0.831612,0.543933,0.561643,0.655101,0.913844,0.567179,0.538649,0.654017,0.789801,0.609794,0.574943,0.659764,0.792692,0.573071,0.626719,0.558748,0.471361
