Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,EOG,ECG
1.000000,0.863090,0.844333,0.819024,0.781999,0.793015,0.699679,0.735097,0.552638,0.576161,0.875073,0.807388,0.610091,0.638488,0.763581,0.577853,0.831643,0.702705,0.659560,0.670678,0.803545,0.688452,0.748651,0.737946,0.828120,0.661367,0.772989,0.700412,0.605499,0.685797,0.836887,0.720997
0.863090,1.000000,0.808438,0.849911,0.754343,0.733277,0.702092,0.680912,0.533366,0.550177,0.802467,0.807860,0.573842,0.582606,0.783136,0.542862,0.894524,0.734754,0.701594,0.640602,0.798050,0.716459,0.787428,0.672105,0.778995,0.618309,0.795531,0.637276,0.593548,0.719622,0.773667,0.764508
0.844333,0.808438,1.000000,0.876602,0.871580,0.800285,0.782510,0.723836,0.600855,0.617790,0.936949,0.844967,0.659979,0.660209,0.848563,0.617817,0.856277,0.747005,0.727440,0.694550,0.886587,0.751399,0.830167,0.722475,0.912592,0.706565,0.851116,0.700712,0.603455,0.759008,0.832997,0.710561
0.819024,0.849911,0.876602,1.000000,0.779686,0.842374,0.714367,0.720815,0.564512,0.598799,0.851027,0.912599,0.600029,0.664515,0.784663,0.599562,0.892770,0.713460,0.676298,0.674916,0.811719,0.776919,0.767497,0.708246,0.825845,0.750502,0.792927,0.692603,0.578185,0.724110,0.812978,0.745907
0.781999,0.754343,0.871580,0.779686,1.000000,0.762959,0.913334,0.740546,0.701184,0.699110,0.899164,0.763889,0.770447,0.675537,0.912283,0.675127,0.776203,0.804729,0.814971,0.737153,0.918233,0.712361,0.919547,0.747350,0.941973,0.660274,0.900024,0.695118,0.623366,0.754377,0.820585,0.644630
0.793015,0.733277,0.800285,0.842374,0.762959,1.000000,0.716510,0.865831,0.639028,0.700802,0.805191,0.830887,0.618548,0.783689,0.754927,0.721847,0.774311,0.734953,0.652118,0.760061,0.763357,0.807603,0.741138,0.878587,0.782246,0.759586,0.756730,0.831622,0.583401,0.711224,0.785799,0.669919
0.699679,0.702092,0.782510,0.714367,0.913334,0.716510,1.000000,0.730377,0.777715,0.751570,0.810612,0.694334,0.787166,0.672876,0.953123,0.723863,0.720247,0.780836,0.912281,0.760929,0.797146,0.701561,0.919821,0.731913,0.852505,0.608287,0.928380,0.687968,0.644420,0.804392,0.765766,0.595127
0.735097,0.680912,0.723836,0.720815,0.740546,0.865831,0.730377,1.000000,0.765847,0.835129,0.729163,0.743289,0.684013,0.848930,0.730071,0.834309,0.703864,0.697651,0.662695,0.917957,0.708591,0.657995,0.723924,0.929769,0.717307,0.697681,0.723916,0.943135,0.642147,0.691973,0.720548,0.599003
0.552638,0.533366,0.600855,0.564512,0.701184,0.639028,0.777715,0.765847,1.000000,0.946876,0.615307,0.568360,0.829526,0.778407,0.711841,0.840650,0.560360,0.575679,0.696748,0.857321,0.604685,0.527129,0.682517,0.732333,0.638251,0.569194,0.689899,0.735459,0.664349,0.619903,0.588711,0.435653
0.576161,0.550177,0.617790,0.598799,0.699110,0.700802,0.751570,0.835129,0.946876,1.000000,0.626413,0.599361,0.797802,0.828641,0.692180,0.871213,0.582588,0.600097,0.681298,0.915255,0.614469,0.563519,0.676942,0.789765,0.643001,0.618831,0.673907,0.801757,0.654652,0.655054,0.614084,0.457588
0.875073,0.802467,0.936949,0.851027,0.899164,0.805191,0.810612,0.729163,0.615307,0.626413,1.000000,0.833483,0.712275,0.669960,0.869554,0.622963,0.833332,0.745170,0.745862,0.694961,0.879139,0.736108,0.844709,0.724091,0.973620,0.699380,0.874164,0.698803,0.632225,0.752153,0.899674,0.699291
0.807388,0.807860,0.844967,0.912599,0.763889,0.830887,0.694334,0.743289,0.568360,0.599361,0.833483,1.000000,0.610963,0.719395,0.760276,0.603576,0.821268,0.684203,0.650949,0.695414,0.786309,0.729096,0.743653,0.723216,0.811983,0.816915,0.771211,0.726375,0.604464,0.706076,0.819554,0.700143
0.610091,0.573842,0.659979,0.600029,0.770447,0.618548,0.787166,0.684013,0.829526,0.797802,0.712275,0.610963,1.000000,0.730444,0.736194,0.717453,0.610657,0.569728,0.709788,0.763674,0.666229,0.569010,0.702952,0.675202,0.744292,0.598987,0.716802,0.689609,0.781928,0.636717,0.675299,0.470793
0.638488,0.582606,0.660209,0.664515,0.675537,0.783689,0.672876,0.848930,0.778407,0.828641,0.669960,0.719395,0.730444,1.000000,0.642575,0.865183,0.628414,0.586583,0.584467,0.826005,0.635452,0.603432,0.622450,0.794130,0.663188,0.751159,0.632069,0.904844,0.637689,0.700959,0.692942,0.504171
0.763581,0.783136,0.848563,0.784663,0.912283,0.754927,0.953123,0.730071,0.711841,0.692180,0.869554,0.760276,0.736194,0.642575,1.000000,0.653428,0.792276,0.818153,0.927976,0.741096,0.838359,0.754884,0.968404,0.736454,0.900790,0.622719,0.993529,0.683887,0.677524,0.838248,0.828327,0.675771
0.577853,0.542862,0.617817,0.599562,0.675127,0.721847,0.723863,0.834309,0.840650,0.871213,0.622963,0.603576,0.717453,0.865183,0.653428,1.000000,0.580213,0.597776,0.621924,0.806919,0.605436,0.580323,0.635394,0.760798,0.628151,0.615367,0.632909,0.844013,0.567280,0.702891,0.620027,0.460714
0.831643,0.894524,0.856277,0.892770,0.776203,0.774311,0.720247,0.703864,0.560360,0.582588,0.833332,0.821268,0.610657,0.628414,0.792276,0.580213,1.000000,0.718060,0.691770,0.670091,0.826797,0.771000,0.772481,0.702297,0.809240,0.653949,0.794128,0.673897,0.619090,0.725997,0.791542,0.795294
0.702705,0.734754,0.747005,0.713460,0.804729,0.734953,0.780836,0.697651,0.575679,0.600097,0.745170,0.684203,0.569728,0.586583,0.818153,0.597776,0.718060,1.000000,0.768192,0.651296,0.829430,0.789225,0.878154,0.771829,0.759222,0.554183,0.813621,0.637775,0.511125,0.721463,0.715214,0.691511
0.659560,0.701594,0.727440,0.676298,0.814971,0.652118,0.912281,0.662695,0.696748,0.681298,0.745862,0.650949,0.709788,0.584467,0.927976,0.621924,0.691770,0.768192,1.000000,0.712324,0.720114,0.728201,0.922194,0.671642,0.788847,0.559049,0.921924,0.626986,0.695091,0.833488,0.738434,0.593408
0.670678,0.640602,0.694550,0.674916,0.737153,0.760061,0.760929,0.917957,0.857321,0.915255,0.694961,0.695414,0.763674,0.826005,0.741096,0.806919,0.670091,0.651296,0.712324,1.000000,0.677566,0.606870,0.726977,0.860691,0.696179,0.685521,0.729844,0.896739,0.725525,0.677847,0.681447,0.554026
0.803545,0.798050,0.886587,0.811719,0.918233,0.763357,0.797146,0.708591,0.604685,0.614469,0.879139,0.786309,0.666229,0.635452,0.838359,0.605436,0.826797,0.829430,0.720114,0.677566,1.000000,0.729177,0.861792,0.728977,0.894784,0.653952,0.834337,0.665278,0.578058,0.693179,0.792469,0.729534
0.688452,0.716459,0.751399,0.776919,0.712361,0.807603,0.701561,0.657995,0.527129,0.563519,0.736108,0.729096,0.569010,0.603432,0.754884,0.580323,0.771000,0.789225,0.728201,0.606870,0.729177,1.000000,0.768735,0.719689,0.730565,0.631087,0.759562,0.636884,0.566540,0.726555,0.728751,0.674936
0.748651,0.787428,0.830167,0.767497,0.919547,0.741138,0.919821,0.723924,0.682517,0.676942,0.844709,0.743653,0.702952,0.622450,0.968404,0.635394,0.772481,0.878154,0.922194,0.726977,0.861792,0.768735,1.000000,0.747690,0.885932,0.606134,0.970577,0.671236,0.644951,0.818857,0.808780,0.674624
0.737946,0.672105,0.722475,0.708246,0.747350,0.878587,0.731913,0.929769,0.732333,0.789765,0.724091,0.723216,0.675202,0.794130,0.736454,0.760798,0.702297,0.771829,0.671642,0.860691,0.728977,0.719689,0.747690,1.000000,0.714234,0.694347,0.727799,0.883049,0.635846,0.668141,0.699020,0.610200
0.828120,0.778995,0.912592,0.825845,0.941973,0.782246,0.852505,0.717307,0.638251,0.643001,0.973620,0.811983,0.744292,0.663188,0.900790,0.628151,0.809240,0.759222,0.788847,0.696179,0.894784,0.730565,0.885932,0.714234,1.000000,0.681807,0.906032,0.680911,0.648860,0.759185,0.890746,0.673685
0.661367,0.618309,0.706565,0.750502,0.660274,0.759586,0.608287,0.697681,0.569194,0.618831,0.699380,0.816915,0.598987,0.751159,0.622719,0.615367,0.653949,0.554183,0.559049,0.685521,0.653952,0.631087,0.606134,0.694347,0.681807,1.000000,0.626157,0.751207,0.595446,0.617082,0.676187,0.528936
0.772989,0.795531,0.851116,0.792927,0.900024,0.756730,0.928380,0.723916,0.689899,0.673907,0.874164,0.771211,0.716802,0.632069,0.993529,0.632909,0.794128,0.813621,0.921924,0.729844,0.834337,0.759562,0.970577,0.727799,0.906032,0.626157,1.000000,0.676909,0.686687,0.837096,0.839515,0.684376
0.700412,0.637276,0.700712,0.692603,0.695118,0.831622,0.687968,0.943135,0.735459,0.801757,0.698803,0.726375,0.689609,0.904844,0.683887,0.844013,0.673897,0.637775,0.626986,0.896739,0.665278,0.636884,0.671236,0.883049,0.680911,0.751207,0.676909,1.000000,0.667065,0.715316,0.697443,0.562078
0.605499,0.593548,0.603455,0.578185,0.623366,0.583401,0.644420,0.642147,0.664349,0.654652,0.632225,0.604464,0.781928,0.637689,0.677524,0.567280,0.619090,0.511125,0.695091,0.725525,0.578058,0.566540,0.644951,0.635846,0.648860,0.595446,0.686687,0.667065,1.000000,0.604914,0.644170,0.495627
0.685797,0.719622,0.759008,0.724110,0.754377,0.711224,0.804392,0.691973,0.619903,0.655054,0.752153,0.706076,0.636717,0.700959,0.838248,0.702891,0.725997,0.721463,0.833488,0.677847,0.693179,0.726555,0.818857,0.668141,0.759185,0.617082,0.837096,0.715316,0.604914,1.000000,0.764856,0.614987
0.836887,0.773667,0.832997,0.812978,0.820585,0.785799,0.765766,0.720548,0.588711,0.614084,0.899674,0.819554,0.675299,0.692942,0.828327,0.620027,0.791542,0.715214,0.738434,0.681447,0.792469,0.728751,0.808780,0.699020,0.890746,0.676187,0.839515,0.697443,0.644170,0.764856,1.000000,0.656377
0.720997,0.764508,0.710561,0.745907,0.644630,0.669919,0.595127,0.599003,0.435653,0.457588,0.699291,0.700143,0.470793,0.504171,0.675771,0.460714,0.795294,0.691511,0.593408,0.554026,0.729534,0.674936,0.674624,0.610200,0.673685,0.528936,0.684376,0.562078,0.495627,0.614987,0.656377,1.000000
