Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,EOG,ECG
1.000000,0.824537,0.839706,0.791260,0.768795,0.790768,0.708478,0.740760,0.566663,0.585209,0.874247,0.779699,0.559649,0.564352,0.769068,0.573494,0.800129,0.695768,0.640230,0.678373,0.798142,0.683578,0.745268,0.737346,0.814855,0.621508,0.774933,0.696939,0.569078,0.675739,0.806729,0.702616
0.824537,1.000000,0.803803,0.815553,0.721402,0.727033,0.683824,0.669229,0.536139,0.529223,0.763506,0.759100,0.487576,0.496576,0.757622,0.528267,0.904737,0.718199,0.672210,0.624192,0.779913,0.728304,0.759554,0.672285,0.739226,0.568252,0.765367,0.625098,0.539929,0.707620,0.704897,0.756837
0.839706,0.803803,1.000000,0.871427,0.871134,0.818615,0.797168,0.735103,0.633281,0.619868,0.919220,0.852757,0.609119,0.562903,0.858928,0.595527,0.840026,0.752986,0.720426,0.705780,0.901740,0.767674,0.844394,0.752604,0.904672,0.686969,0.861689,0.694165,0.572995,0.711446,0.787323,0.708864
0.791260,0.815553,0.871427,1.000000,0.762270,0.861008,0.719993,0.734964,0.582664,0.603482,0.827017,0.891036,0.530093,0.578427,0.784351,0.593438,0.868596,0.713089,0.661544,0.687208,0.805893,0.793496,0.773840,0.734489,0.800430,0.717328,0.793072,0.701819,0.529918,0.695063,0.758429,0.728943
0.768795,0.721402,0.871134,0.762270,1.000000,0.771324,0.885402,0.732369,0.723994,0.676696,0.862461,0.764591,0.709217,0.584950,0.884816,0.638495,0.758558,0.764158,0.772745,0.725430,0.911989,0.709308,0.900009,0.750767,0.924127,0.636912,0.873252,0.683566,0.602612,0.673831,0.748867,0.626125
0.790768,0.727033,0.818615,0.861008,0.771324,1.000000,0.730567,0.867535,0.667531,0.718576,0.807124,0.832170,0.561470,0.675470,0.769485,0.719572,0.774805,0.729103,0.651984,0.778318,0.773483,0.798132,0.760716,0.884478,0.794069,0.726768,0.773015,0.828394,0.553876,0.707940,0.746657,0.665366
0.708478,0.683824,0.797168,0.719993,0.885402,0.730567,1.000000,0.716248,0.784994,0.701453,0.828246,0.723351,0.724317,0.590525,0.955747,0.678406,0.725368,0.748779,0.909717,0.724448,0.801901,0.721118,0.913563,0.732401,0.852875,0.595798,0.932369,0.677614,0.619321,0.736588,0.752839,0.595626
0.740760,0.669229,0.735103,0.734964,0.732369,0.867535,0.716248,1.000000,0.752331,0.835726,0.725003,0.744609,0.601810,0.743095,0.728124,0.829524,0.708492,0.682511,0.633994,0.913916,0.699681,0.652912,0.710336,0.917888,0.723521,0.663923,0.723189,0.939588,0.611674,0.700476,0.694040,0.596699
0.566663,0.536139,0.633281,0.582664,0.723994,0.667531,0.784994,0.752331,1.000000,0.899831,0.626439,0.592183,0.746788,0.645210,0.721083,0.794386,0.587173,0.573460,0.688198,0.835962,0.630370,0.566420,0.700110,0.748396,0.664651,0.550359,0.700112,0.712536,0.638324,0.574244,0.561630,0.457388
0.585209,0.529223,0.619868,0.603482,0.676696,0.718576,0.701453,0.835726,0.899831,1.000000,0.608398,0.593867,0.660422,0.694620,0.654860,0.862196,0.571961,0.595142,0.608532,0.918896,0.595834,0.588229,0.648054,0.797097,0.633252,0.586031,0.639717,0.793305,0.576578,0.616120,0.576237,0.457523
0.874247,0.763506,0.919220,0.827017,0.862461,0.807124,0.828246,0.725003,0.626439,0.608398,1.000000,0.852495,0.661989,0.591040,0.880057,0.599250,0.789964,0.736144,0.740797,0.681227,0.865051,0.738292,0.845297,0.733398,0.940481,0.684601,0.882232,0.689643,0.597235,0.706754,0.871449,0.675933
0.779699,0.759100,0.852757,0.891036,0.764591,0.832170,0.723351,0.744609,0.592183,0.593867,0.852495,1.000000,0.591534,0.641763,0.789423,0.596879,0.780220,0.675982,0.658536,0.688563,0.788832,0.717501,0.758472,0.730541,0.827302,0.791153,0.798246,0.734622,0.590787,0.673793,0.809406,0.675713
0.559649,0.487576,0.609119,0.530093,0.709217,0.561470,0.724317,0.601810,0.746788,0.660422,0.661989,0.591534,1.000000,0.577082,0.678827,0.605744,0.529403,0.490182,0.640122,0.644209,0.603262,0.507183,0.634348,0.605020,0.692527,0.543855,0.657559,0.601756,0.746678,0.499699,0.608481,0.396375
0.564352,0.496576,0.562903,0.578427,0.584950,0.675470,0.590525,0.743095,0.645210,0.694620,0.591040,0.641763,0.577082,1.000000,0.572276,0.781616,0.543144,0.496511,0.502386,0.688578,0.539749,0.518950,0.538659,0.678300,0.592755,0.619230,0.561907,0.822549,0.540308,0.635356,0.639973,0.422386
0.769068,0.757622,0.858928,0.784351,0.884816,0.769485,0.955747,0.728124,0.721083,0.654860,0.880057,0.789423,0.678827,0.572276,1.000000,0.631390,0.789484,0.788019,0.926529,0.714214,0.841425,0.772721,0.958642,0.745274,0.897590,0.608164,0.994232,0.685793,0.653599,0.781894,0.808368,0.675871
0.573494,0.528267,0.595527,0.593438,0.638495,0.719572,0.678406,0.829524,0.794386,0.862196,0.599250,0.596879,0.605744,0.781616,0.631390,1.000000,0.572897,0.568322,0.572109,0.783008,0.572312,0.576683,0.606808,0.744922,0.614361,0.580204,0.614537,0.845860,0.527268,0.702991,0.600817,0.446802
0.800129,0.904737,0.840026,0.868596,0.758558,0.774805,0.725368,0.708492,0.587173,0.571961,0.789964,0.780220,0.529403,0.543144,0.789484,0.572897,1.000000,0.726885,0.685188,0.668364,0.827669,0.795934,0.775091,0.725378,0.771533,0.594304,0.789606,0.669461,0.570756,0.718910,0.717228,0.790169
0.695768,0.718199,0.752986,0.713089,0.764158,0.729103,0.748779,0.682511,0.573460,0.595142,0.736144,0.675982,0.490182,0.496511,0.788019,0.568322,0.726885,1.000000,0.731583,0.652143,0.809067,0.784336,0.851520,0.770605,0.736370,0.513687,0.786793,0.622692,0.479080,0.690496,0.680704,0.707268
0.640230,0.672210,0.720426,0.661544,0.772745,0.651984,0.909717,0.633994,0.688198,0.608532,0.740797,0.658536,0.640122,0.502386,0.926529,0.572109,0.685188,0.731583,1.000000,0.653262,0.711745,0.735999,0.907791,0.665241,0.768444,0.521802,0.919182,0.603485,0.662440,0.760406,0.703893,0.593817
0.678373,0.624192,0.705780,0.687208,0.725430,0.778318,0.724448,0.913916,0.835962,0.918896,0.681227,0.688563,0.644209,0.688578,0.714214,0.783008,0.668364,0.652143,0.653262,1.000000,0.670746,0.626800,0.708530,0.866831,0.690237,0.647629,0.705264,0.872945,0.641737,0.647461,0.635249,0.560712
0.798142,0.779913,0.901740,0.805893,0.911989,0.773483,0.801901,0.699681,0.630370,0.595834,0.865051,0.788832,0.603262,0.539749,0.841425,0.572312,0.827669,0.809067,0.711745,0.670746,1.000000,0.750310,0.862939,0.730942,0.887242,0.626175,0.838011,0.652847,0.560039,0.662474,0.749447,0.730588
0.683578,0.728304,0.767674,0.793496,0.709308,0.798132,0.721118,0.652912,0.566420,0.588229,0.738292,0.717501,0.507183,0.518950,0.772721,0.576683,0.795934,0.784336,0.735999,0.626800,0.750310,1.000000,0.792006,0.734524,0.725587,0.579448,0.779267,0.620728,0.529394,0.718472,0.687567,0.680104
0.745268,0.759554,0.844394,0.773840,0.900009,0.760716,0.913563,0.710336,0.700110,0.648054,0.845297,0.758472,0.634348,0.538659,0.958642,0.606808,0.775091,0.851520,0.907791,0.708530,0.862939,0.792006,1.000000,0.752801,0.874923,0.587880,0.962324,0.659662,0.610158,0.762414,0.764649,0.675824
0.737346,0.672285,0.752604,0.734489,0.750767,0.884478,0.732401,0.917888,0.748396,0.797097,0.733398,0.730541,0.605020,0.678300,0.745274,0.744922,0.725378,0.770605,0.665241,0.866831,0.730942,0.734524,0.752801,1.000000,0.730962,0.653286,0.738333,0.861717,0.607284,0.666708,0.671151,0.616114
0.814855,0.739226,0.904672,0.800430,0.924127,0.794069,0.852875,0.723521,0.664651,0.633252,0.940481,0.827302,0.692527,0.592755,0.897590,0.614361,0.771533,0.736370,0.768444,0.690237,0.887242,0.725587,0.874923,0.730962,1.000000,0.666438,0.900480,0.684159,0.629926,0.690027,0.832811,0.648915
0.621508,0.568252,0.686969,0.717328,0.636912,0.726768,0.595798,0.663923,0.550359,0.586031,0.684601,0.791153,0.543855,0.619230,0.608164,0.580204,0.594304,0.513687,0.521802,0.647629,0.626175,0.579448,0.587880,0.653286,0.666438,1.000000,0.609185,0.724432,0.519879,0.565809,0.649185,0.479120
0.774933,0.765367,0.861689,0.793072,0.873252,0.773015,0.932369,0.723189,0.700112,0.639717,0.882232,0.798246,0.657559,0.561907,0.994232,0.614537,0.789606,0.786793,0.919182,0.705264,0.838011,0.779267,0.962324,0.738333,0.900480,0.609185,1.000000,0.678468,0.658341,0.783473,0.812749,0.684367
0.696939,0.625098,0.694165,0.701819,0.683566,0.828394,0.677614,0.939588,0.712536,0.793305,0.689643,0.734622,0.601756,0.822549,0.685793,0.845860,0.669461,0.622692,0.603485,0.872945,0.652847,0.620728,0.659662,0.861717,0.684159,0.724432,0.678468,1.000000,0.621564,0.732095,0.693064,0.557454
0.569078,0.539929,0.572995,0.529918,0.602612,0.553876,0.619321,0.611674,0.638324,0.576578,0.597235,0.590787,0.746678,0.540308,0.653599,0.527268,0.570756,0.479080,0.662440,0.641737,0.560039,0.529394,0.610158,0.607284,0.629926,0.519879,0.658341,0.621564,1.000000,0.552462,0.612562,0.463255
0.675739,0.707620,0.711446,0.695063,0.673831,0.707940,0.736588,0.700476,0.574244,0.616120,0.706754,0.673793,0.499699,0.635356,0.781894,0.702991,0.718910,0.690496,0.760406,0.647461,0.662474,0.718472,0.762414,0.666708,0.690027,0.565809,0.783473,0.732095,0.552462,1.000000,0.711982,0.606329
0.806729,0.704897,0.787323,0.758429,0.748867,0.746657,0.752839,0.694040,0.561630,0.576237,0.871449,0.809406,0.608481,0.639973,0.808368,0.600817,0.717228,0.680704,0.703893,0.635249,0.749447,0.687567,0.764649,0.671151,0.832811,0.649185,0.812749,0.693064,0.612562,0.711982,1.000000,0.627080
0.702616,0.756837,0.708864,0.728943,0.626125,0.665366,0.595626,0.596699,0.457388,0.457523,0.675933,0.675713,0.396375,0.422386,0.675871,0.446802,0.790169,0.707268,0.593817,0.560712,0.730588,0.680104,0.675824,0.616114,0.648915,0.479120,0.684367,0.557454,0.463255,0.606329,0.627080,1.000000
