Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,EOG,ECG
1.000000,0.865316,0.853978,0.808260,0.792685,0.786232,0.704191,0.745324,0.575871,0.599238,0.887968,0.804284,0.632044,0.653485,0.764802,0.587921,0.827003,0.711156,0.652800,0.683904,0.815568,0.690959,0.750146,0.740608,0.840913,0.675124,0.772155,0.704557,0.608027,0.682263,0.845954,0.713696
0.865316,1.000000,0.817465,0.846604,0.744137,0.739364,0.692480,0.676083,0.533206,0.550454,0.801765,0.808739,0.572268,0.596884,0.767884,0.543714,0.910922,0.729865,0.681746,0.629678,0.798904,0.735890,0.763577,0.669507,0.777275,0.640081,0.777508,0.636596,0.580669,0.713968,0.775345,0.763288
0.853978,0.817465,1.000000,0.891355,0.886735,0.825303,0.802365,0.751337,0.632152,0.647902,0.945974,0.872774,0.689189,0.695906,0.861737,0.647645,0.853676,0.776949,0.735107,0.712271,0.901096,0.772315,0.847471,0.754641,0.922594,0.740194,0.862841,0.731448,0.611922,0.769816,0.852153,0.717749
0.808260,0.846604,0.891355,1.000000,0.793904,0.862497,0.731869,0.732928,0.582875,0.616718,0.856919,0.926339,0.615967,0.690911,0.797518,0.615791,0.889169,0.755484,0.687209,0.678554,0.822041,0.816537,0.786878,0.735888,0.838068,0.778871,0.805936,0.708813,0.568551,0.737802,0.819139,0.748281
0.792685,0.744137,0.886735,0.793904,1.000000,0.791964,0.919913,0.762041,0.726172,0.720922,0.915036,0.790025,0.791604,0.712865,0.920588,0.693474,0.773073,0.808362,0.815754,0.755522,0.913919,0.722905,0.922637,0.769050,0.951173,0.708835,0.908701,0.724606,0.638734,0.756952,0.837000,0.651571
0.786232,0.739364,0.825303,0.862497,0.791964,1.000000,0.749992,0.876902,0.663267,0.725126,0.828295,0.862216,0.637784,0.798834,0.785619,0.735982,0.785679,0.766801,0.678629,0.771444,0.790205,0.821939,0.772582,0.892421,0.811458,0.788876,0.786959,0.836972,0.576726,0.729413,0.797367,0.692496
0.704191,0.692480,0.802365,0.731869,0.919913,0.749992,1.000000,0.750667,0.799992,0.772957,0.829083,0.732190,0.801286,0.712551,0.957424,0.738292,0.715726,0.788332,0.914993,0.779770,0.801273,0.710001,0.927033,0.757692,0.864957,0.671435,0.932929,0.719285,0.645984,0.811681,0.785968,0.601002
0.745324,0.676083,0.751337,0.732928,0.762041,0.876902,0.750667,1.000000,0.781200,0.850678,0.760379,0.770094,0.699414,0.866516,0.748794,0.842949,0.709593,0.711247,0.673900,0.923701,0.726607,0.675147,0.735256,0.933729,0.743741,0.734548,0.740031,0.946617,0.643675,0.711973,0.737803,0.610986
0.575871,0.533206,0.632152,0.582875,0.726172,0.663267,0.799992,0.781200,1.000000,0.949071,0.650342,0.606137,0.839954,0.798645,0.738314,0.850805,0.568677,0.603139,0.716752,0.871758,0.625687,0.542607,0.708399,0.749768,0.669089,0.619943,0.713361,0.757328,0.673477,0.644335,0.621764,0.460334
0.599238,0.550454,0.647902,0.616718,0.720922,0.725126,0.772957,0.850678,0.949071,1.000000,0.661763,0.634773,0.803081,0.842099,0.715864,0.886522,0.589219,0.625483,0.697815,0.923700,0.633433,0.579527,0.697849,0.807575,0.672970,0.662911,0.693974,0.819748,0.651799,0.675095,0.638737,0.481203
