null	N	n_dip_sig_p05	p_combined_dip	n_spike_sig_p05	p_combined_spike	chi2_dip	chi2_spike	df
iid	24	1	0.4465496369567184	3	0.01222682498113912	48.653050093306334	72.69439582556785	48
circular	24	1	0.27338696523958994	6	5.563534597138397e-05	53.435602625324236	95.43367478247487	48
block	24	1	0.4502962459042553	3	0.017312655367422082	48.559369838848916	70.94155369021685	48
