EVENT_INDEX	BASE_STEP	LOCAL_LOW_RAW	LOCAL_HIGH_RAW	GLOBAL_LOW_RAW	GLOBAL_HIGH_RAW	NORMAL_LOWER_RAW	NORMAL_UPPER_RAW	BISECTIONS	PICARD_ITERATIONS	CONTRACTION_RAW
1	616	8011493939838843643190018209463954266787674601061089280	8011493939844418829489650865249338196355836691437584384	15112287544714039431623058317802911268013080462842644135936	15112287544714045006809357950458696651942648624933020631040	201167141748924065192160901877909029686523254876751939517558	201167141748924420481232934090614146603317520249912566705446	42	5	96041761747203511186362183139591559189428241
2	1685	19490625561501801585248731551719095443924439193509429248	19490625561507376771548364207504479373492601283885924352	41335570407305865422926284583524054685805131173263424094208	41335570407305870998112584216179840069734699335353800589312	341209559251223718023617215721224562904394946260792871221298	341209559251224398956668758077895389195984063770304128840676	42	5	123926876496347754967915950504708413036965834
