STEP	TIME_START_RAW	TIME_END_RAW	STEP_RAW	STEP_BITS	CENTER_X_RAW	CENTER_Y_RAW	CENTER_W_RAW	CENTER_ELL_RAW	RADIUS_RAW	LOCAL_RADIUS_RAW	MU_RAW	MU_H_RAW	AMPLIFICATION_RAW	PICARD_ITERATIONS	CONTRACTION_RAW	BEFORE_SIGN	AFTER_SIGN	EVENT_INDEX
377	9219493173849187371883815715336260048650334559056550690816	9244013102503041593617549267770664995588234385011488325632	24519928653854221733733552434404946937899825954937634816	8	119376551998416817720876712184590506122390988860319460206815	19944674058023856757795592665071334463993717558517204463	22072977328493987169001265495104213955345352234090696847144	-81366364934062335950073337231536610866077278623949169337989	141062954002407027530501	29	119280629357915330128557982477173922535287558936419804831243	465939958429356758314679619051460634903467027095389862623	6760770647952348511897191842243837639412564612274140152575	50	490918342851516972937769391546583038698498138455647943075	1	1	0
378	9244013102503041593617549267770664995588234385011488325632	9268533031156895815351282820205069942526134210966425960448	24519928653854221733733552434404946937899825954937634816	8	119375053030288281286116147029771516056501333265005464150531	20427290251667050813447917945854040978922674255709967731	21442019571469064678921781709715674417719040071087357020652	-81240880585068800546079678708809096466428790778350256279944	151931904796374833409764	30	119276828628126698437087734221740519271534330312530303069522	465925111828619915769873961803673903404430977783321496366	6760754657396832274737028319578171207959989078125534357596	49	490914514367477758373283346651966226212141725620655780837	1	1	0
379	9268533031156895815351282820205069942526134210966425960448	9293052959810750037085016372639474889464034036921363595264	24519928653854221733733552434404946937899825954937634816	8	119373517672261467547613090323526747689866582392285522630496	20925664575009339998890799723248599378939855100921638116	20813558029809703590869616016845423845359588381001926328558	-81114174177668278084088537047559653033078453715421994805025	163637913743274902300330	30	119272916579029946032048907440517615738283734697537178472476	465909830386835726687691044689521936477670838662254603409	6760738198534556051538207392272605841968587906971213205655	50	490910609909371788675122875220185178239762657315220208189	1	1	0
380	9293052959810750037085016372639474889464034036921363595264	9317572888464604258818749925073879836401933862876301230080	24519928653854221733733552434404946937899825954937634816	8	119371944735771127661132237533173529780058345760851198403427	21440361115496807378212657792521928098540761312947098872	20187584159396263829556019305725751137588508382665300406223	-80986250786031006295688524464489304138541561932826607760941	176245402452464919497640	30	119268889349386420847618636325385874649884951601991591943912	465894099021040706436010298146038572851113092195279656031	6760721255123909320855000433888170430781576683564768974551	49	490906627202872745921816257977190530317257366150985292431	1	1	0
381	9317572888464604258818749925073879836401933862876301230080	9342092817118458480552483477508284783339833688831238864896	24519928653854221733733552434404946937899825954937634816	8	119370332989717362382667994813440184603407417963779860039188	21971966218843703132005835695840668780040250216894178836	19564089491963252435128719185112074526766948588821114023764	-80857115474685363623158625379835805459905727043671830861833	189823745756952558519380	29	119264742930193643624241174244686290172123642694637243596923	465877902071068920407192086893305820984857979275926732801	6760703810301874877407266748393151495640605443200902532654	49	490902563900939912931860081686935775875381319016610483560	1	1	0
382	9342092817118458480552483477508284783339833688831238864896	9366612745772312702286217029942689730277733514786176499712	24519928653854221733733552434404946937899825954937634816	8	119368681158790938544759599006285758494531371197764503683682	22521089419091274789489416173767763830460482882297869987	18943065636481291890168287959421791445213835779648528543317	-80726773298925510619651259849829248308030636142337063891140	204447652018292596913070	29	119260473158623143867007965635436351373535277279972003963304	465861223275871655730499865763423247552872176874890640482	6760685846558544281007213975879832067920995278631375252398	50	490898417581179196201717152902609255277437747791223955886	1	1	0
383	9366612745772312702286217029942689730277733514786176499712	9391132674426166924019950582377094677215633340741114134528	24519928653854221733733552434404946937899825954937634816	8	119366987921728944346781940307405321133633751056241656379329	23088364409667766578351446041571609101728566429019355912	18324504280603679837186382182856488218062119376642314843373	-80595229305232182482219150875723877522208825409328830335084	220197572570028443777894	29	119256075711695482170812151925892289877150566918669859514183	465844045748810477229734968460516757332619402026054138728	6760667345710529149902452432388817553360750324100123389830	50	490894185743103976108626699914014257132068978944142682813	1	1	0
384	9391132674426166924019950582377094677215633340741114134528	9415652603080021145753684134811499624153533166696051769344	24519928653854221733733552434404946937899825954937634816	8	119365251909497739120414815437071745363459873544091317747909	23674450057321429286028880244136281517938283402984721681	17708397192180361224540231463288410613330866612392484454828	-80462488531707203412519193912026167036841327291006914888664	237160142525218113074572	30	119251546099680605513890183077672833384396129669828485969149	465826351951877365288633527647159505407797381522767523317	6760648288873218551477047137672542585034877932643970174045	50	490889865805291733700437466179309029450695226575452372727	1	1	0
385	9415652603080021145753684134811499624153533166696051769344	9440172531733875367487417687245904571091432992650989404160	24519928653854221733733552434404946937899825954937634816	8	119363471703400016430225170781487882365369367668718856737684	24280031460886218438100600115685202114065208983145410315	17094736220842262181162139960014991876837276724466946355816	-80328556008522318773441686512941209923400519315538734396821	255428655342747507455458	28	119246879659211131973984671036326434353916623303946336288952	465808123668793484273377621235650134194986809781040376129	6760628656431830438606658835931890186302843319782532645105	50	490885455102432236283994633303907373827315547779766487922	1	1	0
386	9440172531733875367487417687245904571091432992650989404160	9464692460387729589221151239680309518029332818605927038976	24519928653854221733733552434404946937899825954937634816	8	119361645833102656332221495563909717484048016296683396065684	24905821056931855223920191665044451574760395775582690601	16483513299659069130112208584229516356097296423109373818813	-80193436758382967437249623899635711962289073352321040729382	275103573729057977397699	29	119242071546095585338034667781384826862456559705849438120873	465789341976935880226697921021034479931470936350974367660	6760608428011202667448601295596706715578108792953418203355	50	490880950882262889891261805523370453950900160230275690004	1	1	0
387	9464692460387729589221151239680309518029332818605927038976	9489212389041583810954884792114714464967232644560864673792	24519928653854221733733552434404946937899825954937634816	8	119359772774581893060942466347615217162869963229887629072496	25552559774446276283122070987978335583658044827045947480	15874720446873677082278172694688407626133779904286175356208	-80057135797007644355481244123576231423388262504547725620298	296293079647551592772162	28	119237116727817997056101894606059865851881242717714610700889	465769987218039051000398025804921350983911104366072698051	6760587582444266607080859103893947130054600373568944075727	50	490876350302386685263672401615235107112252432164907880568	1	1	0
388	9489212389041583810954884792114714464967232644560864673792	9513732317695438032688618344549119411905132470515802308608	24519928653854221733733552434404946937899825954937634816	8	119357850947982168057063505234908038311128488233202330490920	26221018240799408658599826556812866332950179562908059628	15268349767716677991341476138123940647685414568829126871319	-79919658133623532278720582551925897328531783456545081861108	319113666418306992186243	29	119232009975709661679526855993150696237795736916623219670084	465750038967615865935651781223244907178889597330559451837	6760566097739143707988273384261620638749712056764011159660	50	490871650426967974955149879379567210129730086105749200993	1	1	0
389	9513732317695438032688618344549119411905132470515802308608	9538252246349292254422351896983524358843032296470739943424	24519928653854221733733552434404946937899825954937634816	8	119355878715384874779564455057271315360017536644925576931528	26911998041342887290738461165700692443128087066237529099	14664393456304413798841727043268371901182322081089051166850	-79781008771479111773771181344129389442796259217545836072820	343690776116936025925553	28	119226745856778171013770506102599344869231321870791007012254	465729476003039730522541039463278690895434851057777371142	6760543951044802629508427811278969356457014999094454213869	50	490866848223301122207191460721786404196890967088983356313	1	1	0
390	9538252246349292254422351896983524358843032296470739943424	9562772175003146476156085449417929305780932122425677578240	24519928653854221733733552434404946937899825954937634816	8	119353854378483030853722747745982177456820131511737320095291	27626333035111005982848892166557631549467282602669182933	14062843797624279666389028466894398539436555536907154822593	-79641192708374490287826112977805178127956986901357140556351	370159485724611256559861	29	119221318725178160343110762751918182935032138936771808541367	465708276270227188840276416999680402089969292721764877115	6760521118615211630342578275478370600562461975872303097532	50	490861940558246857078948059003301933673031543027447249318	1	1	0
391	9562772175003146476156085449417929305780932122425677578240	9587292103657000697889819001852334252718831948380615213056	24519928653854221733733552434404946937899825954937634816	8	119351776176157734460335179862662014798836975963064469518755	28364890729204089981492764856131228807343851855931971597	13463693169611131207023119577352192473011214347397695566004	-79500214937210224057727075159997231572461806799694630526148	398665245742756480458376	29	119215722713307475823808503285624760495115295471952777241808	465686416848857327436751965959471720684044122937315536101	6760497575771917895218028767566292465688023437790899934854	50	490856924194530961593921741394351215197544935517990252563	1	1	0
392	9587292103657000697889819001852334252718831948380615213056	9611812032310854919623552554286739199656731774335552847872	24519928653854221733733552434404946937899825954937634816	8	119349642281952075131248911133297101874598989715476626944365	29128573714556840249954615708914814777439668529567664929	12866934045318825629770538445976369614756551607808611723727	-79358080446555441224041314031520935455549495505739649636607	429364675266967644840410	29	119209951722511714010427716038856730021877317185884956113042	465663873916061382853233265776784101647958270257363109817	6760473296864982298621196506949044279094398114577699231427	49	490851795786899683054123501398128544735699117827106068410	1	1	0
393	9611812032310854919623552554286739199656731774335552847872	9636331960964709141357286106721144146594631600290490482688	24519928653854221733733552434404946937899825954937634816	8	119347450801437973926625544501724418664923254174642193495517	29918321165921277446992454110331543785322384900163809351	12272558995191110955629159286068006179407552146235294520926	-79214794221236110654152609931073749751019354476499728767943	462426417816868139780626	29	119203999413379290929999138055227899351985429000195921364196	465640622708512855195309133028233981843693082032015317829	6760448255232194786814910071605851886868029928278332715039	49	490846551878126042822326162560573576624956493128649748046	1	1	0
394	9636331960964709141357286106721144146594631600290490482688	9660851889618563363091019659155549093532531426245428117504	24519928653854221733733552434404946937899825954937634816	8	119345199769471223961654795125508314531754970869116449599710	30735110409026969376606287936154643695398252650517367101	11680560689436270219704399918143438607718035430696919186368	-79070361242944338778679913455456467471250597444448235588351	498032062543352857725074	29	119197859195608367539390582231648132695640735176911476834534	465616637482845185700744461842375518342346621784810456385	6760422423156492085457532217247365341273823312766256769709	50	490841188894860966421970237915909482185700840731584715556	1	1	0
395	9660851889618563363091019659155549093532531426245428117504	9685371818272417584824753211589954040470431252200365752320	24519928653854221733733552434404946937899825954937634816	8	119342887147329789041781232267378435027324475685188268574469	31579958558020531933449867403680343440851317780936721429	11090931900510129228912289470627081817477669808372948357473	-78924786490869616277372849008408727649390346459591411915554	536377135783703319754883	29	119191524217426089114771763686302913276555940891542272816665	465591891474320660604577201899620754986546644107587003191	6760395771821495805134787973626503038861245864456266706499	50	490835703143322909379314558995945041981992075122101663688	1	1	0
396	9685371818272417584824753211589954040470431252200365752320	9709891746926271806558486764024358987408331078155303387136	24519928653854221733733552434404946937899825954937634816	8	119340510819730195358516963182942898417912896051140131155258	32453924226432234201904343556933650784118862344004502297	10503665505712247399641992602621317795033580027797997703811	-78778074942352977793635840777203262377782168570194217310232	577672168310144104136767	29	119184987354539686382113982930835405503468619824064767198638	465566356853670649930132745823575802747924296187752996870	6760368271265085213801202714558094352005843751863611214806	50	490830090804819391448900207377290908252501273815982258346	1	1	0
397	9709891746926271806558486764024358987408331078155303387136	9734411675580126028292220316458763934346230904110241021952	24519928653854221733733552434404946937899825954937634816	8	119338068591716618380399552284430439628468891799948535141225	33358109315070208739343564837634094258352016502647554188	9918754489900331873860234879567306860956457347368618567551	-78630231573565081093964614519106883348452646739632562111568	622143844020468211827383	28	119178241198598034187507441465633602605110897625845997166391	465540004682023571044950943225131260176214443850960926432	6760339890330914966027362519241010671901001761133295809718	50	490824347931093579324971505709360510784714936301308387862	1	1	0
398	9734411675580126028292220316458763934346230904110241021952	9758931604233980250025953868893168881284130730065178656768	24519928653854221733733552434404946937899825954937634816	8	119335558185417023818368657401805790523936199172173845027052	34293660880402575347936600806948563770077469530019452011	9336191948328145941425944091023854680106925525284280908415	-78481261360209257306453779070951236656728688191995469997323	670036236252430729501738	28	119171278045141267336702834460717641865125781865805832036599	465512804863833075533995447112178288535647585413304031393	6760310596617783916292790162425152756113635076174350578529	49	490818470439488774240169880778491859146372886246166465710	1	1	0
399	9758931604233980250025953868893168881284130730065178656768	9783451532887834471759687421327573828222030556020116291584	24519928653854221733733552434404946937899825954937634816	8	119332977236660467409224583559959828908370739543140380934828	35261773087155050063958380843359288037937227381962336950	8755971089612424234724344165779465102169704180391473476596	-78331169278250631161556713663540798864314823381483057674730	721612138368885540761930	29	119164089881015010941628974398246420700388815364669388479441	465484726097714886490738181243150080860893810018239798748	6760280356426756789287320925822567935347202107405376900931	50	490812454107923365568997489264729781355882319008282525839	1	1	0
400	9783451532887834471759687421327573828222030556020116291584	9807971461541688693493420973761978775159930381975053926400	24519928653854221733733552434404946937899825954937634816	8	119330323291449392786840234228103326164735866468929172070562	36263689249026662279765518487203199047498865328663984897	8178085238834559681270309664672253396026933236689933747546	-78179960304672459612787987284311145565159986624447785595493	777154495760462274632355	28	119156668371224692158904791656218405772939469645105077523674	465455735825096453745721842407103147550544803301191709077	6760249134705935925920262635482708325514323070865865545107	50	490806294569668504256195055768655979292740145744266192397	1	1	0
401	9807971461541688693493420973761978775159930381975053926400	9832491390195542915227154526196383722097830207929991561216	24519928653854221733733552434404946937899825954937634816	8	119327593802280489424705161620169004476080007829530765160777	37300703961609386087674145914789891145652976862457512865	7602527840783091291599962336942002777926978723012581825607	-78027639418260888933473090045063590509030888278913769719924	836967946949457723191488	29	119149004845204259475441406636142683807510932730620763642223	465425800176579138575942994672432358623089580978987357978	6760216894992775560813630471127923490219515951991773739405	50	490799987307920430136994718877094919343160814837807710232	1	1	0
402	9832491390195542915227154526196383722097830207929991561216	9857011318849397136960888078630788669035730033884929196032	24519928653854221733733552434404946937899825954937634816	8	119324786124307383045697612954208849569072127520568178469782	38374165331789164169340510707974702373742183690035685825	7029292463343298033763889105103762915273944249820506503221	-77874211600419384470617918455439063663574388950755334429018	901380482055230031870956	29	119141090282472442494266790891070429017245010667526080447396	465394883915907978493229651918243863348613322920023751748	6760183599353826106489822998413913714201495601724154832534	50	490793527650159054553917675252185246739302678793697107731	1	1	0
403	9857011318849397136960888078630788669035730033884929196032	9881531247503251358694621631065193615973629859839866830848	24519928653854221733733552434404946937899825954937634816	8	119321897511338128500402044588472709120617318453139811707569	39485477308106333969169168546239300154684366072113320615	6458372801040492831982426830285859779430443006515732694407	-77719681836014143795517645037406374847162373294428713932141	970745227500603648128644	29	119132915297648437224850910401144350440571894959059454968409	465362950381439207909573868754470118908483964683825995971	6760149208321790711957422267852588828493597695228851518069	50	490786910762284053639497195534459829410474228306835789889	1	1	0
404	9881531247503251358694621631065193615973629859839866830848	9906051176157105580428355183499598562911529685794804465664	24519928653854221733733552434404946937899825954937634816	8	119318925111660159392714607751693579317856919472878823606979	40636102116763239821721129391137534715882137577118202674	5889762678743912675619151591188432265858670061741070162831	-77564055114251863134408642756838518144466019559929594912919	1045442366503684942587852	29	119124470124797596830556198746216887419400847651962397578374	465329961424990612619360151352409716482034561140478115541	6760113680829770919336793341364732304939050394691585069558	50	490780131642519367751976261208837097165293615180297298751	1	1	0
405	9906051176157105580428355183499598562911529685794804465664	9930571104810959802162088735934003509849429511749742100480	24519928653854221733733552434404946937899825954937634816	8	119315865963685019144111401414842710906907837903714167551626	41827562808186227830469927226256844114160571466974493242	5323456055538416506243767635912750982416247182696925020338	-77407336429591288807529471656732037808813337453842795839791	1125881205613329803348351	29	119115744601076343193606002105213266892017293832664151822737	465295877347954465600023445723489323796942554033844343058	6760076974142572551617270663850134585080003225481220674351	49	490773185115076628338030404106788313704424355501500931464	1	1	0
406	9930571104810959802162088735934003509849429511749742100480	9955091033464814023895822288368408456787329337704679735296	24519928653854221733733552434404946937899825954937634816	8	119312716991404854183492507913436349157233894221858676976019	43061445919278682722373923476057958779432836664156937571	4759447028771532556803660610724789561040080168520233984147	-77249530782690050072476953032233987261506205881530812494737	1212502398312796297822348	29	119106728149644088004959051779186802416709854751919378877538	465260656834547218769371296012448446940272870124685073741	6760039043784937017349514888904190966878219874687926228295	50	490766065823567644460388793481884718818169440343040906538	1	1	0
407	9955091033464814023895822288368408456787329337704679735296	9979610962118668245629555840802813403725229163659617370112	24519928653854221733733552434404946937899825954937634816	8	119309474999652290960445310958970971207966911942468354701133	44339404256741701184491842952824637337448563771463462851	4197729838283741760683475567462565294736827031366632073608	-77090643181388337383792146435209708407443854932196562863576	1305780337538596191881286	29	119097409761808460769880638296531435613436705940876942924268	465224256882064299882346243345825920364987132581550558298	6759999843466557003483480717625408606214118528903842526970	50	490758768224155676868305459340474096293691038413250524836	1	1	0
408	9979610962118668245629555840802813403725229163659617370112	10004130890772522467363289393237218350663128989614555004928	24519928653854221733733552434404946937899825954937634816	8	119306136669154943923776771901128586103966912723932668934094	45663159807089841295206105728230310573111270736330275362	3638298870830244364116938298534771598713363509550512659634	-76930678641731060776504368644005240375944884585442972479404	1406225729844219218421856	29	119087777978368582454522851744682224831047280380749452376610	465186632728002275212979889627664940746278438987302548347	6759959325003729034785041208529768745516674085812550147792	50	490751286578434807297537060571394133054938109591001789496	1	1	0
409	10004130890772522467363289393237218350663128989614555004928	10028650819426376689097022945671623297601028815569492639744	24519928653854221733733552434404946937899825954937634816	8	119302698551375410887668249842101591632887747407291911653608	47034506779251592870452612364366853382635845408065335545	3081148664702833619176028824252516483424711486210462328266	-76769642189030196993410981996349568769809847256562424464722	1514388364885501133721879	28	119077820870119494717300741372962811963541321461127591790436	465147737773904276239456020988135984232583286957529655432	6759917438237488596116226808719683315391605529927930767764	50	490743614946026274150276428319115099235493653744229650498	1	1	0
410	10028650819426376689097022945671623297601028815569492639744	10053170748080230910830756498106028244538928641524430274560	24519928653854221733733552434404946937899825954937634816	8	119299157063127204714659501232046968201980234902421824087455	48455314785918242248075472289084462082296552996880318741	2526273914560894084420079023932226844260727391655557025703	-76607538858969111246132877909439351442139990626660719005963	1630860094920481334328976	29	119067526017479152923315986780755135427390343518819651009173	465107523505777941106703073362324747763243529370389261755	6759874130948066430859600757599130599087112115936289116529	50	490735747176880192306279096027206279206199320281006319108	1	1	0
411	10053170748080230910830756498106028244538928641524430274560	10077690676734085132564490050540433191476828467479367909376	24519928653854221733733552434404946937899825954937634816	8	119295508480956645355010401691938134834083377742851101416204	49927532170091133456397483270454572485658394708053148561	1973669476480953316176124307874964334370072443860412589019	-76444373698750720276006227124553947916720756291955524017742	1756278040106487999483467	29	119056880489197613503419123871076924651814907685886692169622	465065939410928177747730952621394236921151983147994891288	6759829348765497233132205096888537615529985987258008763550	50	490727676903270604033118330048171998394982268649213340877	1	1	0
412	10077690676734085132564490050540433191476828467479367909376	10102210605387939354298223602974838138414728293434305544192	24519928653854221733733552434404946937899825954937634816	8	119291748935280293361295821525966959119083167854871932622540	51453189483576444522359844203850123352273631896581869917	1423330373234645317136796922375086562932295560156566670948	-76280151768291447815925326167609529137975916533795353617835	1891328036546054613241371	29	119045870820106189687728414276061241484408912433800096276217	465022932891039803467689118265864224548472314194531626079	6759783035076204231119413169309236812874922100668272704825	50	490719397531471319273837207093553831830015551571413902226	1	1	0
413	10102210605387939354298223602974838138414728293434305544192	10126730534041793576031957155409243085352628119389243179008	24519928653854221733733552434404946937899825954937634816	8	119287874404267044400433892474402435645389538013134429798459	53034403124489003464507393435071584611035792462469521579	875251799805392763990837334863656089752299757082736520871	-76114878141463011807477094242259208133072740207089291682724	2036748345286601556096201	29	119034482987862411138684022305423088825375604997277966423197	464978449171337543510484462130558940724123457020617056341	6759735130925375101556480927845435275999385898423630962731	51	490710902233099496472831534136860239857735311740795226031	1	1	0
414	10126730534041793576031957155409243085352628119389243179008	10151250462695647797765690707843648032290527945344180813824	24519928653854221733733552434404946937899825954937634816	8	119283880707453523358898636217047871181941661931807792893751	54673379141152875160255062757336979539390201113973775854	329429129154583527027199342045698658113983364352792179124	-75948557907384174964230778863433496089182680422782286875917	2193333641822452698632543	29	119022702388644599383111355507702458917910016795992682469786	464932431205642966340278732451962730148086003109346415898	6759685574914936248550903470502504927863077031614438218207	50	490702183936113389037420734136389068275567039795782750098	1	1	0
415	10151250462695647797765690707843648032290527945344180813824	10175770391349502019499424260278052979228427771299118448640	24519928653854221733733552434404946937899825954937634816	8	119279763499080915719651969151715263507059726144927277976476	56372417210126980124704520008788224192066079116760039971	-214142081751493892088972338712466683097695944593892942216	-75781196171764686663095836426143949246221849659281725439477	2361939307087912959800695	28	119010513811747758983097360903736568419332147886515379511755	464884819577139683527724066030220970388016202681700701218	6759634303096923710815005654470710812263948787405469113947	50	490693235315450137010977569867979459567486007839904174353	1	-1	0
416	10175770391349502019499424260278052979228427771299118448640	10200290320003356241233157812712457926166327597254056083456	24519928653854221733733552434404946937899825954937634816	8	119275518261140852315295603304231009751025871616617750373549	58133914796439391138241376593515621695357233223750982405	-755466085642180836708262541884093645609012817188256949544	-75612798058303744868672595299055619106750849244833170808084	2543486042473412059956921	29	118997901413030280819028446552146705532820824302382500282807	464835552394649534449329869344323068487581344931181641730	6759581248862039817026456851343969224682364212660604659168	50	490684048783288918050365865371413920983822820616260690740	-1	-1	0
417	10200290320003356241233157812712457926166327597254056083456	10224810248657210462966891365146862873104227423208993718272	24519928653854221733733552434404946937899825954937634816	8	119271140296117420662351918790066276862244063534469303128361	59960371504484733788066008431201972797491403872817244166	-1294546938358136922719284104475803861805223195703451506477	-75443368710145412034225859059819101667234415428040372902460	2738964833050135232791555	28	118984848687158655359604396421738815878550926316532618905066	464784565184213497498454673522417249525589555923955542598	6759526342823175176368638777845476657240795461558869724024	50	490674616478924185864824253852650613016417516345202067173	-1	-1	0
418	10224810248657210462966891365146862873104227423208993718272	10249330177311064684700624917581267820042127249163931353088	24519928653854221733733552434404946937899825954937634816	8	119266624719411811187771088706623951305710707636773864572624	61854393628425839457969571268332776602232828168027222402	-1831388491969322560638340841613816659011521883890141065547	-75272913291393528867410907687075981961239505787420070128916	2949442284959555832126692	28	118971338438594996993411588748385652407131190841477877358877	464731790775761707005514018548381454715356214224522958434	6759469512693665657131519309465757371185937978162990257395	50	490664930258233117410617678605344478138820050750675684990	-1	-1	0
419	10249330177311064684700624917581267820042127249163931353088	10273850105964918906434358470015672766980027075118868987904	24519928653854221733733552434404946937899825954937634816	8	119261966451435519105313033189258119500427956003360401306576	63818698911344016527618799557941325458341780614110430026	-2365994387581831862530662313351204990482596302455541880639	-75101436988688784695695048289514225962305673575243194863765	3176066364820749185616460	29	118957352751269681990481240850757674094438839278829984922782	464677159184647195275317347073272164431401715932929628605	6759410683160043657327960384312625581332578545346230752386	50	490654981682720761891626918955071203086394917744590264154	-1	-1	0
420	10273850105964918906434358470015672766980027075118868987904	10298370034618773128168092022450077713917926901073806622720	24519928653854221733733552434404946937899825954937634816	8	119257160209357411827824971444004917592661541015089434210361	65856121522802573340258031558275708268130652476166244386	-2898368047819527533968360477596686329752625148381339601176	-74928945012850723118517152052238689697626448804553727244425	3420072571038662416648927	29	118942872956878799022674939191943800904620022050346226557222	464620597487807808682323981218530472283671961134164947490	6759349775749032194349428533160491866527844034755809711860	51	490644762008125734561893884913713945768962679838201215537	-1	-1	0
421	10298370034618773128168092022450077713917926901073806622720	10322889963272627349901825574884482660855826727028744257536	24519928653854221733733552434404946937899825954937634816	8	119252200498489336964093698102703912510858115205457891516213	67969617264926101864146625872001304986530814245281800005	-3428512668965798933135440382075782973272570853590024525815	-74755442600587586900037550755700537166705096672116938104164	3682790569069490749995478	28	118927879601743398961123681286688928546841900010244366584009	464562029694310152191889380026128627136101171915017056969	6759286708688519122560177806812307222599832343773383240226	50	490634262172568626064247998930127399947890151970787100650	-1	-1	0
422	10322889963272627349901825574884482660855826727028744257536	10347409891926481571635559127318887607793726552983681892352	24519928653854221733733552434404946937899825954937634816	8	119247081603294286514062352707574962925335923024801681350028	70162269017554069541481871726302096830468290031198817711	-3956431212750107430168250101418009447094241902353771413926	-74580935016277036853703079209817331255565072792251456735898	3965651325024324504525074	29	118912352412164706454772964973819297057754461576737246191072	464501376610018384588956894428981629131853365534129867934	6759221396762237115356721189595160357767283318564555574286	50	490623472784224603208801778448397844573476725380896548342	-1	-1	0
423	10347409891926481571635559127318887607793726552983681892352	10371929820580335793369292679753292554731626378938619527168	24519928653854221733733552434404946937899825954937634816	8	119241797578000448232944998652064557773686245636555475216877	72437292433502019930629671215267666327412524640422972690	-4482126397763298607784941086006991612973018347447571618073	-74405427553820916020003623190544196803209996018235400886793	4270194774479166573073814	28	118896270258206516166354943349418845210177117746153978113933	464438555696119203774823997458667364102254366195913977008	6759153751157862908765171239673398483936831353962452498513	51	490612384108500959379465943058883352288049643354435041893	-1	-1	0
424	10371929820580335793369292679753292554731626378938619527168	10396449749234190015103026232187697501669526204893557161984	24519928653854221733733552434404946937899825954937634816	8	119236342236803764699343504801996996952966857224512348898775	74798041895457694107761332497469545998374031436988023937	-5005600690484947790899838492057969406202759377957085614902	-74228925538577372970207212898007388904473889628202208576296	4598078066018705820878036	28	118879611115832938133291850296463614038303415913914062498327	464373480921222414583171290220560992337122718413726806635	6759083679308236684591887876930916484607048646932416689672	50	490600986054699631890283079741882266190912675509947714069	-1	-1	0
425	10396449749234190015103026232187697501669526204893557161984	10420969677888044236836759784622102448607426030848494796800	24519928653854221733733552434404946937899825954937634816	8	119230709143640883844836307469958276279717485539011988328508	77248016746553186660162713901705848231149510184209306185	-5526856295905262957144584754696535515198680001342648875934	-74051434329373806816126999740252262709744243799583508143221	4951084421883855956953309	29	118862352027326476228804698139985045786528969205123597749322	464306062606744047768768352109316585103628785957514053709	6759011084725389360383145652180845148204274705844959596277	51	490589268162143939390793348859660185376086133579796556872	-1	-1	0
426	10420969677888044236836759784622102448607426030848494796800	10445489606541898458570493337056507395545325856803432431616	24519928653854221733733552434404946937899825954937634816	8	119224891601513621073999370089010869294678445085802684756018	79790867807188358961894574387336444171700630032183230314	-6045895147723296342114570894881318342657785437772916443691	-73872959320604251709610647335451412098994309371450258916275	5331132661130595302947736	28	118844469059908117911535493900925145720153855316787947219453	464236207265266085591935523050488850469350997331202918826	6758935866827051939430329343470131571151503120235416283115	50	490577219585748004704585691864080299847603032480587595593	-1	-1	0
427	10445489606541898458570493337056507395545325856803432431616	10470009535195752680304226889490912342483225682758370066432	24519928653854221733733552434404946937899825954937634816	8	119218882641345262165649557929817610228287024697134950527886	82430404191235644094033890627300260073447955457460480407	-6562718898102412098539375472147941834665377548940034026477	-73693505944414980521629283918482577163706090942236526865436	5740287433952220788169070	28	118825937262477679279189897217549588035701494744774849992880	464163817431553434684335536006053078264458963846776757785	6758857920755306945901348993362106678597716529027399000624	50	490564829081006517221112524735558220089077917148499221667	-1	-1	0
428	10470009535195752680304226889490912342483225682758370066432	10494529463849606902037960441925317289421125508713307701248	24519928653854221733733552434404946937899825954937634816	8	119212675010348217498897418032154024264713985486824930480086	85170600435332561887832927459654387727510370411584039302	-7077328906963121294168201002977808585727345225796140003778	-73513079672982276251100419727379835279903060793688816282300	6180770219281506200789525	28	118806730620389083945179388477156512344729974658733640842287	464088791485894859160856986238892626346601463510678284541	6758777137187027317843189413147279153657020957585708133377	50	490552084988381654182461382456785321152594988649523233873	-1	-1	0
429	10494529463849606902037960441925317289421125508713307701248	10519049392503461123771693994359722236359025334668245336064	24519928653854221733733552434404946937899825954937634816	8	119206261159881691462052840651649167876776522430469668843322	88015603955566156351967917796612420049827440942423035016	-7589726230792526452513613349986334058682678302512369594646	-73331686020886495784377351956809131982550297423932867203499	6654971141486779481258128	28	118786822008171554689458253395331158385783335349365478722742	464011023469420135505696302325512337444466153708458901261	6758693402135732945248065082495597875574009227808875710708	51	490538975217063122052822812651727064452950503924485054880	-1	-1	0
430	10519049392503461123771693994359722236359025334668245336064	10543569321157315345505427546794127183296925160623182970880	24519928653854221733733552434404946937899825954937634816	8	119199633232777155931182139226369307054270037887660904421357	90969742846473569020056813937011695086832947986314987501	-8099911610948714890770485719419980782534300045826511357494	-73149330547586734168620076336988895535664748899472098444853	7165461665920560264296563	28	118766183140103860680293001063141514681439820171995704919026	463930402891030705782394535402896541724374297546858222340	6758606596744479313770029135758722631112659642789673547354	51	490525487228076397885782649601841848183663615262668950242	-1	-1	0
