STEP	TIME_START_RAW	TIME_END_RAW	STEP_RAW	STEP_BITS	CENTER_X_RAW	CENTER_Y_RAW	CENTER_W_RAW	CENTER_ELL_RAW	RADIUS_RAW	LOCAL_RADIUS_RAW	MU_RAW	MU_H_RAW	AMPLIFICATION_RAW	PICARD_ITERATIONS	CONTRACTION_RAW	BEFORE_SIGN	AFTER_SIGN	EVENT_INDEX
13	294239143846250660804802629212859363254797911459251617792	318759072500104882538536181647264310192697737414189252608	24519928653854221733733552434404946937899825954937634816	8	121952701167231430574166787839555057892188844577438247329024	83566406206708195378674419936945537159124702741731991433401	58031204512246188724752668404176741511949373386869731567429	-2939610229557376091789813131973953490114636917444590668409	859963	350356	199765353517461516317284049553833202472496548786487915847759	780333412177584048114390818569660947158189643697218421281	7108012376809662793076504541214093256124083160139253740907	72	1169664525231024269798402286259299932627779167218444442549	1	1	0
14	318759072500104882538536181647264310192697737414189252608	343279001153959104272269734081669257130597563369126887424	24519928653854221733733552434404946937899825954937634816	8	124319230399119282062416393188702091375050102811097401272743	84751769348302777876387390242496369309816595808129332563838	63695018207371317456976922317279939049681674965039223441045	-3204465966618307399887929060184718573155235564113697585387	1631308	655346	203331547200677680154833244291393252813547983719480844970641	794263856252647188104817360513254893802921811404222050667	7123804334130691904734278126939160766821901670287929868374	72	1183869724338017437228711626581553509424199994914459653136	1	1	0
15	343279001153959104272269734081669257130597563369126887424	367798929807813326006003286516074204068497389324064522240	24519928653854221733733552434404946937899825954937634816	8	126717836225491830247931959078581590745730411371510559104725	85927336230886304082418496906447351229216752314109530950865	69553357158786277038433361780786258777466722682054843179622	-3475877909344064532173388735909101147855352827813033717554	3058250	1202761	206919121902577260427020255294122816755437946020715709156838	808277819931942423543047872242667252950929476643420738894	7139726373207981939609663986745472496436063204289532539242	73	1197743161384328977544966119132820991005667284565599793258	1	1	0
16	367798929807813326006003286516074204068497389324064522240	392318858461667547739736838950479151006397215279002157056	24519928653854221733733552434404946937899825954937634816	8	129145214254533996138355004060248677009625846183072285718120	87088570636852147568763150806091682714825666235039574786112	75609639013706489194634414405845227833118181021263064734399	-3754063413626628937837792162140409592583557848429205380181	5640009	2153678	210519982494674114809566553527365433896623732842058145405800	822343681619820760974869349716271226158686456414289630492	7155743161016203572289294541181623398243622509913326297201	73	1211205040955394411760454223199298585574187705687225277798	1	1	0
17	392318858461667547739736838950479151006397215279002157056	416838787115521769473470391384884097944297041233939791872	24519928653854221733733552434404946937899825954937634816	8	131597484291493351790818307913107767784710722701296046729630	88230457987008450957372729147910679043543796868469113387596	81866698363266419537917810701232265690150978446969571838714	-4039241330138576278005859253572446223102582969770645865641	10218892	3774979	214124948639851858068391808002295641563474455196984767555896	836425580624421320579655500008967349857322090613221748266	7171814203009097664089577780374988815305617183166306511385	74	1224167997073201550876046437636215852811286804221490509118	1	1	0
18	416838787115521769473470391384884097944297041233939791872	441358715769375991207203943819289044882196867188877426688	24519928653854221733733552434404946937899825954937634816	8	134070143414707323625624230281413698285161690091514713318601	89347480553716143263189581609925696226630835555993167963841	88326674670672821850372609766449800440723713095337260276293	-4331631180871552766234128898283498611580317666255785366369	18119402	6417774	217723682302754320122999680298146332715729862788561436629652	850483133995134062980467501164634112170819776517818111835	7187893460683442666348587407101557819668036188559813278395	74	1236536776111470593296837562912125235936077209747509534165	1	1	0
19	441358715769375991207203943819289044882196867188877426688	465878644423230212940937496253693991820096693143815061504	24519928653854221733733552434404946937899825954937634816	8	136558020131256671906634997701888973365072907191145993209217	90433596190926708308941802959490508733546669145958580538942	94990889946691604656673995170938314753619287845393561877555	-4631452197954995282298173992528012459303297928288859750165	31330092	10535322	221304620639330620534371848961718177132174425957728275182146	864471174372385236462390035006711629422556351397376074931	7203928990991433792389207697418615670777397814504195640627	75	1248207993582313925727257338326646022028174475600317189888	1	1	0
20	465878644423230212940937496253693991820096693143815061504	490398573077084434674671048688098938757996519098752696320	24519928653854221733733552434404946937899825954937634816	8	139055230968405568585748832444259689077457494633643396073777	91482221937823629911175427525793944258755266957852107087024	101859716598288436035668128811721407156547335398916409001971	-4938922214628746172994278349612758312731429394390213268673	52713747	16678173	224854917221484286544920931159848224065120723758236974652927	878339520396422994316097387343157125254377827180613182238	7219862622477643749845971143140697968574523762388234073854	77	1259069989062506109289135950520161677542439603849123938481	1	1	0
21	490398573077084434674671048688098938757996519098752696320	514918501730938656408404601122503885695896345053690331136	24519928653854221733733552434404946937899825954937634816	8	141555141146344724344096361004492700163337675224286471962049	92486224067693817535409308679589702981972971536782087125043	108932436289987814684986546631475556827539187510097924545944	-5254256399327630491134227864033763011588666069150085541937	86162534	25399275	228360395086571871778397274895722609795335932509960246143127	892032793306921374134364355061416444513030986367032211497	7235629685931581304487715187329815819054133087940691186293	76	1269002807017204786506846252436971638514515663538432589695	1	1	0
22	514918501730938656408404601122503885695896345053690331136	539438430384792878142138153556908832633796171008627965952	24519928653854221733733552434404946937899825954937634816	8	144050331285348555087632135062946561241539381327932566736236	93437916367592716320903383273719064952476625761996631685943	116207091160058432695951838560732073300742664952802769432538	-5577665825486762871873747435843629821219711496467644213964	137018512	37485599	231805515645191244287923181728377919970810079443578674966337	905490295489028297999699928626476249885976872826479199088	7251158820353813483566711624626747687093384390498451286728	77	1277878334615831786090605996869322433434707607093813166593	1	1	0
23	539438430384792878142138153556908832633796171008627965952	563958359038647099875871705991313779571695996963565600768	24519928653854221733733552434404946937899825954937634816	8	146532572415328619003471540423018894358738636782729324442908	94329068634866117607007262047938045507586972579582703722161	123680329327962580646995134107341228400212571200965172541633	-5909355871992156789788344730730953047535930453855376197689	211209503	52596897	235173368005708484893794334245762268721332020244431644013717	918645968772298769116384118147508862192703204079811109429	7266371877978925389061062348698887547472530425715733134857	77	1285560630562769292640223661916496266463171565632490206383	1	1	0
