ATTEMPT_INDEX	ORDINAL	SAMPLE_CLASS	STRATUM	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256	MANIFEST_ROW_SHA256	CELL_CHALLENGE	LIOUVILLE_CARRIER	ATTEMPT_BINDING
50	17	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000000_S04-0000000007	3	0	4	7	f10f9b56bc2971493e892084e8b44ed4f2f5ab21401dd8b461c5862e372f204e	a73856dc299c79c93878c3371765cb23db8f06d3bf05285da5719ac864bd8219	7b0a2bfd6579cd9ba2b0700cb13598a05003bcb1f0caed5976880f033f7a639e	C0HORect2Set	eeb6902330e44ea923880687fc3a8ddae2e46df276561574a31d0a94b0c2a473
51	17	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000000_S04-0000000007	3	0	4	7	f10f9b56bc2971493e892084e8b44ed4f2f5ab21401dd8b461c5862e372f204e	a73856dc299c79c93878c3371765cb23db8f06d3bf05285da5719ac864bd8219	7b0a2bfd6579cd9ba2b0700cb13598a05003bcb1f0caed5976880f033f7a639e	C0Rect2Set	1565f2875ea3c86695ea53510745e4314c82e9c45cac02a2eb33d74291478fb1
52	18	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000001_S04-0000000005	3	1	4	5	43495a51e527bc949596f5116b1e147c906f454f7c35176eb4cd9f59a2dd6c8b	c1a9330e509e2fbf2baa9bffae0550f62b68e3579cc34f771cb5a37a03f472d7	0c138ee16639f196581ed3dddccecf368eb3ae74152133016bb9869a13d16947	C0HOTripletonSet	d1d6fccba03359030ccc032f9c981fa82172dde4e974352214f2bd2cda730605
53	18	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000001_S04-0000000005	3	1	4	5	43495a51e527bc949596f5116b1e147c906f454f7c35176eb4cd9f59a2dd6c8b	c1a9330e509e2fbf2baa9bffae0550f62b68e3579cc34f771cb5a37a03f472d7	0c138ee16639f196581ed3dddccecf368eb3ae74152133016bb9869a13d16947	C0HORect2Set	bc99fd6eccb9470cb2b0330d83fc7f0b97e4c6c09ab73470efac1c506ef76fc8
54	18	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000001_S04-0000000005	3	1	4	5	43495a51e527bc949596f5116b1e147c906f454f7c35176eb4cd9f59a2dd6c8b	c1a9330e509e2fbf2baa9bffae0550f62b68e3579cc34f771cb5a37a03f472d7	0c138ee16639f196581ed3dddccecf368eb3ae74152133016bb9869a13d16947	C0Rect2Set	43c3977c329327b3e2c9b3e0893013b4e1bb6ac68d29af3fcad56741e9755c11
55	19	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000002_S04-0000000005	3	2	4	5	5b8900d64aa73ff4fd8eccd64aec5f6040f461f3f107b57b1173f5e365df213f	9f04577eff235251bd3b0e2978c4d69390f2e5990916161852e9739d5466cb68	f47c0ca8c3eb8d5dcad1e60247a63fcd825442bec21dead1f729fa716b3dc29e	C0HOTripletonSet	8902de9728c2e586d0e07e522cce1a86dcb2cacd46d3bacb74e86cb87d75d45b
56	19	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000002_S04-0000000005	3	2	4	5	5b8900d64aa73ff4fd8eccd64aec5f6040f461f3f107b57b1173f5e365df213f	9f04577eff235251bd3b0e2978c4d69390f2e5990916161852e9739d5466cb68	f47c0ca8c3eb8d5dcad1e60247a63fcd825442bec21dead1f729fa716b3dc29e	C0HORect2Set	1e5482d9495b856dfed7ebc26d57251b2f712e577309d03cb43359165216f3e9
57	19	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000002_S04-0000000005	3	2	4	5	5b8900d64aa73ff4fd8eccd64aec5f6040f461f3f107b57b1173f5e365df213f	9f04577eff235251bd3b0e2978c4d69390f2e5990916161852e9739d5466cb68	f47c0ca8c3eb8d5dcad1e60247a63fcd825442bec21dead1f729fa716b3dc29e	C0Rect2Set	cb0b0e8b3ea37b81b17b0e69a8392aa0e10fb54629281bd3e33a90c8a9d182ee
58	20	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000003_S04-0000000008	3	3	4	8	2363c026ba9c46382c9893a3b7c3c2311463c687ff2a3bb499231448895b30c6	5d0f2362dedd521f3e65548dab4fdd9991d5f82ec9bde2ad4d6f21d52d72994d	faa4c7abfcdbddc317aba67ffd56e290b841e57c0c16dddb72ee4c5d0ad0e1e5	C0HOTripletonSet	592f6d4001c2333aec2029cc95c14aa31ccb9b11d1cbe7bd65217bce6e300af8
59	20	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000003_S04-0000000008	3	3	4	8	2363c026ba9c46382c9893a3b7c3c2311463c687ff2a3bb499231448895b30c6	5d0f2362dedd521f3e65548dab4fdd9991d5f82ec9bde2ad4d6f21d52d72994d	faa4c7abfcdbddc317aba67ffd56e290b841e57c0c16dddb72ee4c5d0ad0e1e5	C0HORect2Set	24887f1cf53a6fbb577114e8fa19c4e1aae082d3b0361435f4e4f6c18a1c448b
60	20	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000003_S04-0000000008	3	3	4	8	2363c026ba9c46382c9893a3b7c3c2311463c687ff2a3bb499231448895b30c6	5d0f2362dedd521f3e65548dab4fdd9991d5f82ec9bde2ad4d6f21d52d72994d	faa4c7abfcdbddc317aba67ffd56e290b841e57c0c16dddb72ee4c5d0ad0e1e5	C0Rect2Set	4c5794f5ca342d6215a4427eecb8d796e9d30fd8fb259c968eac480eb6976674
61	21	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000004_S04-0000000008	3	4	4	8	49752d4dd68b5abf3f3e5f70822084c8cb0b1d417e2d0464013c8d76c8fd117b	3133a362bd237256d29721e86a81cbdb9518acb125d7bbba091b45623a3cd264	a999a205eacf0793bec3cff88286a787a3b1d1f539da4a79c1a120a442b06bfc	C0HOTripletonSet	005040e6c838e86aa88d93295cd80917fbdc8a146945e157965a923387a176ec
