NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256	RECEIPT_SHA256	RUN_CHALLENGE	HPG_WORKER_BINARY_SHA256	SELECTION_CENSUS_SHA256	ORIGINAL_WORKER_SHA_MATCH	OLD_RC	OLD_STDERR_EMPTY	OLD_OUTCOME	OLD_STDERR_SHA256	OLD_VERIFICATION_SHA256	V5_RC	V5_STDERR_EMPTY	V5_STRUCTURAL_PASS	V5_PROBE_PASS	V5_SUBDIVISION_REQUIRED	V5_CERTIFICATE_PASS	V5_MUTATION_TESTS	V5_MUTATIONS_REJECTED	V5_PLAIN_VERIFICATION_SHA256	V5_MUTATION_VERIFICATION_SHA256
U02-0000000001_S03-0000000001	2	1	3	1	1cab72e2349261b9bc7849efd59dc4a9f955c54a9d1d59d6514350170f3f4619	4735f3f4e3bec320598766e59d7c003f697a533dd4491b327ec09cb92a9f2403	31705580073156b4584fa42bf0528d74078184023be55f88b5da2f16646875e8	2a4ccd962de266edc4457c25e2d0b8a00b430556d4263c827c1b1a708d9d0361	ab7385b93b13a128a45d25d637eef29a71df894b1d94b5fc8fc5a239697122d4	true	0	true	PASS	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a2147be382473d50bd2ccc958610f65f3336f904727849ca8665dffda46ba5d5	0	true	true	false	true	false	79	79	a2147be382473d50bd2ccc958610f65f3336f904727849ca8665dffda46ba5d5	755f10eb32c8262729a538b03c5e1aaf58dfb4a21de1968bdaede11d8f6e143f
U02-0000000001_S03-0000000002	2	1	3	2	2f986ae75ab9c122ac02e9ffa896e7c74a70a339e366765c9d1dd4b769b49f09	8bac82986b924970c21f3d773006251f2cb388f1bac8e2a15773dae4158cfa3a	31705580073156b4584fa42bf0528d74078184023be55f88b5da2f16646875e8	2a4ccd962de266edc4457c25e2d0b8a00b430556d4263c827c1b1a708d9d0361	ab7385b93b13a128a45d25d637eef29a71df894b1d94b5fc8fc5a239697122d4	true	0	true	PASS	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	22a610b891e9a7ea6481fee9c70b9e9289c0ba25665a0616b882b49b8af314e0	0	true	true	false	true	false	79	79	22a610b891e9a7ea6481fee9c70b9e9289c0ba25665a0616b882b49b8af314e0	34536534790e80e153c829551039da811287371ffb881692f8afae31a7291e04
U02-0000000001_S03-0000000003	2	1	3	3	2bd077696294f8babfd249a316216237a278ae68afe70c0bb97a24229d96edf8	f9781b163ce3b615706b2202768e381de1622963c057b3ef1ec7e769851ba892	31705580073156b4584fa42bf0528d74078184023be55f88b5da2f16646875e8	2a4ccd962de266edc4457c25e2d0b8a00b430556d4263c827c1b1a708d9d0361	ab7385b93b13a128a45d25d637eef29a71df894b1d94b5fc8fc5a239697122d4	true	0	true	PASS	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7e4553696dc53c381cfad7ac4fd66bf679e15bce1a6660803e8908cb0f0fff31	0	true	true	false	true	false	79	79	7e4553696dc53c381cfad7ac4fd66bf679e15bce1a6660803e8908cb0f0fff31	c70652361f4cb81e13df344cbe7b9d8a8db863b938cc0c7a4fe8bc0a7a766abc
U02-0000000001_S03-0000000005	2	1	3	5	98368a40c51d1226ca8b9debea0f8507e9d835920f9deb1d724769130ee95575	8d1f4faeba350506fea66c595502d8eb2e7ffd1a381af10764b255c79789d9b1	31705580073156b4584fa42bf0528d74078184023be55f88b5da2f16646875e8	2a4ccd962de266edc4457c25e2d0b8a00b430556d4263c827c1b1a708d9d0361	ab7385b93b13a128a45d25d637eef29a71df894b1d94b5fc8fc5a239697122d4	true	0	true	PASS	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	96614da4d03b195b5d6932292c44c9978390a97d397a3230def016a07cf97bfb	0	true	true	false	true	false	79	79	96614da4d03b195b5d6932292c44c9978390a97d397a3230def016a07cf97bfb	4363a68df9e51f609d0a3926539b4abbb629ffe2804b0846595b12db661474c6
U02-0000000001_S03-0000000006	2	1	3	6	fb3718b31111015975769ec85639d0b98dc6fd187ed24e6a1684fa8a1b81a191	4f8a31545ce1e369e376d2ceb332b24b01d66b1c9610a8dafc95a01fc25700bb	31705580073156b4584fa42bf0528d74078184023be55f88b5da2f16646875e8	2a4ccd962de266edc4457c25e2d0b8a00b430556d4263c827c1b1a708d9d0361	ab7385b93b13a128a45d25d637eef29a71df894b1d94b5fc8fc5a239697122d4	true	1	false	EVENT_ORDER_OR_PLUS_SIDE	fdd8acc0f1f610b64f6b4eeb0530bb4bd5253026d1cd852863ca7fdbf6358b8a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	true	true	false	true	false	79	79	f5383a195089bf21fc47402cdbf5352839e14133fa37ec9202c7cd66e4f97902	3bc09affb62dae35c7276b05e2951cd5a09aa7532bf12207f35f5a3f7a5fc263
U02-0000000002_S02-0000000000	2	2	2	0	dabd66f7cb35d9a70248a5314ac3a3c9895e5f4b4a81ae0e5afc61a476b34c38	a1d8cb8052a49cb389a4f5850ae8b906e5073289740b2945bf43eaa8c46352b3	31705580073156b4584fa42bf0528d74078184023be55f88b5da2f16646875e8	2a4ccd962de266edc4457c25e2d0b8a00b430556d4263c827c1b1a708d9d0361	ab7385b93b13a128a45d25d637eef29a71df894b1d94b5fc8fc5a239697122d4	true	1	false	EVENT_ORDER_OR_PLUS_SIDE	fdd8acc0f1f610b64f6b4eeb0530bb4bd5253026d1cd852863ca7fdbf6358b8a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	true	true	false	true	false	79	79	6b8f74a492bf91f5dfe469793ddaaa864fbaa962d7f99746be1d9c103987e264	c2203ade386d77f6a4269e6caafb6e17e1d76a50766d16a068569e041ffdfecf
U02-0000000002_S02-0000000001	2	2	2	1	c71fe252722cb0fc379d6090ea6072bb82c8fb59fd78d9ad0d60daeafd102c0b	5312050f2e25b353442337a0067895e69f7e6d2f8a8336f6d018e5f970268800	31705580073156b4584fa42bf0528d74078184023be55f88b5da2f16646875e8	2a4ccd962de266edc4457c25e2d0b8a00b430556d4263c827c1b1a708d9d0361	ab7385b93b13a128a45d25d637eef29a71df894b1d94b5fc8fc5a239697122d4	true	1	false	MIDPOINT_RECONSTRUCTION	c65a83e659d394bb1dbcbe3de448a7fd7d70f9cc16cc7fea843561d8ce8ac3d4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	true	true	false	true	false	79	79	11496de36560e72aa9a2c4eb2bc65817a6202f7d003fe2105a9eb1e85c3c9d5a	da776600afe621d63178583a18d61c9430088892d563b69f6986e6c902f82cf1
U02-0000000002_S02-0000000002	2	2	2	2	ebdb5a15ccda8fa8e79cd10b5f052be2a33cbd4025d1bd7c843b0dee7fc4d4ee	2889bc19dfbcfb47a1a0d6516c19a116afd64132230c80e80d470ad6140a82a1	31705580073156b4584fa42bf0528d74078184023be55f88b5da2f16646875e8	2a4ccd962de266edc4457c25e2d0b8a00b430556d4263c827c1b1a708d9d0361	ab7385b93b13a128a45d25d637eef29a71df894b1d94b5fc8fc5a239697122d4	true	1	false	MIDPOINT_RECONSTRUCTION	c65a83e659d394bb1dbcbe3de448a7fd7d70f9cc16cc7fea843561d8ce8ac3d4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	true	true	false	true	false	79	79	29afbe80e054723e434c9b086aea435ded243e154729133290917d872a17eb86	893caacf4fac758df8502d10a135722808ac18649c390e873985cfcd55814de9
U02-0000000002_S02-0000000003	2	2	2	3	4ebcd3415b1319f8461b62c131977a142745fb1040af1c16a9cef5c54d63a2a5	68106d7e803fcfb4c9644f68b86358a3848756cb56867597f1d606fcb67bb3cb	31705580073156b4584fa42bf0528d74078184023be55f88b5da2f16646875e8	2a4ccd962de266edc4457c25e2d0b8a00b430556d4263c827c1b1a708d9d0361	ab7385b93b13a128a45d25d637eef29a71df894b1d94b5fc8fc5a239697122d4	true	1	false	EVENT_ORDER_OR_PLUS_SIDE	fdd8acc0f1f610b64f6b4eeb0530bb4bd5253026d1cd852863ca7fdbf6358b8a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	true	true	false	true	false	79	79	99e21b1112f5e4c62d447e7c51c65c60e3841f252e778441fb85a633d28dd2b1	06bb6bf2d907a277ec2a6b33dfae06bf626908322ac95455418d5c11db22b7b3
U02-0000000002_S03-0000000003	2	2	3	3	df8614ad1fc9fc7153737d3a77a0f8144ffa3270bb5e7824172f9d34dc305248	7b1b08620d82386ef424fbf41769d1df70969007343f3cca0ac1a063e7f717b5	31705580073156b4584fa42bf0528d74078184023be55f88b5da2f16646875e8	2a4ccd962de266edc4457c25e2d0b8a00b430556d4263c827c1b1a708d9d0361	ab7385b93b13a128a45d25d637eef29a71df894b1d94b5fc8fc5a239697122d4	true	1	false	EVENT_ORDER_OR_PLUS_SIDE	fdd8acc0f1f610b64f6b4eeb0530bb4bd5253026d1cd852863ca7fdbf6358b8a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	true	true	false	true	false	79	79	f4a4327d5f00d6a93b4b3faa86f39fa58f9fc0424ff0ea3c92c76919cc8eedd9	852ea8d789a9a9e9a67430a49900bc607d9584e0fa5726a5c3b6d165d4e6ff10
