CELL_INDEX	SOURCE_CELL_INDEX	SOURCE_U_OFFSET	SOURCE_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256
35	146	9	1	1	0	U08-0000000211_S09-0000000322	8	211	9	322	81ef18fbea7f994f5e40f1cb6b6c96a539863553727ac3904adab6cdcb67e3a1
36	146	9	1	1	1	U08-0000000211_S09-0000000323	8	211	9	323	fc4f3adfe1dded857c11239e6a9ae8fce724ac6f2b46d155c9a926bbdd5c883c
37	161	10	0	0	0	U08-0000000212_S09-0000000320	8	212	9	320	b64aca95e3b74cbb80770f1d055cba60a425205f80c385cb8da05c4dad669748
38	161	10	0	0	1	U08-0000000212_S09-0000000321	8	212	9	321	ad4a15248b19e942d90524ab3eb4a6065c09b163022ca5949247b9fc2a8d8abc
39	161	10	0	1	0	U08-0000000213_S09-0000000320	8	213	9	320	079d16ec66677143014c688eb17a5794b9fa6fdb1d3f66e22ddac84f00c27913
40	161	10	0	1	1	U08-0000000213_S09-0000000321	8	213	9	321	0d1b426579597b3f3c7e0fe0ca928c3added4b722f112f9f6e47af342541382c
41	162	10	1	0	0	U08-0000000212_S09-0000000322	8	212	9	322	e3476e7115862eb51573155b056d4e9eb2bac753ea7aa8274babbc074c3e213c
42	162	10	1	0	1	U08-0000000212_S09-0000000323	8	212	9	323	b04e21a733464500a5296ceb97efb0bf1da32d56ea388e5d040f70da89f2e212
43	162	10	1	1	0	U08-0000000213_S09-0000000322	8	213	9	322	007ff5f70cb2b1d4b87889c52cdd0869e739420bcb7f96024ec7d26bdc11c7bf
44	162	10	1	1	1	U08-0000000213_S09-0000000323	8	213	9	323	0380e2f94421ae46cd715e0ee60d8d489b21b10ca58f983a11a84cecc7c19388
45	177	11	0	0	0	U08-0000000214_S09-0000000320	8	214	9	320	61f582cf36d0ca994b274352293fa6e30866f28062c45df3c4519a967433dbe9
46	177	11	0	0	1	U08-0000000214_S09-0000000321	8	214	9	321	673849b083a4edf693c81c10fccafcb96b71e665a3eff62abe72447004f303f2
47	177	11	0	1	0	U08-0000000215_S09-0000000320	8	215	9	320	21caea9538cb68c246b6a32dfadc5bbdcbe6b941049cb4eea47ea01dd476814d
48	177	11	0	1	1	U08-0000000215_S09-0000000321	8	215	9	321	f70d3f8c319722abee020140819acc5eaf3662f344f441b06892aa3865d88a6c
49	178	11	1	0	0	U08-0000000214_S09-0000000322	8	214	9	322	7818bf8124c0698cf5d67f3020caeba5902e59d0babc58b01b6771bd2cd53253
50	178	11	1	0	1	U08-0000000214_S09-0000000323	8	214	9	323	8cb21a8995e34d2efdfb39d49846ac1f0851c58cf40103c9d15455dc8dcbc2c6
51	178	11	1	1	0	U08-0000000215_S09-0000000322	8	215	9	322	0dc093999ab8fa824c615b0c5128f603949bba2e6fb7372ad7b6ac2b5f652fd9
52	178	11	1	1	1	U08-0000000215_S09-0000000323	8	215	9	323	78a2d78907b243ea7c59de828370d3e4d34f8b771add9595d43484ba2c1805f3
53	193	12	0	0	0	U08-0000000216_S09-0000000320	8	216	9	320	102401a892344bf95fafb781e4d6fea6799fd869a4c263660393cd8b98baebaf
54	193	12	0	0	1	U08-0000000216_S09-0000000321	8	216	9	321	3d0f3c79d8ba6953aa4b337e23271b628ae3db4c533a3ca1757809ccd705d751
55	193	12	0	1	0	U08-0000000217_S09-0000000320	8	217	9	320	e662f7474b8abb247e9b999050310358ef3ef66380836b7968229e950881b43d
56	193	12	0	1	1	U08-0000000217_S09-0000000321	8	217	9	321	af166990a7fe5bbe3fb2b50018e2d6df0b9e16ead9b1a8669645eec5d84c19bb
57	194	12	1	0	0	U08-0000000216_S09-0000000322	8	216	9	322	62b2dd8b1845011ed9419ab9dd687b3e5078e1d16c15e968fead111d04a034e1
58	194	12	1	0	1	U08-0000000216_S09-0000000323	8	216	9	323	75fd241d5347592e4d381444ae42ceae4f74d1d4656c4389311a4835e0722233
59	194	12	1	1	0	U08-0000000217_S09-0000000322	8	217	9	322	c905cc8e5d17d64e0ce2f85b0bcd44cb573cf5279d3dcbd3294e75946829c05f
60	194	12	1	1	1	U08-0000000217_S09-0000000323	8	217	9	323	fc9b2647db7325314e13d99d2ff4e09ac33cbb8388c43c8b5f8fddf1ee35ac3c
61	195	12	2	0	0	U08-0000000216_S09-0000000324	8	216	9	324	f32c41a82654e027edbc9d079d8b872790dbe817dcdca9a728934fbbcdb57f50
62	195	12	2	0	1	U08-0000000216_S09-0000000325	8	216	9	325	cafcad7923c46050607dd12f0e639e2f171f1d4f7fb4041bb84da8f316d92698
63	195	12	2	1	0	U08-0000000217_S09-0000000324	8	217	9	324	68290a11374eea2575d0b1bfeaad872209066dee97753f1596555f26075898bc
64	195	12	2	1	1	U08-0000000217_S09-0000000325	8	217	9	325	20c8f8013e2c2155f91db9791ba48178d13aac65243d7d16083f7278536fcb4b
65	209	13	0	0	0	U08-0000000218_S09-0000000320	8	218	9	320	237f3bfd0fe94d0451710e0b311acbd27586aa2374f54c0fbfd1f167635986fb
66	209	13	0	0	1	U08-0000000218_S09-0000000321	8	218	9	321	12435acdc99d8e7756de664c0d6200655c8e25ce94bbaae3147d71efacf817e3
67	209	13	0	1	0	U08-0000000219_S09-0000000320	8	219	9	320	666b41916b2353615bd549bd53a3f8834df0134b3d40d68a42d2eb58aef859b7
68	209	13	0	1	1	U08-0000000219_S09-0000000321	8	219	9	321	d38c34f744cd15a4c045c875d2ba6c894e602fca3dfe7cbd55912be30188fa9e
69	210	13	1	0	0	U08-0000000218_S09-0000000322	8	218	9	322	9c7e0faf8a0a4e1c188c987a2068e9d01c0e9cbf484a30bb385aa28cc0968865
70	210	13	1	0	1	U08-0000000218_S09-0000000323	8	218	9	323	adea99a16845e5b972c9b2c738a2f3592b8c97c4aa7257cea2d88f3248d5710e
71	210	13	1	1	0	U08-0000000219_S09-0000000322	8	219	9	322	c114a8b7610b6c6baefcab9664aaf4cd8f56de0b2ced3d64a09d82d7089e4d01
