ATTEMPT_INDEX	LEAF_INDEX	LAYER	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	DEPTH4_U_OFFSET	DEPTH4_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	LEGACY_CERTIFICATE_PASS	TERMINAL_CERTIFIED	STRUCTURAL_PASS	HOMOGENEOUS_COMPUTATION_VALID	PROBE_PASS	LIOUVILLE_LOWER	LIOUVILLE_UPPER	JOINT_LOWER	JOINT_UPPER	JOINT_EQUALS_LIOUVILLE	EPISTEMIC_CERTIFICATE_PASS
99	50	D4	U07-0000000099_S08-0000000162	51	3	2	NA	NA	7	99	8	162	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3175	a2f1edc1cafefb6f052b9e06b53ddb9d7242512595d16f91ff42754897002a20	05ea01ba381e5d72784e3bd8af79179437a83db23628c7260f1cc164c05eb160	3bad1ac2a994bfd064425a4626d4cdac639c62a26de5d23473388a8751a2a00d	5af45cebf910903413bf8099847a99e015852fa5108bc3f8e1cbc2e613b6ac10	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3f98fa841ec5p-36	-0x1.f39c572d2479bp-36	-0x1.f3f98fa841ec5p-36	-0x1.f39c572d2479bp-36	true	true
100	50	D4	U07-0000000099_S08-0000000162	51	3	2	NA	NA	7	99	8	162	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3066	a2f1edc1cafefb6f052b9e06b53ddb9d7242512595d16f91ff42754897002a20	05ea01ba381e5d72784e3bd8af79179437a83db23628c7260f1cc164c05eb160	907480431c78b043e66a2b3f05cf9eb424d1fbe6db2a7e389694e8473a7076bc	fdc0967c1eba05a85d7503abeca8ceb423dd0d3d5aa69458597626a0fe96abd7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3f9a3721cc75p-36	-0x1.f39c436693606p-36	-0x1.f3f9a3721cc75p-36	-0x1.f39c436693606p-36	true	true
101	51	D4	U07-0000000099_S08-0000000163	52	3	3	NA	NA	7	99	8	163	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3157	a47b22a193deb96b294105995e5edf4ebfeb88d45fbc638e7256cbac6ed83338	ca9ca6321a5c645c5bdb5ed1499656f2eaad43e1f24391ef42bd23f86e7c12b1	4e00263fb7dbcd3cd1b4261a0ee014bddeed4c14457a2e2329f897fe4843c9e9	3f4d5f6e2f0447ca6d27665e1fa1d2692d6e7626cface54ea6a29df550f1c194	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3dd4a2e6d733p-36	-0x1.f3801594026d9p-36	-0x1.f3dd4a2e6d733p-36	-0x1.f3801594026d9p-36	true	true
102	51	D4	U07-0000000099_S08-0000000163	52	3	3	NA	NA	7	99	8	163	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3068	a47b22a193deb96b294105995e5edf4ebfeb88d45fbc638e7256cbac6ed83338	ca9ca6321a5c645c5bdb5ed1499656f2eaad43e1f24391ef42bd23f86e7c12b1	b591cefe6e9e5cdf419d2d75cae1e28466f7d8cbf0083675d2cf23045f2a94d6	051760a23f989d6970beb0817132941619fbc89b1724978446b86faa17d09656	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3dd5df7c82fbp-36	-0x1.f38001cdf1f7dp-36	-0x1.f3dd5df7c82fbp-36	-0x1.f38001cdf1f7dp-36	true	true
103	52	D4	U07-0000000099_S08-0000000164	53	3	4	NA	NA	7	99	8	164	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3212	736e8f8625d37b72d9b8e8d955fa50eb01e2a263566a952447eaaeedbf1b9c46	cba58e7d19eb2669cb5c81e9daafbc2ed5da79b4f6ec0a83c880cad59137881d	92738d5c2072757d36ef8e2c0400555119859c94302be45628cfb930169a836e	2e67d2bbba7001dee04138f3c6ebae4c938d0247823adee1d07eadced28eaec7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3c10580ca1dcp-36	-0x1.f363d4c74aa66p-36	-0x1.f3c10580ca1dcp-36	-0x1.f363d4c74aa66p-36	true	true
104	52	D4	U07-0000000099_S08-0000000164	53	3	4	NA	NA	7	99	8	164	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3115	736e8f8625d37b72d9b8e8d955fa50eb01e2a263566a952447eaaeedbf1b9c46	cba58e7d19eb2669cb5c81e9daafbc2ed5da79b4f6ec0a83c880cad59137881d	08aca6bb8cdb8b8672365ddb9ec3a4b6aed98186efbc394d753088b2d9ef1f54	f4a4d07579ff2e748d0156e04ab59cdedc6ba5d2724ba066296b1d0d83505f27	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3c11949d26fap-36	-0x1.f363c1018db36p-36	-0x1.f3c11949d26fap-36	-0x1.f363c1018db36p-36	true	true
105	53	D4	U07-0000000099_S08-0000000165	54	3	5	NA	NA	7	99	8	165	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3177	7623e1462dc703320bb03aa343a9b73cea7be9bae7d9e5b969ef59f7041c2e0f	e452af6d369208a7ad0a9dd7880fab7c266033d6137b733f362e76c91ab2888b	77eee6e615e6015f8744742a65d22c479ce85000d00be4b7514d3635ee7b8ad9	1ab3562a8968dc45d461e592a12118b79038d50b2d40b3d597aae9ac0fc86068	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3a4c19f43bfp-36	-0x1.f34794c70adf9p-36	-0x1.f3a4c19f43bfp-36	-0x1.f34794c70adf9p-36	true	true
106	53	D4	U07-0000000099_S08-0000000165	54	3	5	NA	NA	7	99	8	165	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3086	7623e1462dc703320bb03aa343a9b73cea7be9bae7d9e5b969ef59f7041c2e0f	e452af6d369208a7ad0a9dd7880fab7c266033d6137b733f362e76c91ab2888b	03d5473c740efc1d24dccdc9c8e1c301bedaf30ae569f4f508d44b8ae37ba9fe	65b21c084bbb699f38e2d33a87076b5f037b3e3e1e9dc478f909986a377e8ae8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3a4d5677fa64p-36	-0x1.f347810218064p-36	-0x1.f3a4d5677fa64p-36	-0x1.f347810218064p-36	true	true
107	54	D4	U07-0000000099_S08-0000000166	55	3	6	NA	NA	7	99	8	166	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3182	9317d71e440057198d67801bc2a4354eb8e9a1fddbadf36d6b8a49dab7d927f5	d8c240db033295699cf096aeea7dffdf00cb7bb49288ec54d488982d3470e767	ec8cb0f09fe9109d903d76b3b5384101c36c4459cd7363a2adf048d6dfbdff71	e137e7478b52cc5b99b0e9ba771a820c204817e2af070211f3ab98e108b2ec4b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3887e8a51401p-36	-0x1.f32b5592bd0cp-36	-0x1.f3887e8a51401p-36	-0x1.f32b5592bd0cp-36	true	true
108	54	D4	U07-0000000099_S08-0000000166	55	3	6	NA	NA	7	99	8	166	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3073	9317d71e440057198d67801bc2a4354eb8e9a1fddbadf36d6b8a49dab7d927f5	d8c240db033295699cf096aeea7dffdf00cb7bb49288ec54d488982d3470e767	577f6bad1c787988e73c9bcc8e2eb0f7bfef4a172c324356f413e7b99a6afe9f	89affe05e943fd46c52edaad34670be78cdcdba13fb45d2e849c97387eaf854e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f38892523603dp-36	-0x1.f32b41ce20f9ep-36	-0x1.f38892523603dp-36	-0x1.f32b41ce20f9ep-36	true	true
109	55	D4	U07-0000000099_S08-0000000167	56	3	7	NA	NA	7	99	8	167	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3162	e94b57adf412a4e6d996cb8fde2ae7381f60277b3679beea7cb917d45f839c29	be7c4b9d99b2180b758c6d2ba56a3ac02c750bf980fc8606ab5b3bf77ffed05f	dbfe69dfaf830fb0b51fd7aa59997ff32f6e64744528b43c41b78a4f56310a19	addb064f201fc279d4ea202cb24e96c1afd404bc28af0facef990d002418bee1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f36c3c41a9ecfp-36	-0x1.f30f172a9ff0ap-36	-0x1.f36c3c41a9ecfp-36	-0x1.f30f172a9ff0ap-36	true	true
110	55	D4	U07-0000000099_S08-0000000167	56	3	7	NA	NA	7	99	8	167	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3106	e94b57adf412a4e6d996cb8fde2ae7381f60277b3679beea7cb917d45f839c29	be7c4b9d99b2180b758c6d2ba56a3ac02c750bf980fc8606ab5b3bf77ffed05f	cbf5c9d5d05ed87e2a978f7be57d4f87c2e16963fb3edf5cfe0e9d886238d9ec	d543a6e09784fd6c6b9df2d4690a3823840ec24f2abf2af6983b2f0855ae5bce	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f36c50093693ep-36	-0x1.f30f03665dcccp-36	-0x1.f36c50093693ep-36	-0x1.f30f03665dcccp-36	true	true
111	56	D4	U07-0000000099_S08-0000000168	57	3	8	NA	NA	7	99	8	168	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3178	1335bedf82c58300302d1739b35941938ca0995e56965f489dbb21539c04299b	833c08159c5d0f19b684bc9c912fcef1cda03c0d07aa9c4e73cf9cc7f633c5ac	2af359d1d81bb0e787dbec03092b2350880684c1cdbd21b863b651403af5c5cd	bd0afb1a1b4205f084993f468210cfdaf88a9eeb87e909b9b5b25ebe481de71f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f34ffac5962c9p-36	-0x1.f2f2d98e66a6dp-36	-0x1.f34ffac5962c9p-36	-0x1.f2f2d98e66a6dp-36	true	true
112	56	D4	U07-0000000099_S08-0000000168	57	3	8	NA	NA	7	99	8	168	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3080	1335bedf82c58300302d1739b35941938ca0995e56965f489dbb21539c04299b	833c08159c5d0f19b684bc9c912fcef1cda03c0d07aa9c4e73cf9cc7f633c5ac	840632cb772f8b75adb602f44034de1e7ac71de792a7ed374beb6d4658a01487	d6f29d18a80835e8f2292b90acef59177911c27ae7ec9bcd8d078c1219324349	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3500e8c8044fp-36	-0x1.f2f2c5cac4fdap-36	-0x1.f3500e8c8044fp-36	-0x1.f2f2c5cac4fdap-36	true	true
113	57	D4	U07-0000000099_S08-0000000169	58	3	9	NA	NA	7	99	8	169	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3156	69643aa7bdda7f076ff6c75904c3d24b12c062c006665872982ae64f78b1d297	e5efac68c5ac584c1736e59d3a451dd980986ac8954dcce3db8791c6b5c20e19	c79ab2b0de545ad6bc6b066edc42e2692a0c761a5c89284812566c60a07f6265	232c75720b193204b4379ae0903a893b7990b286d37d01087990eed057d7529a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f333ba15910efp-36	-0x1.f2d69cbe85595p-36	-0x1.f333ba15910efp-36	-0x1.f2d69cbe85595p-36	true	true
114	57	D4	U07-0000000099_S08-0000000169	58	3	9	NA	NA	7	99	8	169	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3058	69643aa7bdda7f076ff6c75904c3d24b12c062c006665872982ae64f78b1d297	e5efac68c5ac584c1736e59d3a451dd980986ac8954dcce3db8791c6b5c20e19	0e54cddbafa17a66dbc58a691f29451c5ac0fefb8bd489ce6e95dc4bb1046537	212294bb5ca1ad4c2910ec81d996a43960396daba703d0c4bcfa8ebdc6593211	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f333cddc0d0ap-36	-0x1.f2d688fb52a42p-36	-0x1.f333cddc0d0ap-36	-0x1.f2d688fb52a42p-36	true	true
115	58	D4	U07-0000000099_S08-0000000170	59	3	10	NA	NA	7	99	8	170	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3169	1f72aaed81f8fb839222cf1008a67ce49fa27ef74f36fbe57781a6559ba07a7b	fa8708c1244ac9ebe1dedfc60b78da87f739f529ec293e65b7b70b2f25a68f87	4e91d4f97c5cb35dd046dd01bcdaf41e3ce9c9790ef98a76cc917e69a400903a	a46dbb5f43177914a7cd4c9d78cf9eb928836ebe4ca4c41f2551ba3981e10260	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3177a31f24bp-36	-0x1.f2ba60ba9cb37p-36	-0x1.f3177a31f24bp-36	-0x1.f2ba60ba9cb37p-36	true	true
116	58	D4	U07-0000000099_S08-0000000170	59	3	10	NA	NA	7	99	8	170	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3049	1f72aaed81f8fb839222cf1008a67ce49fa27ef74f36fbe57781a6559ba07a7b	fa8708c1244ac9ebe1dedfc60b78da87f739f529ec293e65b7b70b2f25a68f87	f4d2314b5f042e58127d7045906a16c5a3afa397e6e38d580fa7b1b63ca6ac45	2dca02c7e2472110b78debc2b29167c0b0748e77f7bf0fcf97630c4ba1e973a7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3178df80935cp-36	-0x1.f2ba4cf7d0a47p-36	-0x1.f3178df80935cp-36	-0x1.f2ba4cf7d0a47p-36	true	true
117	59	D4	U07-0000000099_S08-0000000171	60	3	11	NA	NA	7	99	8	171	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3185	d460fc56163874f8054f78be51e33abfe08f640dc901632a1661cfa00e3e98b7	f5193ef0ed2174b403512be363c95a31e2837b32eb83cf590ef5486a639d0ca3	4cb4f2e4c6904c7c732839ccbe67a23605136fbd9c7d3c97034a90f247ded968	3f000779f2c9ef6bafea683aa51af56e67c31bc29587cd274ef797c2c21a04e7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2fb3b1a92b49p-36	-0x1.f29e2582cc0fdp-36	-0x1.f2fb3b1a92b49p-36	-0x1.f29e2582cc0fdp-36	true	true
118	59	D4	U07-0000000099_S08-0000000171	60	3	11	NA	NA	7	99	8	171	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3075	d460fc56163874f8054f78be51e33abfe08f640dc901632a1661cfa00e3e98b7	f5193ef0ed2174b403512be363c95a31e2837b32eb83cf590ef5486a639d0ca3	3077628c082682cf1795206cb85f605e0c5efcf1b9e96fa81026ac74a4cf4b80	565e7aa0b5ef3ab5a2f0c6cbaba38605366da178f5c719b60d2768cb0d49476e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2fb4ee05e955p-36	-0x1.f29e11c04a358p-36	-0x1.f2fb4ee05e955p-36	-0x1.f29e11c04a358p-36	true	true
119	60	D4	U07-0000000099_S08-0000000172	61	3	12	NA	NA	7	99	8	172	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3165	f19e9022ae8839f06446d5b8ab6a9beae0cd02da52dbb16167706e233d0dfda6	a5b38235d9777eb578fd70f3eaa460f888e396f3065f69437f469c6bea42e70e	ac8e8eba70b66cab8dbb73a55182b555f3f566eb63d1973037227001fcf89fc5	2de33081b27af766f51739b9dc01d51b7a2404f4d4d4b637be25f3905e0df92a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2defccf9bd4ep-36	-0x1.f281eb16ddf14p-36	-0x1.f2defccf9bd4ep-36	-0x1.f281eb16ddf14p-36	true	true
120	60	D4	U07-0000000099_S08-0000000172	61	3	12	NA	NA	7	99	8	172	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3101	f19e9022ae8839f06446d5b8ab6a9beae0cd02da52dbb16167706e233d0dfda6	a5b38235d9777eb578fd70f3eaa460f888e396f3065f69437f469c6bea42e70e	7ab54a2d8869c33b509c163cf4e080a7fe7da03ab41cb6ff2d6f4e6c35662152	eb695e207b29494784969745554cff69f713d3cff55a4e5ac78781cbe1284377	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2df1094ecce9p-36	-0x1.f281d754d6c7p-36	-0x1.f2df1094ecce9p-36	-0x1.f281d754d6c7p-36	true	true
121	61	D4	U07-0000000099_S08-0000000173	62	3	13	NA	NA	7	99	8	173	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3275	f5b2b42db973aea092721fdc5bf012f2a6eb489aa5ccb967c0380dcf976bd2c4	e19a80a15c7d2126674f10534ca78edb9282787504e89e9d1d1f13cab78b54ff	8f27f3b94d870258a7ecacd92683a8538d1747d96fe1e928d052c5013f7dd0ed	72bacb54cefac8e68ee2f75b80b96a719c8a5d22612a976cafd53e092a8c896f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2c2bf57d3cf2p-36	-0x1.f265b16fccf35p-36	-0x1.f2c2bf57d3cf2p-36	-0x1.f265b16fccf35p-36	true	true
122	61	D4	U07-0000000099_S08-0000000173	62	3	13	NA	NA	7	99	8	173	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3064	f5b2b42db973aea092721fdc5bf012f2a6eb489aa5ccb967c0380dcf976bd2c4	e19a80a15c7d2126674f10534ca78edb9282787504e89e9d1d1f13cab78b54ff	e794d313d153a46775f65be3638941993488b64785676c535931f0a2e9237c55	2f4fb0e43288573d747bb464a47808860d6b7cc41a848f3b914a45e8cb17c3ee	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2c2d31d123f3p-36	-0x1.f2659dadd73d5p-36	-0x1.f2c2d31d123f3p-36	-0x1.f2659dadd73d5p-36	true	true
123	62	D4	U07-0000000099_S08-0000000174	63	3	14	NA	NA	7	99	8	174	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3168	4ee381fd7ed4e8aa388f5e459ab0e7db9809675e4c94e366e9f4c3a9d9500831	dcdb7880388f51f1813d6e9bd04fd38d07b52f1ea01befbcb8886a340cc5b80c	a4549cc4cf325958088fd90e945392af52fa15512941c403fcd5326e09cecd12	e6d3e49e0b37b9772be7cb193aee3f3d2e707d9ac3281b29221da05297cf288c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2a682a507d9fp-36	-0x1.f249789c2b29ep-36	-0x1.f2a682a507d9fp-36	-0x1.f249789c2b29ep-36	true	true
124	62	D4	U07-0000000099_S08-0000000174	63	3	14	NA	NA	7	99	8	174	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3085	4ee381fd7ed4e8aa388f5e459ab0e7db9809675e4c94e366e9f4c3a9d9500831	dcdb7880388f51f1813d6e9bd04fd38d07b52f1ea01befbcb8886a340cc5b80c	5e4d21f632228666eb741ffae5613500d161e33d2c5bbacdd60c267af0a721ff	0d04bd81e5bfb450f09d5956dc80a8af5716d4322fbb9d00926ea12dd091e61c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2a69669fd7dcp-36	-0x1.f24964da7dc92p-36	-0x1.f2a69669fd7dcp-36	-0x1.f24964da7dc92p-36	true	true
125	63	D4	U07-0000000099_S08-0000000175	64	3	15	NA	NA	7	99	8	175	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3219	819935da14e464f8e8fa28cc1b3c3bc1b4ee485fd4d53c685627c2bcab2801e8	faae10ef2a163ce2fd796f229afac5a8cec7fdb972764e696963bc1ee1a25a23	528d5f5ad21844e601a4fb9b7fc61a8a822b28bf10e8c8d7f76026448e3ac04c	223f386edad7ab874602030c1fc54c326e7776965f71c1761fc321f3afedd335	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f28a46bec13edp-36	-0x1.f22d4094301bep-36	-0x1.f28a46bec13edp-36	-0x1.f22d4094301bep-36	true	true
126	63	D4	U07-0000000099_S08-0000000175	64	3	15	NA	NA	7	99	8	175	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3076	819935da14e464f8e8fa28cc1b3c3bc1b4ee485fd4d53c685627c2bcab2801e8	faae10ef2a163ce2fd796f229afac5a8cec7fdb972764e696963bc1ee1a25a23	7c50961a1add87ed3ad11d690244bd50294509e377e294264061b37580bc9fc6	2ac39e98b9ef3ab07540e92d292f72f3e9546585f5ef52b0b570b00e3bf486f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f28a5a8308257p-36	-0x1.f22d2cd3327e8p-36	-0x1.f28a5a8308257p-36	-0x1.f22d2cd3327e8p-36	true	true
127	64	D4	U07-0000000100_S08-0000000161	66	4	1	NA	NA	7	100	8	161	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3214	ad2b2ef9eab5c7cb4a5ab6189a80721a830c1e5f206eaacfea03981001bb4aab	7b3cddb3e941c2afeaeadf29d88819321dbff81e187a92938d49cd0c4b63dc62	002b8f557695807a5963d77ec284ac9059e96232a14b93ce4fc0c6305febe4c5	73015410cf368a9605e53f1b6772816f5cfd437504cad7f218239078638cb6d6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f412428a20336p-36	-0x1.f3b5066cc3362p-36	-0x1.f412428a20336p-36	-0x1.f3b5066cc3362p-36	true	true
128	64	D4	U07-0000000100_S08-0000000161	66	4	1	NA	NA	7	100	8	161	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3086	ad2b2ef9eab5c7cb4a5ab6189a80721a830c1e5f206eaacfea03981001bb4aab	7b3cddb3e941c2afeaeadf29d88819321dbff81e187a92938d49cd0c4b63dc62	c0ba9544b70e8f9f9f5760dd509a7ff71eacc0a5e5ac3a02e8423aeae42b0caf	750d210d41d0467069bf73617589fe405a14989f3b72872a4c6a0167624702a3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f41256545846p-36	-0x1.f3b4f2a5d4f41p-36	-0x1.f41256545846p-36	-0x1.f3b4f2a5d4f41p-36	true	true
129	65	D4	U07-0000000100_S08-0000000162	67	4	2	NA	NA	7	100	8	162	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3197	f7c45f7ec625807ab4f1c08d2652f5f92cbfc859611083e24b05d78c8c0fca59	c95d7222b5c2be19a211025e999425f06bda4602a318833bbd68afc950613c08	66f523d9173264be91aedf6e4dee2b830027beab0f41070c7479e4adda7cea0f	c982c3b90dc70efec2ef54e47d027b42af205481a6d454fc11dc0f408e496377	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3f5fc69a1412p-36	-0x1.f398c42d32017p-36	-0x1.f3f5fc69a1412p-36	-0x1.f398c42d32017p-36	true	true
130	65	D4	U07-0000000100_S08-0000000162	67	4	2	NA	NA	7	100	8	162	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3095	f7c45f7ec625807ab4f1c08d2652f5f92cbfc859611083e24b05d78c8c0fca59	c95d7222b5c2be19a211025e999425f06bda4602a318833bbd68afc950613c08	83eff6e1e65bf1fd051eb0e610caece3c36dd9b48456aee93b23411d90f091c5	3fa6377e8a233d0bd462303b243c1bbb2ceb24dd3881564363ab36649fe9ef84	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3f610335cc63p-36	-0x1.f398b066c0b1ap-36	-0x1.f3f610335cc63p-36	-0x1.f398b066c0b1ap-36	true	true
