ATTEMPT_INDEX	LEAF_INDEX	LAYER	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	DEPTH4_U_OFFSET	DEPTH4_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	LEGACY_CERTIFICATE_PASS	TERMINAL_CERTIFIED	STRUCTURAL_PASS	HOMOGENEOUS_COMPUTATION_VALID	PROBE_PASS	LIOUVILLE_LOWER	LIOUVILLE_UPPER	JOINT_LOWER	JOINT_UPPER	JOINT_EQUALS_LIOUVILLE	EPISTEMIC_CERTIFICATE_PASS
11	6	D4	U07-0000000096_S08-0000000165	6	0	5	NA	NA	7	96	8	165	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3143	3ba4f893bdf8b31e860d1f8cd06db9c7e68fefee1ee4c0fb66332cdb9f7df0c0	c4e89a1bc408b7ae678e2d82a555bb5a66623339afa1db6bdaabf84dc0e69332	407d02e22c6ffa42e1c1fb2d915f3b6fe5b5e122e722566813349d38ec29be2f	018be70b562acd2390687a6a2e6e9c3cab2349995d6704d7c5c730c30621bf1b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3af79f20cec9p-36	-0x1.f3524c5d3266bp-36	-0x1.f3af79f20cec9p-36	-0x1.f3524c5d3266bp-36	true	true
12	6	D4	U07-0000000096_S08-0000000165	6	0	5	NA	NA	7	96	8	165	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3060	3ba4f893bdf8b31e860d1f8cd06db9c7e68fefee1ee4c0fb66332cdb9f7df0c0	c4e89a1bc408b7ae678e2d82a555bb5a66623339afa1db6bdaabf84dc0e69332	a8b306e5bc18c6cab9b6f806eda5e41a737e1b9796353ea0e5a9de580c4e0e32	3288f7dff480c2789a9ac1a9a4db1d1cf60b13ccd0df1dd95f7cfe45af746da6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3af8dba99ae7p-36	-0x1.f3523897eeb96p-36	-0x1.f3af8dba99ae7p-36	-0x1.f3523897eeb96p-36	true	true
13	7	D4	U07-0000000096_S08-0000000166	7	0	6	NA	NA	7	96	8	166	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3154	404f5f8e96592aa19981fd1c044b7b7e3783bc3c9fa5e715ba25b5a72f681b6e	071f494a5f62933750cec208b8f3f4442277d9cfacfa0a0dbabc147cf273c8b6	9c6d335c57d845b9e9fe8751454f6e0326b3f06187feae6c88d25d4037ddf7df	0d191b9d52dfef15124eff571884a746585dc0195de80318a9b7d9e7d1ec85f2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f393366bcf137p-36	-0x1.f3360cb78deccp-36	-0x1.f393366bcf137p-36	-0x1.f3360cb78deccp-36	true	true
14	7	D4	U07-0000000096_S08-0000000166	7	0	6	NA	NA	7	96	8	166	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3061	404f5f8e96592aa19981fd1c044b7b7e3783bc3c9fa5e715ba25b5a72f681b6e	071f494a5f62933750cec208b8f3f4442277d9cfacfa0a0dbabc147cf273c8b6	8530dba859c4e2b0d25a37e7c10b9dd02e4b35785d901960feae7dd7a46fa987	e6f4c7bee0a6181982adcd8c8a6ef2d28feb0e14eba953156ba1b5e6d1bf2736	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3934a341061p-36	-0x1.f335f8f294aa6p-36	-0x1.f3934a341061p-36	-0x1.f335f8f294aa6p-36	true	true
15	8	D4	U07-0000000096_S08-0000000167	8	0	7	NA	NA	7	96	8	167	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3151	6a1ce978ba7ac7c806dde196c31b9ea30c3ee655378532b2ff72579c78ab3b39	657d095ca49102277d50b8ada7623f1ef5e98aa98b0d5963b7a98244ad516426	01f8c6669648eb0d2823fafe72d033b5019139221cf881a860aa35afefc253aa	0c6f4ec9ec42d0273f045c2f6baca1237f5fdf899ff582249df184186e43a5d2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f376f3b213b1bp-36	-0x1.f319cddde217dp-36	-0x1.f376f3b213b1bp-36	-0x1.f319cddde217dp-36	true	true
16	8	D4	U07-0000000096_S08-0000000167	8	0	7	NA	NA	7	96	8	167	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3048	6a1ce978ba7ac7c806dde196c31b9ea30c3ee655378532b2ff72579c78ab3b39	657d095ca49102277d50b8ada7623f1ef5e98aa98b0d5963b7a98244ad516426	006464d08b306be2435d435f06e50773785ff8490fa4af9993d6bb4684b5fc79	bbadb13c8ea94213686c5d2dd74a067b2fc16d01482124c40027a466dac3c894	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3770779d59cap-36	-0x1.f319ba1969ba3p-36	-0x1.f3770779d59cap-36	-0x1.f319ba1969ba3p-36	true	true
17	9	D4	U07-0000000096_S08-0000000168	9	0	8	NA	NA	7	96	8	168	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3137	af91626caa1486fb162f5f05ef97bf71b7bea08b0751648de308a60567b98296	6d41fae796ffbce1fabf61e7d0642f416805767c408f53963099fd7c6141bb12	5add8274ba94751a5b26d238ae363f0c7f15a4d9892c9e782e0e6471dff6d51e	ffe9637aa6d4c52e6d6a180ffc4b88d9997200e084d001e0b80bcfb25bd3ed56	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f35ab1bcf80eep-36	-0x1.f2fd8fd84657fp-36	-0x1.f35ab1bcf80eep-36	-0x1.f2fd8fd84657fp-36	true	true
18	9	D4	U07-0000000096_S08-0000000168	9	0	8	NA	NA	7	96	8	168	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3067	af91626caa1486fb162f5f05ef97bf71b7bea08b0751648de308a60567b98296	6d41fae796ffbce1fabf61e7d0642f416805767c408f53963099fd7c6141bb12	3a84fd24e617cb7acabc50bdf6b285bec4469680049b35499960690aa6fcda69	c16b4bd65a64afb5115d1cce27cd4b484c673b4e9094941a26ef1b2bb44425a8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f35ac5843cc65p-36	-0x1.f2fd7c144a64bp-36	-0x1.f35ac5843cc65p-36	-0x1.f2fd7c144a64bp-36	true	true
19	10	D4	U07-0000000096_S08-0000000169	10	0	9	NA	NA	7	96	8	169	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3160	50dc2c6e570a950d4933c2f2e89fdbb8d7e111800c3258b56eddde95d7524b4c	5e78a7fa4f7aa033cc808e7b0cba5fbe332a9677b29937347c2213bdbd028055	37d3d3b36933eaa331f7400e27833567e0fa521c6727b3a26e1ff3e9bb834f96	963f70e058089a8447b12a4b4e66fe2f9e0c37bf83adca8090f63c040e077575	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f33e709bcc645p-36	-0x1.f2e15296e97b4p-36	-0x1.f33e709bcc645p-36	-0x1.f2e15296e97b4p-36	true	true
20	10	D4	U07-0000000096_S08-0000000169	10	0	9	NA	NA	7	96	8	169	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3068	50dc2c6e570a950d4933c2f2e89fdbb8d7e111800c3258b56eddde95d7524b4c	5e78a7fa4f7aa033cc808e7b0cba5fbe332a9677b29937347c2213bdbd028055	3085a123ea1caea4d748dccf8f7dd46eda4309be41e8aba2b59dd1c18397937e	a70a7bbb82ae60735ac616fff8e427303d920fb28fbec7c453d8cde934b3ade3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f33e84628a1c6p-36	-0x1.f2e13ed374fbep-36	-0x1.f33e84628a1c6p-36	-0x1.f2e13ed374fbep-36	true	true
