model	seed	site	subjects	accuracy_pct	balanced_accuracy_pct	macro_f1_pct	auroc_pct	brier	ece_pct	assoc_mean
H-SSM	12321	UM_1	6	50.0	50.0	33.333333	0.0	0.25634603	7.9662	0.0
H-SSM	12321	UM_2	4	50.0	50.0	33.333333	0.0	0.26007032	10.0351	0.0
H-SSM	12321	USM	6	50.0	50.0	33.333333	0.0	0.2514741	3.8394	0.0
H-SSM	12321	YALE	6	50.0	50.0	33.333333	0.0	0.25000735	0.2712	0.0
H-SSM	13579	CALTECH	4	50.0	50.0	33.333333	0.0	0.25324535	5.6968	0.0
H-SSM	13579	CMU	4	50.0	50.0	33.333333	0.0	0.27985258	17.2779	0.0
H-SSM	13579	KKI	6	50.0	50.0	33.333333	0.0	0.31337101	25.1736	0.0
H-SSM	13579	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.28285156	18.125	0.0
H-SSM	13579	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.28554318	18.8529	0.0
H-SSM	13579	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.28260119	18.0558	0.0
H-SSM	13579	NYU	6	50.0	50.0	33.333333	0.0	0.30069162	22.5148	0.0
H-SSM	13579	OHSU	4	50.0	50.0	33.333333	0.0	0.263067	11.4311	0.0
H-SSM	13579	OLIN	4	50.0	50.0	33.333333	0.0	0.25256137	5.061	0.0
H-SSM	13579	PITT	6	50.0	50.0	33.333333	0.0	0.25986605	9.9328	0.0
H-SSM	13579	SBL	4	50.0	50.0	33.333333	0.0	0.25191179	4.3724	0.0
H-SSM	13579	SDSU	4	50.0	50.0	33.333333	0.0	0.27104908	14.5083	0.0
H-SSM	13579	STANFORD	6	50.0	50.0	33.333333	0.0	0.2504061	2.0152	0.0
H-SSM	13579	TRINITY	6	50.0	50.0	33.333333	0.0	0.25612745	7.8278	0.0
H-SSM	13579	UCLA_1	6	50.0	50.0	33.333333	0.0	0.25009461	0.9727	0.0
H-SSM	13579	UCLA_2	4	50.0	50.0	33.333333	0.0	0.27828283	16.8175	0.0
H-SSM	13579	UM_1	6	50.0	50.0	33.333333	0.0	0.26101072	10.4932	0.0
H-SSM	13579	UM_2	4	50.0	50.0	33.333333	0.0	0.26316756	11.475	0.0
H-SSM	13579	USM	6	50.0	50.0	33.333333	0.0	0.25003014	0.549	0.0
H-SSM	13579	YALE	6	50.0	50.0	33.333333	0.0	0.25510739	7.1466	0.0
H-SSM	22222	CALTECH	4	50.0	50.0	33.333333	0.0	0.27303595	15.1776	0.0
H-SSM	22222	CMU	4	50.0	50.0	33.333333	0.0	0.25988732	9.9435	0.0
H-SSM	22222	KKI	6	50.0	50.0	33.333333	0.0	0.26178571	10.8562	0.0
H-SSM	22222	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.27461761	15.69	0.0
H-SSM	22222	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.28769772	19.4159	0.0
H-SSM	22222	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.28617452	19.0196	0.0
H-SSM	22222	NYU	6	50.0	50.0	33.333333	0.0	0.27378628	15.4228	0.0
H-SSM	22222	OHSU	4	50.0	50.0	33.333333	0.0	0.25397656	6.306	0.0
H-SSM	22222	OLIN	4	50.0	50.0	33.333333	0.0	0.3192153	26.3088	0.0
H-SSM	22222	PITT	6	50.0	50.0	33.333333	0.0	0.27149244	14.6603	0.0
H-SSM	22222	SBL	4	50.0	50.0	33.333333	0.0	0.25632979	7.956	0.0
H-SSM	22222	SDSU	4	50.0	50.0	33.333333	0.0	0.25853462	9.2383	0.0
H-SSM	22222	STANFORD	6	50.0	50.0	33.333333	0.0	0.27463801	15.6965	0.0
H-SSM	22222	TRINITY	6	50.0	50.0	33.333333	0.0	0.25030224	1.7385	0.0
H-SSM	22222	UCLA_1	6	50.0	50.0	33.333333	0.0	0.27832556	16.8302	0.0
H-SSM	22222	UCLA_2	4	50.0	50.0	33.333333	0.0	0.26354035	11.6363	0.0
H-SSM	22222	UM_1	6	50.0	50.0	33.333333	0.0	0.25139338	3.7328	0.0
H-SSM	22222	UM_2	4	50.0	50.0	33.333333	0.0	0.25423788	6.5099	0.0
H-SSM	22222	USM	6	50.0	50.0	33.333333	0.0	0.27920066	17.0882	0.0
H-SSM	22222	YALE	6	50.0	50.0	33.333333	0.0	0.25967154	9.8344	0.0
H-SSM	24680	CALTECH	4	50.0	50.0	33.333333	0.0	0.2668948	12.998	0.0
H-SSM	24680	CMU	4	50.0	50.0	33.333333	0.0	0.29526809	21.2763	0.0
H-SSM	24680	KKI	6	50.0	50.0	33.333333	0.0	0.27162606	14.7058	0.0
H-SSM	24680	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.25364466	6.0371	0.0
H-SSM	24680	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.25637059	7.9816	0.0
H-SSM	24680	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.27956887	17.1956	0.0
H-SSM	24680	NYU	6	50.0	50.0	33.333333	0.0	0.25830267	9.1119	0.0
H-SSM	24680	OHSU	4	50.0	50.0	33.333333	0.0	0.25350665	5.9217	0.0
H-SSM	24680	OLIN	4	50.0	50.0	33.333333	0.0	0.30203782	22.8118	0.0
H-SSM	24680	PITT	6	50.0	50.0	33.333333	0.0	0.25060359	2.4568	0.0
H-SSM	24680	SBL	4	50.0	50.0	33.333333	0.0	0.26268619	11.2633	0.0
H-SSM	24680	SDSU	4	50.0	50.0	33.333333	0.0	0.25450107	6.709	0.0
H-SSM	24680	STANFORD	6	50.0	50.0	33.333333	0.0	0.28424239	18.5047	0.0
H-SSM	24680	TRINITY	6	50.0	50.0	33.333333	0.0	0.28584926	18.9339	0.0
H-SSM	24680	UCLA_1	6	50.0	50.0	33.333333	0.0	0.25261561	5.1143	0.0
H-SSM	24680	UCLA_2	4	50.0	50.0	33.333333	0.0	0.25095111	3.084	0.0
H-SSM	24680	UM_1	6	50.0	50.0	33.333333	0.0	0.25729606	8.5417	0.0
H-SSM	24680	UM_2	4	50.0	50.0	33.333333	0.0	0.25667375	8.1693	0.0
H-SSM	24680	USM	6	50.0	50.0	33.333333	0.0	0.27010015	14.1775	0.0
H-SSM	24680	YALE	6	50.0	50.0	33.333333	0.0	0.30083447	22.5465	0.0
H-SSM	27182	CALTECH	4	50.0	50.0	33.333333	0.0	0.29363503	20.889	0.0
H-SSM	27182	CMU	4	50.0	50.0	33.333333	0.0	0.26058306	10.2874	0.0
H-SSM	27182	KKI	6	50.0	50.0	33.333333	0.0	0.2671998	13.1148	0.0
H-SSM	27182	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.26647013	12.8336	0.0
H-SSM	27182	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.25176787	4.2046	0.0
H-SSM	27182	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.28963245	19.9079	0.0
H-SSM	27182	NYU	6	50.0	50.0	33.333333	0.0	0.30394796	23.2267	0.0
H-SSM	27182	OHSU	4	50.0	50.0	33.333333	0.0	0.25427206	6.5361	0.0
H-SSM	27182	OLIN	4	50.0	50.0	33.333333	0.0	0.25043606	2.0882	0.0
H-SSM	27182	PITT	6	50.0	50.0	33.333333	0.0	0.27187352	14.7897	0.0
H-SSM	27182	SBL	4	50.0	50.0	33.333333	0.0	0.25006737	0.8208	0.0
H-SSM	27182	SDSU	4	50.0	50.0	33.333333	0.0	0.27508993	15.8398	0.0
H-SSM	27182	STANFORD	6	50.0	50.0	33.333333	0.0	0.26623484	12.7416	0.0
H-SSM	27182	TRINITY	6	50.0	50.0	33.333333	0.0	0.25305997	5.5317	0.0
