null	N	n_dip_sig_p05	p_combined_dip	n_spike_sig_p05	p_combined_spike	chi2_dip	chi2_spike	df
iid	24	1	0.5991901856723428	3	0.0123205276478921	44.93509963471847	72.6565235014947	48
circular	24	1	0.37418719690102376	4	8.995332084776708e-05	50.521404845575546	93.62370494383634	48
block	24	1	0.676578884601826	3	0.03072801912277356	43.0211578482583	67.91072039151193	48
