file	a_compile	nv2_compile	a_run	nv2_run	stdout_match	exit_match	category
examples/epistemic/knowledge_units.sio	1	3	-	-	-	-	both_fail
examples/epistemic/coverage_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/causal_demo.sio	0	3	0	-	-	-	nv2_compile
examples/epistemic/prov_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/invariants_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/montecarlo_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/proptest_demo.sio	0	3	0	-	-	-	nv2_compile
examples/epistemic/roi_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/interval_ieee_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/policy_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/pce_demo.sio	1	3	-	-	-	-	both_fail
examples/epistemic/autodiff_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/sobol_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/traceability_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/core_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/fusion_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/budget_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/stats_demo.sio	0	3	0	-	-	-	nv2_compile
examples/epistemic/gum_demo.sio	0	3	0	-	-	-	nv2_compile
examples/epistemic/combine_demo.sio	0	3	0	-	-	-	nv2_compile
examples/epistemic/ledger_demo.sio	0	3	1	-	-	-	nv2_compile
examples/epistemic/refutation_demo.sio	0	3	124	-	-	-	nv2_compile
examples/epistemic/dual_check_demo.sio	0	3	1	-	-	-	nv2_compile
examples/graphics/lib/10_axes.sio	0	3	0	-	-	-	nv2_compile
examples/graphics/lib/01_colors.sio	0	3	0	-	-	-	nv2_compile
examples/graphics/lib/00_canvas_simple.sio	0	3	0	-	-	-	nv2_compile
examples/graphics/lib/51_bifurcation.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/62_tree_layout.sio	0	3	0	-	-	-	nv2_compile
examples/graphics/lib/13_bar_chart.sio	0	3	0	-	-	-	nv2_compile
examples/graphics/lib/53_streamlines.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/15_heatmap.sio	0	3	0	-	-	-	nv2_compile
examples/graphics/lib/30_input.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/40_animation.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/21_wireframe.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/03_text.sio	0	3	0	-	-	-	nv2_compile
examples/graphics/lib/23_scatter3d.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/42_fluid_sim.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/14_histogram.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/31_interactive_plot.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/61_force_directed.sio	0	3	139	-	-	-	nv2_compile
examples/graphics/lib/52_poincare.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/50_phase_diagram.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/20_projection.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/41_particle_system.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/test_ansi.sio	1	0	-	0	-	-	a_only
examples/graphics/lib/00_canvas.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/02_drawing.sio	0	3	0	-	-	-	nv2_compile
examples/graphics/lib/63_graph_render.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/12_line_plot.sio	1	3	-	-	-	-	both_fail
examples/graphics/lib/60_graph.sio	0	3	0	-	-	-	nv2_compile
examples/graphics/lib/11_scatter.sio	1	3	-	-	-	-	both_fail
examples/graphics/demos/phase2_showcase.sio	1	3	-	-	-	-	both_fail
examples/graphics/demos/phase6_showcase.sio	1	3	-	-	-	-	both_fail
examples/graphics/demos/phase7_showcase.sio	1	3	-	-	-	-	both_fail
examples/graphics/demos/phase5_showcase.sio	1	3	-	-	-	-	both_fail
examples/graphics/demos/phase1_showcase.sio	1	3	-	-	-	-	both_fail
examples/graphics/demos/phase4_showcase.sio	1	3	-	-	-	-	both_fail
examples/graphics/demos/phase3_showcase.sio	1	3	-	-	-	-	both_fail
examples/closure_lean_test.sio	0	3	6	-	-	-	nv2_compile
examples/hello.sio	0	0	0	0	1	1	ok
examples/listops_fullbp_3way.sio	0	3	0	-	-	-	nv2_compile
examples/sedenion_hessian_brain_demo.sio	1	3	-	-	-	-	both_fail
examples/test_autodiff_transcendental.sio	1	3	-	-	-	-	both_fail
