file	a_compile	nv2_compile	a_run	nv2_run	stdout_match	exit_match	category
tests/run-pass/turbofish_native.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/matnm_test.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/while_struct_mutation_large.sio	0	0	0	0	1	1	ok
tests/run-pass/door1_box_new_array_65536.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/native_v2_branch_smoke.sio	1	0	-	0	-	-	a_only
tests/run-pass/closure_capture.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/theorem_nat_induction.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/async_spawn_syscall_pid.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/async_spawn.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/gtt_loop_topology.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/epistemic_hessian_two_arg.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/gpu_vec_scalar_ops.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/sobol_advanced.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/affine_can_drop.sio	0	0	0	0	1	1	ok
tests/run-pass/hypothesis_unregistered_warning.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/onn_basic_test.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/autodiff_forward.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/native_struct_smoke.sio	0	0	0	0	0	1	nv2_run
tests/run-pass/confidence_gate_pass.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/units.sio	0	0	0	0	1	1	ok
tests/run-pass/gum_euler_ode.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/epistemic_kernel_unary.sio	0	0	0	0	1	1	ok
tests/run-pass/effect_chain_propagation.sio	0	0	0	0	1	1	ok
tests/run-pass/clifford_spacetime.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/epistemic_hessian_of.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/import_chain_b.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/unit_same_add.sio	0	0	0	0	1	1	ok
tests/run-pass/scidata_test.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/gpu_launch_surface.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/cybernetic_proof.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/pk_uncertainty.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/prob_beta_basic.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/bitwise_not_bootstrap_regression.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/epistemic_hessian_transcendentals.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/ontology_roles_hierarchy.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/rapamycin_epistemic_pbpk.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/while_for_struct_patterns.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/gtt_if_arm_union.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/effects.sio	0	0	0	0	1	1	ok
tests/run-pass/async_stress_nested.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/ontology_property_axiom.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/oct_minimal.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/gum_reporting.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/closure_effect_checked.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/rapamycin_iso_budget.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/probability_distributions.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/dissertation_pbpk14_gum.sio	1	3	-	-	-	-	both_fail
tests/run-pass/string_len.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/closure_effect_infer.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/hello.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/epistemic_second_order_variance_sanity.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/refinement_non_zero.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/knightian_dark_matter.sio	0	3	0	-	-	-	nv2_compile
tests/run-pass/gtt_match_arm_union.sio	0	3	0	-	-	-	nv2_compile
