LAYER	ATTEMPT_INDEX	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	CARRIER	LEGACY_CERTIFICATE_PASS	STRUCTURAL_PASS	HOMOGENEOUS_COMPUTATION_VALID	PROBE_PASS	LIOUVILLE_LOWER	LIOUVILLE_UPPER	JOINT_LOWER	JOINT_UPPER	JOINT_EQUALS_LIOUVILLE	EPISTEMIC_CERTIFICATE_PASS	STDOUT_SHA256
D4	19	U07-0000000096_S08-0000000169	10	C0HORect2Set	false	true	true	true	-0x1.f33e709bcc645p-36	-0x1.f2e15296e97b4p-36	-0x1.f33e709bcc645p-36	-0x1.f2e15296e97b4p-36	true	true	7846a97e0362845d2ac825f912810dc8ce4def2494587f425ffa5c2de5b82fd5
D4	20	U07-0000000096_S08-0000000169	10	C0Rect2Set	false	true	true	true	-0x1.f33e84628a1c6p-36	-0x1.f2e13ed374fbep-36	-0x1.f33e84628a1c6p-36	-0x1.f2e13ed374fbep-36	true	true	c7645dce771982ca05e6e706999b9c3f3ff58eaebd1826cdd390a524f876c90f
D4	21	U07-0000000096_S08-0000000170	11	C0HORect2Set	false	true	true	true	-0x1.f32230470ec32p-36	-0x1.f2c516217efd7p-36	-0x1.f32230470ec32p-36	-0x1.f2c516217efd7p-36	true	true	bdf1acd8ecfb02547f59748c438fc159a3032f9099147235f2abf73ee92c2f83
D4	22	U07-0000000096_S08-0000000170	11	C0Rect2Set	false	true	true	true	-0x1.f322440d370bp-36	-0x1.f2c5025e9f9cdp-36	-0x1.f322440d370bp-36	-0x1.f2c5025e9f9cdp-36	true	true	dadfad187220157d8abe308a656bcab72c8e7a3c98dfeb9f2a0655a93c6795b6
D4	23	U07-0000000096_S08-0000000171	12	C0HORect2Set	false	true	true	true	-0x1.f305f0be766cap-36	-0x1.f2a8da7842ep-36	-0x1.f305f0be766cap-36	-0x1.f2a8da7842ep-36	true	true	7fcc18f97421c37bcdb5f99a9927ffe798cfc4ce074005a0f64f3dec40bdcb91
D4	24	U07-0000000096_S08-0000000171	12	C0Rect2Set	false	true	true	true	-0x1.f3060484504e1p-36	-0x1.f2a8c6b5b3087p-36	-0x1.f3060484504e1p-36	-0x1.f2a8c6b5b3087p-36	true	true	b0433e55eb3ba8f13046a828e4ce7c13a4fb2bf8b0d300bd213433c695f782b3
D4	25	U07-0000000096_S08-0000000172	13	C0HORect2Set	false	true	true	true	-0x1.f2e9b2026732cp-36	-0x1.f28c9f9aca17bp-36	-0x1.f2e9b2026732cp-36	-0x1.f28c9f9aca17bp-36	true	true	bbbe9038176259e71b93a4aecd85ce0c35ce7809301581e23723f98861c2642e
D4	26	U07-0000000096_S08-0000000172	13	C0Rect2Set	false	true	true	true	-0x1.f2e9c5c79fc1fp-36	-0x1.f28c8bd8db48cp-36	-0x1.f2e9c5c79fc1fp-36	-0x1.f28c8bd8db48cp-36	true	true	73d82e24cf76fce531a88dcf8b912538962c44a07765eaf50981bf5e949ad855
D4	27	U07-0000000096_S08-0000000173	14	C0HORect2Set	false	true	true	true	-0x1.f2cd7411f9e13p-36	-0x1.f2706589eff9bp-36	-0x1.f2cd7411f9e13p-36	-0x1.f2706589eff9bp-36	true	true	0a53bad801baf675e968216ab16920e013f2d8db068c05ab761b9fd413d95688
D4	28	U07-0000000096_S08-0000000173	14	C0Rect2Set	false	true	true	true	-0x1.f2cd87d71ad3bp-36	-0x1.f27051c818e53p-36	-0x1.f2cd87d71ad3bp-36	-0x1.f27051c818e53p-36	true	true	c4f6908ed3788221e0b0b5b1cbf8baab4552847780d9be3aacff58af58c6bd06
D4	29	U07-0000000096_S08-0000000174	15	C0HORect2Set	false	true	true	true	-0x1.f2b136ee35dc1p-36	-0x1.f2542c44a2b9bp-36	-0x1.f2b136ee35dc1p-36	-0x1.f2542c44a2b9bp-36	true	true	b50192796a8fb0fbb530a4da9e7a1f23bc1e283c83fa0cc8f784998c18e0c5ee
D4	30	U07-0000000096_S08-0000000174	15	C0Rect2Set	false	true	true	true	-0x1.f2b14ab2c7d57p-36	-0x1.f25418835bf37p-36	-0x1.f2b14ab2c7d57p-36	-0x1.f25418835bf37p-36	true	true	80d58a97b942081322103474c1894c3555b8378ded587ea42455a4a38a045b86
