stem	verdict	n_enums	occurrences	bridge_evidence
rawptr	same_type	5	GpuType@self-hosted/gpu/kernel_ir.sio:GpuPtr;HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypePtr;LayTypeKind@self-hosted/check/layout.sio:TkPtr;TypeExprKind@self-hosted/parser/ast.sio:TypeRawPtr;TypeKind@self-hosted/check/types.sio:TyRawPtr	self-hosted/check/check.sio: co-mentions ['TyRawPtr', 'TypeRawPtr'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/gpu/kernel_ir.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio']
recourseplan	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeRecoursePlan;TypeKind@self-hosted/check/types.sio:TyRecoursePlan	self-hosted/check/check.sio: co-mentions ['TyRecoursePlan', 'TypeRecoursePlan'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
recoursepolicy	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeRecoursePolicy;TypeKind@self-hosted/check/types.sio:TyRecoursePolicy	self-hosted/check/check.sio: co-mentions ['TyRecoursePolicy', 'TypeRecoursePolicy'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
ref	same_type	3	LayTypeKind@self-hosted/check/layout.sio:TkRef;TypeKind@self-hosted/check/types.sio:TyRef;TypeKind@self-hosted/compiler/parser.sio:Ref	self-hosted/check/check.sio: co-mentions ['Ref', 'TyRef'] layers=['self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio'] | self-hosted/check/types.sio: co-mentions ['Ref', 'TyRef'] layers=['self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio'] | self-hosted/check/layout.sio: co-mentions ['Ref', 'TkRef'] layers=['self-hosted/check/layout.sio', 'self-hosted/compiler/parser.sio']
refmut	same_type	4	LayTypeKind@self-hosted/check/layout.sio:TkMutRef;TypeExprKind@self-hosted/parser/ast.sio:TypeRefMut;TypeKind@self-hosted/check/types.sio:TyRefMut;TypeKind@self-hosted/compiler/parser.sio:RefMut	self-hosted/check/check.sio: co-mentions ['RefMut', 'TyRefMut', 'TypeRefMut'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio', 'self-hosted/parser/ast.sio'] | self-hosted/check/types.sio: co-mentions ['RefMut', 'TyRefMut'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio', 'self-hosted/parser/ast.sio'] | self-hosted/ir/lower.sio: co-mentions ['RefMut', 'TypeRefMut'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio', 'self-hosted/parser/ast.sio']
robust	same_type	3	HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeRobust;TypeExprKind@self-hosted/parser/ast.sio:TypeRobust;TypeKind@self-hosted/check/types.sio:TyRobust	self-hosted/check/check.sio: co-mentions ['TyRobust', 'TypeRobust'] layers=['self-hosted/check/types.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio']
rollbackcertificate	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeRollbackCertificate;TypeKind@self-hosted/check/types.sio:TyRollbackCertificate	self-hosted/check/check.sio: co-mentions ['TyRollbackCertificate', 'TypeRollbackCertificate'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
session	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeSession;TypeKind@self-hosted/check/types.sio:TySession	self-hosted/check/check.sio: co-mentions ['TySession', 'TypeSession'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
struct	same_type	2	HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeStruct;LayTypeKind@self-hosted/check/layout.sio:TkStruct	MANUAL_BRIDGE: HlirTypeStruct + TkStruct; layout.sio + hlir — nominal aggregate
transitionplan	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeTransitionPlan;TypeKind@self-hosted/check/types.sio:TyTransitionPlan	self-hosted/check/check.sio: co-mentions ['TyTransitionPlan', 'TypeTransitionPlan'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
transitionpolicy	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeTransitionPolicy;TypeKind@self-hosted/check/types.sio:TyTransitionPolicy	self-hosted/check/check.sio: co-mentions ['TyTransitionPolicy', 'TypeTransitionPolicy'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
tuple	same_type	5	HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeTuple;LayTypeKind@self-hosted/check/layout.sio:TkTuple;TypeExprKind@self-hosted/parser/ast.sio:TypeTuple;TypeKind@self-hosted/check/types.sio:TyTuple;TypeKind@self-hosted/compiler/parser.sio:Tuple	self-hosted/check/check.sio: co-mentions ['Tuple', 'TyTuple', 'TypeTuple'] layers=['self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio', 'self-hosted/parser/ast.sio'] | self-hosted/check/types.sio: co-mentions ['Tuple', 'TyTuple'] layers=['self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio'] | self-hosted/ir/lower.sio: co-mentions ['Tuple', 'TypeTuple'] layers=['self-hosted/compiler/parser.sio', 'self-hosted/parser/ast.sio']
u128	same_type	2	HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeU128;TypeKind@self-hosted/check/types.sio:TyU128	self-hosted/check/check.sio: co-mentions ['TyU128', 'u128'] layers=['self-hosted/check/types.sio', 'self-hosted/hlir/ir.sio'] | self-hosted/check/types.sio: co-mentions ['TyU128', 'u128'] layers=['self-hosted/check/types.sio', 'self-hosted/hlir/ir.sio']
u32	same_type	3	GpuType@self-hosted/gpu/kernel_ir.sio:GpuU32;HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeU32;TypeKind@self-hosted/check/types.sio:TyU32	self-hosted/check/check.sio: co-mentions ['GpuU32', 'TyU32'] layers=['self-hosted/check/types.sio', 'self-hosted/gpu/kernel_ir.sio']
u64	same_type	3	GpuType@self-hosted/gpu/kernel_ir.sio:GpuU64;HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeU64;TypeKind@self-hosted/check/types.sio:TyU64	MANUAL_BRIDGE: TyU64 + HlirTypeU64 + GpuU64 via type_convert.sio
u8	same_type	2	HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeU8;TypeKind@self-hosted/check/types.sio:TyU8	MANUAL_BRIDGE: TyU8 + HlirTypeU8 via type_convert.sio
unit	same_type	5	HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeVoid;LayTypeKind@self-hosted/check/layout.sio:TkUnit;TypeExprKind@self-hosted/parser/ast.sio:TypeUnit;TypeKind@self-hosted/check/types.sio:TyUnit;TypeKind@self-hosted/compiler/parser.sio:Unit	self-hosted/check/check.sio: co-mentions ['TyUnit', 'TypeUnit', 'Unit'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio'] | self-hosted/check/types.sio: co-mentions ['TyUnit', 'Unit'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio'] | self-hosted/ir/lower.sio: co-mentions ['TypeUnit', 'Unit'] layers=['self-hosted/check/layout.sio', 'self-hosted/check/types.sio', 'self-hosted/compiler/parser.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio']
unknown	same_type	2	TypeExprKind@self-hosted/parser/ast.sio:TypeInfer;TypeKind@self-hosted/check/types.sio:TyUnknown	self-hosted/check/check.sio: co-mentions ['TyUnknown', 'TypeInfer'] layers=['self-hosted/check/types.sio', 'self-hosted/parser/ast.sio']
validated	same_type	3	HlirTypeKind@self-hosted/hlir/ir.sio:HlirTypeValidated;TypeExprKind@self-hosted/parser/ast.sio:TypeValidated;TypeKind@self-hosted/check/types.sio:TyValidated	self-hosted/check/check.sio: co-mentions ['TyValidated', 'TypeValidated'] layers=['self-hosted/check/types.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio'] | self-hosted/llvm/type_convert.sio: co-mentions ['HlirTypeValidated', 'TypeValidated'] layers=['self-hosted/check/types.sio', 'self-hosted/hlir/ir.sio', 'self-hosted/parser/ast.sio']
