thread,step,c5,kappa,sigma_kappa,trace,anisotropy,escape
4227,8,0.001605,115817057906090019235276050613692367970389443576547612134746376348541147676672.000000,nan,nan,0.000000,YES
4491,8,0.004828,115786570979610004676236518837362480324123242161480185034616701834812148678656.000000,nan,nan,0.000000,YES
4756,8,0.008064,115770404560000002098732218889909624364031180086387418263012691127236579819520.000000,nan,nan,0.000000,YES
5020,8,0.011287,115739879489999992585802093432868585869939831987488897377400302231967273844736.000000,nan,nan,0.000000,YES
5284,8,0.014510,115722980273000007165482959839575859501579015344093378339590764809166054752256.000000,nan,nan,0.000000,YES
5548,8,0.017733,115729818165000025729154218086369267000851176479193708150121960803475027656704.000000,nan,nan,0.000000,YES
5812,8,0.020956,115664662185999980688928413989163559906462200012233549297997340716737889304576.000000,nan,nan,0.000000,YES
6077,8,0.024191,115623602472999992537259869582440492816057421459385468198999120619576412340224.000000,nan,nan,0.000000,YES
6341,8,0.027414,115585771859999994516953085225123121526431425879168302144404294368978261770240.000000,nan,nan,0.000000,YES
6605,8,0.030637,115529300209999986023174523254089995186327159256171397776186958075493856837632.000000,nan,nan,0.000000,YES
6869,8,0.033860,115489110479360385193098117506601242098182489496013779546244078228297845047296.000000,nan,nan,0.000000,YES
7134,8,0.037096,115427892415040006927122812181532576117291257900299652100703353825866983407616.000000,nan,nan,0.000000,YES
7398,8,0.040319,115339581996890006262138794291827687843224559815700580013328239302943377981440.000000,nan,nan,0.000000,YES
7662,8,0.043542,115265158544000001270957612386087675814402117465007525560004692744194198863872.000000,nan,nan,0.000000,YES
7926,8,0.046765,115213272865000001111097871301269471953244507581342533525758000617880081661952.000000,nan,nan,0.000000,YES
8191,8,0.050000,115147764627999992839230372407521907783718716542164673022859476165671646134272.000000,nan,nan,0.000000,YES
