id	iri	label
93	http://purl.obolibrary.org/obo/UBERON_0000105	life cycle stage
94	http://purl.obolibrary.org/obo/UBERON_0000106	zygote stage
95	http://purl.obolibrary.org/obo/UBERON_0000107	cleavage stage
96	http://purl.obolibrary.org/obo/UBERON_0000108	blastula stage
97	http://purl.obolibrary.org/obo/UBERON_0000109	gastrula stage
98	http://purl.obolibrary.org/obo/UBERON_0000110	neurula stage
99	http://purl.obolibrary.org/obo/UBERON_0000111	organogenesis stage
100	http://purl.obolibrary.org/obo/UBERON_0000112	sexually immature stage
101	http://purl.obolibrary.org/obo/UBERON_0000113	post-juvenile adult stage
102	http://purl.obolibrary.org/obo/UBERON_0000114	lung connective tissue
103	http://purl.obolibrary.org/obo/UBERON_0000115	lung epithelium
104	http://purl.obolibrary.org/obo/UBERON_0000116	lung saccule
105	http://purl.obolibrary.org/obo/UBERON_0000117	respiratory tube
106	http://purl.obolibrary.org/obo/UBERON_0000118	lung bud
107	http://purl.obolibrary.org/obo/UBERON_0000119	cell layer
108	http://purl.obolibrary.org/obo/UBERON_0000120	blood brain barrier
109	http://purl.obolibrary.org/obo/UBERON_0000121	perineurium
110	http://purl.obolibrary.org/obo/UBERON_0000122	neuron projection bundle
111	http://purl.obolibrary.org/obo/UBERON_0000123	endoneurium
112	http://purl.obolibrary.org/obo/UBERON_0000124	epineurium
113	http://purl.obolibrary.org/obo/UBERON_0000125	neural nucleus
114	http://purl.obolibrary.org/obo/UBERON_0000126	cranial nerve nucleus
115	http://purl.obolibrary.org/obo/UBERON_0000127	facial nucleus
116	http://purl.obolibrary.org/obo/UBERON_0000128	olivary body
117	http://purl.obolibrary.org/obo/UBERON_0000130	transverse foramen
118	http://purl.obolibrary.org/obo/UBERON_0000144	trochlea of humerus
119	http://purl.obolibrary.org/obo/UBERON_0000151	pectoral fin
120	http://purl.obolibrary.org/obo/UBERON_0000152	pelvic fin
121	http://purl.obolibrary.org/obo/UBERON_0000153	anterior region of body
122	http://purl.obolibrary.org/obo/UBERON_0000154	posterior region of body
123	http://purl.obolibrary.org/obo/UBERON_0000155	theca cell layer
124	http://purl.obolibrary.org/obo/UBERON_0000156	theca externa
125	http://purl.obolibrary.org/obo/UBERON_0000157	theca interna
126	http://purl.obolibrary.org/obo/UBERON_0000158	membranous layer
127	http://purl.obolibrary.org/obo/UBERON_0000159	anal canal
128	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
129	http://purl.obolibrary.org/obo/UBERON_0000161	orifice
130	http://purl.obolibrary.org/obo/UBERON_0000162	cloaca
131	http://purl.obolibrary.org/obo/UBERON_0000163	embryonic cloaca
132	http://purl.obolibrary.org/obo/UBERON_0000164	primitive urogenital sinus
133	http://purl.obolibrary.org/obo/UBERON_0000165	mouth
134	http://purl.obolibrary.org/obo/UBERON_0000166	oral opening
135	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity
136	http://purl.obolibrary.org/obo/UBERON_0000168	proximal-distal subdivision of colon
137	http://purl.obolibrary.org/obo/UBERON_0000170	pair of lungs
138	http://purl.obolibrary.org/obo/UBERON_0000171	respiration organ
139	http://purl.obolibrary.org/obo/UBERON_0000172	vomit
140	http://purl.obolibrary.org/obo/UBERON_0000173	amniotic fluid
141	http://purl.obolibrary.org/obo/UBERON_0000174	excreta
142	http://purl.obolibrary.org/obo/UBERON_0000175	pleural effusion
143	http://purl.obolibrary.org/obo/UBERON_0000176	oronasal secretion
144	http://purl.obolibrary.org/obo/UBERON_0000177	pus
145	http://purl.obolibrary.org/obo/UBERON_0000178	blood
146	http://purl.obolibrary.org/obo/UBERON_0000179	haemolymphatic fluid
147	http://purl.obolibrary.org/obo/UBERON_0000180	lateral lumbar region of abdomen
148	http://purl.obolibrary.org/obo/UBERON_0000199	neck of radius
149	http://purl.obolibrary.org/obo/UBERON_0000200	gyrus
150	http://purl.obolibrary.org/obo/UBERON_0000201	endothelial blood brain barrier
151	http://purl.obolibrary.org/obo/UBERON_0000202	glial blood brain barrier
152	http://purl.obolibrary.org/obo/UBERON_0000203	pallium
153	http://purl.obolibrary.org/obo/UBERON_0000204	ventral part of telencephalon
154	http://purl.obolibrary.org/obo/UBERON_0000205	papula
155	http://purl.obolibrary.org/obo/UBERON_0000206	pharyngeal gill
156	http://purl.obolibrary.org/obo/UBERON_0000207	compound eye corneal lens
157	http://purl.obolibrary.org/obo/UBERON_0000209	tetrapod frontal bone
158	http://purl.obolibrary.org/obo/UBERON_0000210	tetrapod parietal bone
159	http://purl.obolibrary.org/obo/UBERON_0000211	ligament
160	http://purl.obolibrary.org/obo/UBERON_0000212	toilet claw
161	http://purl.obolibrary.org/obo/UBERON_0000218	vertebral arch of axis
162	http://purl.obolibrary.org/obo/UBERON_0000219	vertebral foramen of atlas
163	http://purl.obolibrary.org/obo/UBERON_0000220	atlanto-occipital joint
164	http://purl.obolibrary.org/obo/UBERON_0000221	supraauricular point
