8492|cs6-v7a1-checkpoint|CANCELLED by 0|0:0|0:0|00:01:52|2026-08-02T17:55:14|2026-08-02T17:57:06|gpuorangefs-r770-proxmox|120|8G
8492.batch|batch|CANCELLED|||00:01:52|2026-08-02T17:55:14|2026-08-02T17:57:06|gpuorangefs-r770-proxmox|120|
8492.extern|extern|COMPLETED|0:0||00:01:52|2026-08-02T17:55:14|2026-08-02T17:57:06|gpuorangefs-r770-proxmox|120|
